
[00:00:00.000 --> 00:00:03.160]  蘇珊姐妹 大家聖誕快樂
[00:00:03.160 --> 00:00:06.840]  很多時候 很多信徒只是以為
[00:00:06.840 --> 00:00:09.280]  聖誕就是12月25號
[00:00:09.280 --> 00:00:11.440]  才可以去慶祝聖誕
[00:00:11.440 --> 00:00:13.640]  其實在聖經裏面
[00:00:13.640 --> 00:00:18.600]  我們所體現聖誕的整個觀念是一個節期
[00:00:18.600 --> 00:00:20.160]  是整段時間來的
[00:00:20.160 --> 00:00:25.080]  是整個由12月至1月的這段時間
[00:00:25.080 --> 00:00:27.400]  的一個節期的慶典
[00:00:27.400 --> 00:00:30.280]  所以讓我們要在聖經裏面
[00:00:30.280 --> 00:00:32.680]  在這個靠近
[00:00:32.680 --> 00:00:36.000]  世人以為12月25號才是聖誕的時間
[00:00:36.000 --> 00:00:38.480]  我們會一同的在這個時間
[00:00:38.480 --> 00:00:41.240]  特別有一個崇拜叫做聖誕主日崇拜
[00:00:41.240 --> 00:00:44.400]  讓我們一起在當中去思想
[00:00:44.400 --> 00:00:47.280]  上帝怎樣為我們帶來這位的救主
[00:00:47.280 --> 00:00:49.160]  在這裏也都希望大家聽節目
[00:00:49.160 --> 00:00:51.400]  能夠在這個時間
[00:00:51.400 --> 00:00:55.080]  不單止理解上帝耶穌基督的降生
[00:00:55.080 --> 00:00:57.560]  而且讓我們去看到
[00:00:57.560 --> 00:01:01.680]  我們在這個地上的整個信心的依靠
[00:01:01.680 --> 00:01:04.480]  能夠重新回到上帝的這個橋樑
[00:01:04.480 --> 00:01:07.520]  耶穌基督的降生帶來的意義
[00:01:07.520 --> 00:01:09.960]  讓我們在聆聽主的說話之前
[00:01:09.960 --> 00:01:12.600]  讓我們一起再次同心低頭禱告
[00:01:12.600 --> 00:01:18.520]  父神多謝祢讓我們再次在這個節期的期間
[00:01:18.520 --> 00:01:20.120]  打開祢的啟示
[00:01:20.120 --> 00:01:25.040]  讓記載到祢獨生兒子耶穌降生的日子
[00:01:25.040 --> 00:01:29.800]  那個經歷和過程怎樣帶來的震撼性
[00:01:29.800 --> 00:01:32.400]  讓我們去看到我們今天作為信徒
[00:01:32.400 --> 00:01:35.320]  亦都怎樣來到祢的面前
[00:01:35.320 --> 00:01:37.760]  來去仰望在這個當中
[00:01:37.760 --> 00:01:40.360]  在上帝祢的帶領裏面
[00:01:40.360 --> 00:01:42.440]  不畏懼有任何的震撼
[00:01:42.440 --> 00:01:45.400]  而是更曉得怎樣去遷就
[00:01:45.400 --> 00:01:49.520]  讓上帝祢的事透過我們去作成
[00:01:49.520 --> 00:01:52.160]  所以祈求主祢用著我們每一個
[00:01:52.160 --> 00:01:55.640]  願意甘心樂意蒙主使用的信徒
[00:01:55.640 --> 00:01:57.880]  都能夠在這個日子的當中
[00:01:57.880 --> 00:01:59.880]  帶著感恩來到祢的面前
[00:01:59.880 --> 00:02:05.160]  領受差名進入到去在這個世界的當中
[00:02:05.160 --> 00:02:07.240]  能夠去幫助人
[00:02:07.240 --> 00:02:09.960]  吸引他們回到上帝祢的當中
[00:02:09.960 --> 00:02:13.440]  我們再一次將這段聽報的時間
[00:02:13.440 --> 00:02:18.200]  求主祢幫助無論是說的聽的
[00:02:18.200 --> 00:02:20.880]  都能夠同樣蒙主祢的祝福
[00:02:20.880 --> 00:02:22.920]  明白當中的真理
[00:02:22.920 --> 00:02:26.320]  我們禱告奉靠主耶穌基督得聖的名字
[00:02:26.320 --> 00:02:27.320]  阿們
[00:02:51.880 --> 00:02:55.760]  其實不是平日說一卷聖經
[00:02:55.760 --> 00:02:57.760]  而是在這些的節期
[00:02:57.760 --> 00:03:00.400]  包括聖誕和復活
[00:03:00.400 --> 00:03:01.840]  為什麼?
[00:03:01.840 --> 00:03:04.800]  他說因為說來說去都是那些經文
[00:03:04.800 --> 00:03:06.800]  真的很難說
[00:03:06.800 --> 00:03:09.280]  如果你這樣說做傳道人
[00:03:09.280 --> 00:03:10.480]  好像我來算
[00:03:10.480 --> 00:03:12.840]  我二十多歲開始做傳道人
[00:03:12.840 --> 00:03:16.680]  到現在接近做了三十年的傳道人
[00:03:16.680 --> 00:03:19.120]  在這樣的狀態之下
[00:03:19.120 --> 00:03:21.680]  難道真的沒什麼好說嗎?
[00:03:21.680 --> 00:03:25.080]  當我再仔細看回預備今年
[00:03:25.080 --> 00:03:30.200]  在聖誕崇拜裡面所說的經文的時候
[00:03:30.200 --> 00:03:33.320]  就讓我去重複看回很多不同的
