
[00:00:00.000 --> 00:00:01.800]  好 鄧子梅 大家好
[00:00:01.800 --> 00:00:03.400]  在這裡再次代表教會
[00:00:03.400 --> 00:00:09.200]  歡迎今天Sandy的表妹妹來參加
[00:00:09.200 --> 00:00:11.000]  我們今天崇拜歡迎你
[00:00:11.000 --> 00:00:14.000]  讓教會成為一個屬靈的家
[00:00:14.000 --> 00:00:17.100]  一起在主的裡面成長
[00:00:17.100 --> 00:00:19.700]  在這裡讓我們一起先以禱告
[00:00:19.700 --> 00:00:21.000]  與本來的心思意念
[00:00:21.000 --> 00:00:24.200]  來聆聽上主的說話
[00:00:24.200 --> 00:00:27.100]  讓我們一起同心低頭禱告
[00:00:27.100 --> 00:00:30.400]  父神 多謝祢 多謝祢讓我們能夠再次回來
[00:00:30.400 --> 00:00:32.900]  在祢寶貴的說話當中
[00:00:32.900 --> 00:00:34.400]  祢的啟示裡面
[00:00:34.400 --> 00:00:36.900]  讓我們明白祢是怎樣的一位主
[00:00:36.900 --> 00:00:38.800]  怎樣的一位神
[00:00:38.800 --> 00:00:46.200]  讓我們能夠重新在主權的次序上
[00:00:46.200 --> 00:00:47.500]  準確的排放
[00:00:47.500 --> 00:00:49.600]  我們為此獻上感恩
[00:00:49.600 --> 00:00:52.600]  求祢將我們每一個屬祢的子民
[00:00:52.600 --> 00:00:55.400]  無論在線上或者線下
[00:00:55.400 --> 00:00:58.100]  參加崇拜的弟兄姊妹
[00:00:58.100 --> 00:01:00.100]  都能夠同感一鈴
[00:01:00.100 --> 00:01:04.400]  好使我們在這個二萬里的團契的對面
[00:01:04.400 --> 00:01:07.100]  能夠一同的去見證出
[00:01:07.100 --> 00:01:09.700]  一個屬神子民應有的力量
[00:01:09.700 --> 00:01:11.300]  應有的屬性
[00:01:11.300 --> 00:01:14.800]  禱告奉靠主耶穌基督德性的名字而求
[00:01:14.800 --> 00:01:15.600]  阿們
[00:01:15.600 --> 00:01:22.900]  每一個真正在屬靈生命上面
[00:01:22.900 --> 00:01:27.200]  要成長的屬神子民
