
[00:00:00.000 --> 00:00:04.180]  我經常說中國人的描述狀況很準
[00:00:04.180 --> 00:00:06.500]  師母那句"人窮則呼天"
[00:00:06.500 --> 00:00:08.500]  但是沒有代表爲什麼
[00:00:08.500 --> 00:00:10.180]  是這麼有趣的一件事
[00:00:10.180 --> 00:00:12.060]  我們描述的狀況是很真實的
[00:00:12.060 --> 00:00:14.000]  但是爲什麼會這樣呢?
[00:00:14.000 --> 00:00:16.420]  王晶晶爲什麼會提起這件事呢?
[00:00:16.420 --> 00:00:19.140]  一來如果剛剛你讀聖經
[00:00:19.140 --> 00:00:20.580]  國民黨後書第四章
[00:00:20.580 --> 00:00:22.000]  一路讀的過程
[00:00:22.000 --> 00:00:23.480]  你可能會留意到
[00:00:23.480 --> 00:00:26.220]  固然你沒怎麼說爲什麼不信耶穌
[00:00:26.220 --> 00:00:28.520]  但是交代多一點
[00:00:28.520 --> 00:00:31.400]  其實保羅是承接着之前在討論的
[00:00:31.400 --> 00:00:33.780]  第三章一直在說我們信耶穌的人
[00:00:33.780 --> 00:00:35.060]  是受到光的
[00:00:35.060 --> 00:00:36.900]  我們有肉心有聖靈在裏面
[00:00:36.900 --> 00:00:37.900]  於是乎
[00:00:37.900 --> 00:00:39.160]  既然有這麼好的積分
[00:00:39.160 --> 00:00:41.160]  這個積分就是我們所說的新約的積分
[00:00:41.160 --> 00:00:42.640]  有什麼積分叫人信耶穌呢?
[00:00:42.640 --> 00:00:44.520]  但是人們偏偏不信
[00:00:44.520 --> 00:00:45.660]  第三第四章
[00:00:45.660 --> 00:00:47.840]  保羅特別在說在那個處境裏面
[00:00:47.840 --> 00:00:48.860]  人們不信
[00:00:48.860 --> 00:00:50.620]  我們的福音會矇蔽的
[00:00:50.620 --> 00:00:53.260]  假設我們信耶穌不會矇蔽
[00:00:53.260 --> 00:00:54.320]  矇蔽在哪裏?
[00:00:54.320 --> 00:00:57.520]  矇蔽在不信滅亡的人身上
[00:00:57.520 --> 00:01:02.100]  此生不信的人被世界的神弄黑了心眼
[00:01:02.100 --> 00:01:03.060]  不叫基督榮耀
[00:01:03.060 --> 00:01:05.060]  呼喊的光照耀他們
[00:01:05.060 --> 00:01:07.360]  可能這些wording(語言)
[00:01:07.360 --> 00:01:08.980]  都是叫人不信的原因
[00:01:08.980 --> 00:01:12.660]  這些真是仇恨
[00:01:12.660 --> 00:01:14.360]  現在世界有仇恨罪
[00:01:14.360 --> 00:01:16.920]  這麼仇恨的話都這麼說出來
[00:01:16.920 --> 00:01:17.960]  請留意
[00:01:17.960 --> 00:01:19.340]  這裏的矇蔽
[00:01:19.340 --> 00:01:21.340]  不是要侮辱不信耶穌的人
[00:01:21.340 --> 00:01:22.420]  而反過來
[00:01:22.420 --> 00:01:24.140]  因爲保羅信耶穌
[00:01:24.140 --> 00:01:25.140]  我們也信耶穌
[00:01:25.140 --> 00:01:26.540]  光照到我們之後
[00:01:26.540 --> 00:01:29.000]  一個比喻本來是用光的
[00:01:29.000 --> 00:01:31.280]  光自然是看得清楚
[00:01:31.280 --> 00:01:33.140]  另一面自然是看不清楚
[00:01:33.140 --> 00:01:35.940]  在這些裏面用了這些詞的表達
[00:01:35.940 --> 00:01:36.740]  也反過來
[00:01:36.740 --> 00:01:38.100]  這個矇蔽的表達
[00:01:38.100 --> 00:01:39.740]  是帶着憐憫的
[00:01:39.740 --> 00:01:42.080]  那個憐憫不是很淒涼很慘
[00:01:42.080 --> 00:01:44.620]  就如耶穌在十誡裏面都說
[00:01:44.620 --> 00:01:45.540]  他們所作的
[00:01:45.540 --> 00:01:46.980]  他們不曉得的時候
[00:01:46.980 --> 00:01:49.140]  不是敵視的
[00:01:49.140 --> 00:01:51.880]  這個所謂矇蔽反而是在體察
[00:01:51.880 --> 00:01:53.140]  未信神的時候
[00:01:53.140 --> 00:01:55.580]  我們縱然有些東西我覺得很對
[00:01:55.580 --> 00:01:56.540]  但其實呢
[00:01:56.540 --> 00:01:57.740]  到後來我相信耶穌才發現
[00:01:57.740 --> 00:02:00.060]  原來那時候纔是錯的
[00:02:00.060 --> 00:02:01.060]  只是未明白
[00:02:01.060 --> 00:02:03.260]  未明白的
[00:02:03.260 --> 00:02:05.460]  這段東西的交代
[00:02:05.460 --> 00:02:08.420]  或者可能會想和我們有什麼關聯
[00:02:08.420 --> 00:02:09.780]  保羅就說當天
[00:02:09.780 --> 00:02:10.500]  傳福音的時候
[00:02:10.500 --> 00:02:12.380]  有些人是不信的
[00:02:12.380 --> 00:02:13.140]  如果你記得
[00:02:13.140 --> 00:02:14.220]  上兩個星期
[00:02:14.220 --> 00:02:15.460]  講到有提到
[00:02:15.460 --> 00:02:15.980]  穆扎的華
[00:02:15.980 --> 00:02:18.020]  甚至剛剛之前我們聖經委員會
[00:02:18.020 --> 00:02:19.260]  開會也有提到
[00:02:19.260 --> 00:02:21.660]  剛剛出了一個
[00:02:21.660 --> 00:02:25.820]  五年一度的教會人口調查報告
[00:02:25.820 --> 00:02:27.340]  都提到一些現象
[00:02:27.340 --> 00:02:28.620]  上次講到提過
[00:02:28.620 --> 00:02:30.340]  就不再多複述了
[00:02:30.340 --> 00:02:32.500]  但也提到了很多的警號
[00:02:32.500 --> 00:02:33.340]  特別是
[00:02:33.340 --> 00:02:36.860]  原來教會在過去這段時間的趨勢
[00:02:36.860 --> 00:02:39.540]  就是我們在流失一些人
[00:02:39.540 --> 00:02:40.860]  最典型的就是
[00:02:40.860 --> 00:02:43.140]  15歲到40歲之間
[00:02:43.140 --> 00:02:44.540]  15歲到40歲之間
[00:02:44.540 --> 00:02:47.100]  因爲我們的人口分佈
[00:02:47.100 --> 00:02:49.740]  是寄給香港人口分佈年輕的
[00:02:49.740 --> 00:02:50.580]  15歲以下的人
[00:02:50.580 --> 00:02:52.060]  比香港平均數多
[00:02:52.060 --> 00:02:53.380]  但是40歲以上的人
[00:02:53.380 --> 00:02:54.660]  又比平均數多
[00:02:54.660 --> 00:02:56.580]  我們又是很年輕又是很老
[00:02:56.580 --> 00:02:58.140]  中間就不見了
[00:02:58.140 --> 00:02:59.980]  很多人在問爲什麼
[00:02:59.980 --> 00:03:01.180]  在問爲什麼的過程中
[00:03:01.180 --> 00:03:02.980]  香港的牧師
[00:03:02.980 --> 00:03:04.340]  其中一個習慣就是
[00:03:04.340 --> 00:03:05.500]  我們的神學訓練
[00:03:05.500 --> 00:03:06.940]  是十分美式的
[00:03:06.940 --> 00:03:08.380]  就是美國式的東西
[00:03:08.380 --> 00:03:09.700]  很快人們就會想起
[00:03:09.700 --> 00:03:10.780]  不要緊的
[00:03:10.780 --> 00:03:11.620]  美國人都是這樣的
[00:03:11.620 --> 00:03:12.620]  一讀U就走了之後
[00:03:12.620 --> 00:03:15.020]  結婚就回來了
[00:03:15.020 --> 00:03:17.420]  不少的美國教會都是這樣的
[00:03:17.420 --> 00:03:18.740]  但是很快有人指出
[00:03:18.740 --> 00:03:21.020]  似乎香港這一次有點不妥
[00:03:21.020 --> 00:03:23.260]  因爲15歲走了
