
[00:00:00.000 --> 00:00:04.040]  開始先讓我們看幾張的powerpoint
[00:00:04.040 --> 00:00:07.720]  相信不用我多說,是一輛單車
[00:00:07.720 --> 00:00:11.280]  我們又看第二張
[00:00:11.280 --> 00:00:14.760]  都是一輛單車
[00:00:14.760 --> 00:00:17.400]  有什麼不同呢?
[00:00:17.400 --> 00:00:21.560]  我們再看第三張
[00:00:21.560 --> 00:00:23.080]  有一個比較
[00:00:23.080 --> 00:00:26.680]  第一,第二,拼在一起
[00:00:27.240 --> 00:00:30.480]  我相信大家都很清楚看到的不同
[00:00:30.480 --> 00:00:33.920]  就是車輪的分別
[00:00:33.920 --> 00:00:38.080]  圓形和四方形
[00:00:38.080 --> 00:00:42.240]  大家去想想哪輛單車會去得快一點呢?
[00:00:42.240 --> 00:00:45.600]  當然都是圓形
[00:00:45.600 --> 00:00:50.800]  越踩越快,清風順爽,去得很遠
[00:00:50.800 --> 00:00:53.480]  但你想像一下,如果你坐在一輛
[00:00:53.480 --> 00:00:57.880]  或者你是踩一輛角形的單車
[00:00:57.880 --> 00:00:59.640]  你會怎樣呢?
[00:00:59.640 --> 00:01:02.320]  我想會行得艱難很多
[00:01:02.320 --> 00:01:04.520]  緩慢很多
[00:01:04.520 --> 00:01:06.760]  雖然可能努力去踩
[00:01:06.760 --> 00:01:09.800]  但未必會很理想
[00:01:09.800 --> 00:01:15.800]  究竟第二輛單車的問題在哪裡呢?
[00:01:15.800 --> 00:01:20.200]  這個有角形車輪的單車的問題在哪裡呢?
[00:01:21.160 --> 00:01:23.600]  如果我們可以簡單地來說
[00:01:23.600 --> 00:01:29.160]  就是這輛單車的架構出了問題
[00:01:29.160 --> 00:01:34.000]  第一輛單車是很完整的
[00:01:34.000 --> 00:01:37.080]  是一個真正單車應該有的形狀
[00:01:37.080 --> 00:01:40.480]  輪圈是圓的,去得很通順
[00:01:40.480 --> 00:01:45.080]  但當輪圈變成一個四方形
[00:01:45.080 --> 00:01:47.080]  有角形的出現
[00:01:47.080 --> 00:01:49.360]  去得不暢順
[00:01:50.000 --> 00:01:56.160]  所以我們都會覺得這輛單車的架構出了問題
[00:01:56.160 --> 00:02:02.640]  所以讓我們在當中思想一些功課
[00:02:02.640 --> 00:02:08.440]  特別是思想我們的教會究竟是怎樣
[00:02:08.440 --> 00:02:13.320]  我們的教會是否一輛圓形的單車
[00:02:13.320 --> 00:02:18.160]  還是方形車輪的單車呢?
[00:02:20.120 --> 00:02:21.560]  教會是甚麼呢?
[00:02:21.560 --> 00:02:22.960]  我相信大家都會同意
[00:02:22.960 --> 00:02:24.960]  教會是一個群體
[00:02:24.960 --> 00:02:27.520]  是你和我所組成
[00:02:27.520 --> 00:02:30.520]  救贖的群體是教會
[00:02:30.520 --> 00:02:32.520]  是一個信仰群體
[00:02:32.520 --> 00:02:34.520]  是一個門徒群體
[00:02:34.520 --> 00:02:37.000]  我們需要有生命
[00:02:37.000 --> 00:02:38.200]  有基督
[00:02:38.200 --> 00:02:39.840]  有神的愛
[00:02:39.840 --> 00:02:40.920]  有活力
[00:02:40.920 --> 00:02:43.680]  但當我們這個群體
[00:02:43.680 --> 00:02:44.920]  需要一起走
[00:02:44.920 --> 00:02:46.440]  一起服侍
[00:02:46.440 --> 00:02:48.760]  一起為主打拼的時候
[00:02:49.240 --> 00:02:50.760]  那麼多人
[00:02:50.760 --> 00:02:54.680]  我們又不可能沒有這個架構和組織
[00:02:54.680 --> 00:02:58.360]  所以教會雖然是一個信仰群體
[00:02:58.360 --> 00:03:01.360]  但教會又需要有組織
[00:03:01.360 --> 00:03:03.000]  有架構
[00:03:03.000 --> 00:03:06.120]  亦都有組織架構所囊括的
[00:03:06.120 --> 00:03:08.120]  一種做事的方式
[00:03:08.120 --> 00:03:10.120]  做事的文化
[00:03:10.120 --> 00:03:13.400]  章則、理念等等
[00:03:13.400 --> 00:03:16.640]  這些都可以稱為是一個架構的
[00:03:16.640 --> 00:03:18.640]  大的內涵的底下
[00:03:18.920 --> 00:03:22.920]  所以教會是需要有組織架構的
[00:03:22.920 --> 00:03:24.920]  但問題就是
[00:03:24.920 --> 00:03:27.600]  究竟我們這個組織架構
[00:03:27.600 --> 00:03:30.800]  是否正在幫助我們這個屬靈群體
[00:03:30.800 --> 00:03:32.800]  很奮勇地向前
[00:03:32.800 --> 00:03:34.720]  很能夠發揮
[00:03:34.720 --> 00:03:36.720]  應該要發揮的力量呢?
[00:03:36.720 --> 00:03:39.440]  還是說這個架構
[00:03:39.440 --> 00:03:42.200]  是有所障礙了呢?
[00:03:42.200 --> 00:03:45.840]  如果是真的有所障礙的時候
[00:03:45.840 --> 00:03:47.840]  那我們需要什麼呢?
[00:03:47.840 --> 00:03:50.280]  我想我們需要學習的一個功課
[00:03:50.280 --> 00:03:52.280]  就是更新
[00:03:52.280 --> 00:03:53.880]  就是更新
[00:03:53.880 --> 00:03:57.760]  就是將一個四方形的車輪的單車
[00:03:57.760 --> 00:04:00.240]  將它慢慢改一下
[00:04:00.240 --> 00:04:04.560]  讓它成為一個圓形的單車
[00:04:04.560 --> 00:04:06.960]  圓形車輪的單車
[00:04:06.960 --> 00:04:07.960]  我想
[00:04:07.960 --> 00:04:10.600]  就是我們可以做的事
