
[00:00:00.000 --> 00:00:05.500]  好,第一點,我們首先要明白神創造人
[00:00:05.500 --> 00:00:07.200]  即是創造我們的目的
[00:00:07.200 --> 00:00:08.720]  當然我們看回聖經
[00:00:08.720 --> 00:00:10.480]  我們一起來讀《創世紀》
[00:00:10.480 --> 00:00:12.360]  一章二十六至二十八節
[00:00:12.360 --> 00:00:14.440]  我們一起來讀《神說》
[00:00:14.440 --> 00:00:17.400]  我們要照著我們的形象
[00:00:17.400 --> 00:00:20.040]  安著我們的樣式做人
[00:00:20.040 --> 00:00:22.760]  使他們管理海裡的魚
[00:00:22.760 --> 00:00:24.360]  空中的鳥
[00:00:24.360 --> 00:00:26.120]  地上的生畜
[00:00:26.120 --> 00:00:31.040]  和全地並地上所爬的一切昆蟲
[00:00:31.040 --> 00:00:34.440]  神就照著自己的形象做人
[00:00:34.440 --> 00:00:38.400]  乃是照著他的形象做男做女
[00:00:38.400 --> 00:00:40.600]  神就賜福給他們
[00:00:40.600 --> 00:00:44.400]  又對他們說要生養眾多
[00:00:44.400 --> 00:00:45.960]  遍滿地面
[00:00:45.960 --> 00:00:47.520]  治理這地
[00:00:47.520 --> 00:00:50.240]  也要管理海裡的魚
[00:00:50.240 --> 00:00:51.560]  空中的鳥
[00:00:51.560 --> 00:00:54.680]  和地上各樣行動的活物
[00:00:54.680 --> 00:00:57.400]  這就是《創世紀》中記載
[00:00:57.400 --> 00:00:59.680]  即是神造人那時候
[00:00:59.680 --> 00:01:00.680]  我們看到
[00:01:00.680 --> 00:01:03.760]  神說我們要照著我們的形象
[00:01:03.760 --> 00:01:06.560]  我們是三為一體的真神
[00:01:06.560 --> 00:01:08.600]  所以用了一個眾數
[00:01:08.600 --> 00:01:09.600]  我們看到
[00:01:09.600 --> 00:01:11.320]  好像神造人的時候
[00:01:11.320 --> 00:01:14.640]  我看來聽來都頗慎重的
[00:01:14.640 --> 00:01:16.560]  他們好像在開會時說
[00:01:16.560 --> 00:01:18.600]  我做的人
[00:01:18.600 --> 00:01:21.840]  我期望是甚麼模樣的
[00:01:21.840 --> 00:01:24.520]  即是神造人時要甚麼模樣
[00:01:24.520 --> 00:01:27.600]  第二點很重要就是
[00:01:27.600 --> 00:01:28.880]  做了這些人
[00:01:28.880 --> 00:01:31.400]  要在地上做些甚麼
[00:01:31.400 --> 00:01:33.800]  這段聖經說得很清楚
[00:01:33.800 --> 00:01:35.120]  在二十六節說
[00:01:35.120 --> 00:01:39.720]  神要照著自己的形象和樣式做人
[00:01:39.720 --> 00:01:42.000]  甚麼叫做形象和樣式呢
[00:01:42.000 --> 00:01:44.840]  形象就是在說
[00:01:44.840 --> 00:01:48.360]  人或神的性情
[00:01:48.360 --> 00:01:50.040]  性情包括了甚麼
[00:01:50.040 --> 00:01:52.280]  心思、意念、意志
[00:01:52.280 --> 00:01:54.520]  這就是所說的性情
[00:01:54.520 --> 00:01:56.280]  另外在樣式上
[00:01:56.280 --> 00:01:57.680]  他也說要相似的
[00:01:57.680 --> 00:01:59.160]  就是外形
[00:01:59.160 --> 00:02:00.760]  即是外面的體格
[00:02:00.760 --> 00:02:02.040]  所以我們每個人
[00:02:02.040 --> 00:02:03.560]  雖然不同樣子、不同高度
[00:02:03.560 --> 00:02:06.480]  但都是這樣的體格
[00:02:06.480 --> 00:02:07.800]  所以神造人
[00:02:07.800 --> 00:02:09.400]  他說所做的人
[00:02:09.400 --> 00:02:10.200]  即是我們
[00:02:10.200 --> 00:02:12.240]  他期望這些人的性情
[00:02:12.240 --> 00:02:16.680]  他要做到形態上都要相似他
[00:02:16.680 --> 00:02:17.960]  都要相似神
[00:02:17.960 --> 00:02:20.160]  我們說我們今天母親節
[00:02:20.160 --> 00:02:22.080]  當中有很多父母
[00:02:22.080 --> 00:02:24.160]  當有人說
[00:02:24.160 --> 00:02:27.320]  你兒子、你女兒真的很像你
[00:02:27.320 --> 00:02:29.480]  你會很開心吧
[00:02:29.480 --> 00:02:31.120]  我兒女像我
[00:02:31.120 --> 00:02:32.200]  然後人家說
[00:02:32.200 --> 00:02:33.680]  一看就知道是你的兒子
[00:02:33.680 --> 00:02:35.200]  一看就知道是你的女兒
[00:02:35.200 --> 00:02:37.720]  哇,很開心吧
[00:02:37.720 --> 00:02:38.720]  真的很開心
[00:02:38.720 --> 00:02:40.680]  我想神造人的時候
[00:02:40.680 --> 00:02:41.560]  如果有人這樣說
[00:02:41.560 --> 00:02:43.200]  一看就知道是像你
[00:02:43.200 --> 00:02:44.680]  哇,神多開心
[00:02:44.680 --> 00:02:45.880]  是不是很開心
[00:02:45.880 --> 00:02:47.320]  其實神就是這樣
[00:02:47.320 --> 00:02:48.320]  就是他希望
[00:02:48.320 --> 00:02:49.920]  他造的人在地上
[00:02:49.920 --> 00:02:52.080]  他的兒女是像他
[00:02:52.080 --> 00:02:55.040]  並且像他做他的代表
[00:02:55.040 --> 00:02:56.240]  在這個地上
[00:02:56.240 --> 00:02:57.600]  就是去管理
[00:02:57.600 --> 00:03:00.800]  他之前五天所創造的萬物
[00:03:00.800 --> 00:03:01.920]  他說管理
[00:03:01.920 --> 00:03:02.800]  管理甚麼
[00:03:02.800 --> 00:03:04.360]  管理其實就是
[00:03:04.360 --> 00:03:08.680]  統治、管轄、監督的意思
[00:03:08.680 --> 00:03:09.800]  所以這裡說
[00:03:09.800 --> 00:03:12.720]  神要我們在地上
[00:03:12.720 --> 00:03:13.960]  做他的代表
[00:03:13.960 --> 00:03:14.960]  要人呢
[00:03:14.960 --> 00:03:18.400]  其他人在見到我們的時候
[00:03:18.400 --> 00:03:20.520]  就好像見到他
[00:03:20.520 --> 00:03:23.400]  而他給我們一個很尊貴的責任
[00:03:23.400 --> 00:03:24.720]  就是說
[00:03:24.720 --> 00:03:27.440]  把這個世界他所創造的萬物
[00:03:27.440 --> 00:03:29.160]  都委託、交託
[00:03:29.160 --> 00:03:30.520]  在我們的手上
[00:03:30.520 --> 00:03:32.240]  來管理
[00:03:32.240 --> 00:03:34.960]  哇,所以我們不是一坨泥
[00:03:34.960 --> 00:03:37.560]  我們不是一塊叉燒
[00:03:37.560 --> 00:03:39.320]  有些人說一塊叉燒
[00:03:39.320 --> 00:03:41.440]  我們是神尊貴的兒女
[00:03:41.440 --> 00:03:43.240]  今天神委託我們
[00:03:43.240 --> 00:03:45.240]  我們是有他的樣式
[00:03:45.240 --> 00:03:49.200]  你不是像誰,我們是像神
[00:03:49.200 --> 00:03:50.160]  是不是很榮耀
[00:03:50.160 --> 00:03:51.400]  所以我們的角色
[00:03:51.400 --> 00:03:52.640]  在神的眼裡
[00:03:52.640 --> 00:03:55.920]  其實是非常非常尊貴
[00:03:55.920 --> 00:03:58.000]  在二十八節裡說
[00:03:58.000 --> 00:04:00.880]  神要我們在地上
[00:04:00.880 --> 00:04:04.160]  人在地上生養眾多
[00:04:04.160 --> 00:04:06.400]  遍滿地面
[00:04:06.400 --> 00:04:07.360]  所以今天
[00:04:07.360 --> 00:04:09.440]  我們這裡每一位尊貴的媽媽
[00:04:09.440 --> 00:04:11.120]  其實是在跟神配合的
[00:04:11.120 --> 00:04:14.160]  就是神要人生養眾多
[00:04:14.160 --> 00:04:15.840]  遍滿地面
[00:04:15.840 --> 00:04:19.320]  所以媽媽的責任是非常重要
[00:04:19.320 --> 00:04:22.000]  這裡說神要人遍滿地面
[00:04:22.000 --> 00:04:23.600]  就是來幫助
[00:04:23.600 --> 00:04:24.560]  跟他同工
[00:04:24.560 --> 00:04:26.120]  在這個地上
[00:04:26.120 --> 00:04:27.680]  在不同的地方
[00:04:27.680 --> 00:04:28.720]  遍滿全地
[00:04:28.720 --> 00:04:30.640]  來代表他
[00:04:30.640 --> 00:04:33.720]  來管理這個世界
[00:04:33.720 --> 00:04:35.800]  來管理這個世界
[00:04:35.800 --> 00:04:37.600]  所以丁姐妹今天
