
[00:00:00.000 --> 00:00:03.040]  今天會和大家繼續看史達林傳的訊息
[00:00:03.040 --> 00:00:06.040]  上星期蔡牧師和大家來看第六章
[00:00:06.040 --> 00:00:08.760]  我們今天會主要看第七章
[00:00:08.760 --> 00:00:10.840]  但其實都和第六章有關係
[00:00:10.840 --> 00:00:13.200]  因為在第七章裏面
[00:00:13.200 --> 00:00:16.280]  是史提反的講道為主
[00:00:16.280 --> 00:00:20.240]  或者是他的生平最後的時刻
[00:00:20.240 --> 00:00:23.520]  我們很想你們回到第六章的時候
[00:00:23.520 --> 00:00:25.880]  都會多些去認識一下史提反
[00:00:25.880 --> 00:00:27.920]  從第七章我給他的題目是
[00:00:27.920 --> 00:00:30.280]  承先啟後的堅持
[00:00:30.280 --> 00:00:32.960]  但我們要先從史提反這個人的
[00:00:32.960 --> 00:00:35.640]  一個生命來認識多些
[00:00:35.640 --> 00:00:38.320]  以致我們能夠體會到他怎樣能夠可以
[00:00:38.320 --> 00:00:39.720]  在信仰上高
[00:00:39.720 --> 00:00:42.400]  在他的人生裏面來堅持
[00:00:42.400 --> 00:00:46.040]  神給他的使命和召命
[00:00:46.040 --> 00:00:48.800]  所以我很想先和大家認識一下史提反
[00:00:48.800 --> 00:00:51.640]  今天講的經文會比較長一點
[00:00:51.640 --> 00:00:53.480]  主要都會在第六第七章
[00:00:53.480 --> 00:00:55.560]  所以我都因為時間關係
[00:00:55.560 --> 00:00:57.800]  未必能夠和大家去看經文
[00:00:57.800 --> 00:00:59.720]  我會講一些
[00:00:59.720 --> 00:01:02.040]  但我很希望大家能夠回到家裏
[00:01:02.040 --> 00:01:04.400]  你重新可以看看第六第七章
[00:01:04.400 --> 00:01:06.040]  你就可以更加溫習到
[00:01:06.040 --> 00:01:09.760]  或者認識多些在這個信息裏面
[00:01:09.760 --> 00:01:12.560]  神給你的特別的
[00:01:12.560 --> 00:01:15.000]  在當中去認識
[00:01:15.000 --> 00:01:17.840]  所以稍後大家可以打開手上的聖經
[00:01:17.840 --> 00:01:20.640]  看看回到史提反的第七章
[00:01:20.640 --> 00:01:23.520]  或者你回到家裏再去溫習
[00:01:23.520 --> 00:01:24.800]  我們先認識一下史提反
[00:01:24.800 --> 00:01:26.920]  史提反是一個怎樣的人呢?
[00:01:26.920 --> 00:01:30.040]  在第六章裏面
[00:01:30.040 --> 00:01:33.040]  在史提反的介紹裏面
[00:01:33.040 --> 00:01:35.000]  我們可以從第六章認識很多
[00:01:35.000 --> 00:01:36.080]  其中一個很特別的
[00:01:36.080 --> 00:01:39.760]  他叫做「滿有恩惠能力」
[00:01:39.760 --> 00:01:42.800]  他形容史提反是一個滿有恩惠能力的人
[00:01:42.800 --> 00:01:45.120]  這個形容詞其實包含了甚麼呢?
[00:01:45.120 --> 00:01:47.440]  講到史提反生命的素質裏面
[00:01:47.440 --> 00:01:49.480]  是有溫柔
[00:01:49.480 --> 00:01:51.920]  又有一種堅毅
[00:01:51.920 --> 00:01:54.040]  這個融合在一起
[00:01:54.040 --> 00:01:57.160]  有時我們都會覺得溫柔的人比較柔弱
[00:01:57.160 --> 00:02:01.320]  很少會跟剛強、堅毅放在一起
[00:02:01.320 --> 00:02:06.080]  比較硬朗的人又覺得好像缺少了一些溫柔
[00:02:06.080 --> 00:02:09.760]  但是史提反就是一個又溫柔又堅毅的人
[00:02:09.760 --> 00:02:12.280]  所以這個正正就是他能夠
[00:02:12.280 --> 00:02:16.840]  怎樣成為一個承先啟後的堅持者
[00:02:16.840 --> 00:02:18.920]  而在第六章裏面也介紹到
[00:02:18.920 --> 00:02:21.040]  史提反去跟公會對話的時候
[00:02:21.040 --> 00:02:24.440]  去形容史提反好像天使的面貌
[00:02:24.440 --> 00:02:26.200]  在六章的十五節
[00:02:26.200 --> 00:02:32.960]  這裏是用了摩西去領受了神的律法
[00:02:32.960 --> 00:02:34.920]  從山上下來的時候
[00:02:34.920 --> 00:02:36.280]  見到一群以色列人
[00:02:36.280 --> 00:02:40.680]  以色列人形容就是見到摩西的面發光
[00:02:40.680 --> 00:02:44.320]  其實這個就是跟天使的面貌一樣的意思
[00:02:44.320 --> 00:02:49.480]  是在說人跟神是很有密切的關係
[00:02:49.480 --> 00:02:51.120]  跟神很靠近
[00:02:51.120 --> 00:02:52.880]  也很明白神的心意
[00:02:52.880 --> 00:02:54.880]  所以摩西就是其中一個的代表
