
[00:00:00.000 --> 00:00:03.000]  「殺雞還殺」
[00:00:03.000 --> 00:00:05.000]  各位弟兄姊妹
[00:00:05.000 --> 00:00:07.000]  平安舊約仍然說話
[00:00:07.000 --> 00:00:11.000]  我們中國人很喜歡「殺雞還殺」
[00:00:11.000 --> 00:00:13.000]  因為當你宰一隻雞的時候
[00:00:13.000 --> 00:00:15.000]  就會流血出來
[00:00:15.000 --> 00:00:17.000]  原來流血很重要
[00:00:17.000 --> 00:00:21.000]  因為血可以贖我們的罪
[00:00:21.000 --> 00:00:23.000]  原來在舊約聖經裏面
[00:00:23.000 --> 00:00:25.000]  都是規定以色列人
[00:00:25.000 --> 00:00:30.000]  要獻祭將他們的罪贖了
[00:00:30.000 --> 00:00:33.000]  在利未記這本書裏面
[00:00:33.000 --> 00:00:38.000]  就記載很多神呼叫摩西
[00:00:38.000 --> 00:00:41.000]  神曉諭摩西
[00:00:41.000 --> 00:00:43.000]  其實利未記這本書
[00:00:43.000 --> 00:00:45.000]  在希伯來文裏面
[00:00:45.000 --> 00:00:48.000]  就是他呼叫的意思
[00:00:48.000 --> 00:00:50.000]  原來在聖經裏面
[00:00:50.000 --> 00:00:54.000]  有很多次都是神向以色列人
[00:00:54.000 --> 00:00:57.000]  啟示他有要求
[00:00:57.000 --> 00:00:59.000]  他要求他們應該怎樣
[00:00:59.000 --> 00:01:02.000]  去贖自己的罪
[00:01:02.000 --> 00:01:03.000]  所以根據利未記
[00:01:03.000 --> 00:01:05.000]  第一到第五章
[00:01:05.000 --> 00:01:08.000]  記載了五個祭
[00:01:08.000 --> 00:01:13.000]  就是凡祭、素祭、平安祭
[00:01:13.000 --> 00:01:17.000]  贖罪祭和贖軒祭
[00:01:17.000 --> 00:01:19.000]  頭三個祭
[00:01:19.000 --> 00:01:22.000]  凡祭、素祭、平安祭
[00:01:22.000 --> 00:01:25.000]  都是自願的
[00:01:25.000 --> 00:01:28.000]  就是你很甘心寝願
[00:01:28.000 --> 00:01:33.000]  將一些的祭生獻給神的面前
[00:01:33.000 --> 00:01:36.000]  我先介紹一下凡祭
[00:01:36.000 --> 00:01:40.000]  凡祭又叫做Burnt offering
[00:01:40.000 --> 00:01:42.000]  就是全個的祭物
[00:01:42.000 --> 00:01:45.000]  都要燒在壇上面
[00:01:45.000 --> 00:01:47.000]  有五種動物
[00:01:47.000 --> 00:01:49.000]  你可以帶來獻祭的
[00:01:49.000 --> 00:01:51.000]  第一就是公牛
[00:01:51.000 --> 00:01:53.000]  第二就是山羊
[00:01:53.000 --> 00:01:54.000]  第三就是綿羊
[00:01:54.000 --> 00:01:56.000]  然後有兩隻鳥
[00:01:56.000 --> 00:01:58.000]  就是斑鷲
[00:01:58.000 --> 00:02:00.000]  或者是鋤甲
[00:02:00.000 --> 00:02:03.000]  這五種動物是可以用來獻祭的
[00:02:03.000 --> 00:02:06.000]  在利未記第一章記載
[00:02:06.000 --> 00:02:09.000]  你可能帶著一隻公牛來
[00:02:09.000 --> 00:02:13.000]  當時那些牛羊都是自己養的
[00:02:13.000 --> 00:02:16.000]  就是說你要在自己養的牛裡面
[00:02:16.000 --> 00:02:18.000]  你選一隻
[00:02:18.000 --> 00:02:21.000]  你知道養了動物這麼久
[00:02:21.000 --> 00:02:23.000]  你跟那些牛羊會有感情
[00:02:23.000 --> 00:02:25.000]  你會有種好不捨得
[00:02:25.000 --> 00:02:29.000]  而且你一定選一隻最好的
