
[00:00:00.000 --> 00:00:02.760]  各位弟姐妹平安
[00:00:02.760 --> 00:00:07.400]  剛才潔琪姐妹帶我們祈禱的時候
[00:00:07.400 --> 00:00:10.880]  她說到2020年已經過去了
[00:00:10.880 --> 00:00:14.160]  但是也是一個很困難的一年
[00:00:14.160 --> 00:00:18.000]  沒錯 2019至2020年實在有太多事情發生
[00:00:18.000 --> 00:00:19.480]  不是我們能夠預料
[00:00:19.480 --> 00:00:22.720]  更加不是我們懂得怎樣去應對
[00:00:22.720 --> 00:00:24.240]  指望2021年
[00:00:24.240 --> 00:00:27.440]  相信事情的發展不僅不會好轉
[00:00:27.440 --> 00:00:30.520]  有可能會越來越差
[00:00:30.520 --> 00:00:33.720]  面對一個浪又一個浪這樣蓋過來
[00:00:33.720 --> 00:00:35.520]  去打擊我們
[00:00:35.520 --> 00:00:40.440]  我們怎樣準備好自己去應對惡劣的環境呢?
[00:00:40.440 --> 00:00:43.760]  《史壇傳》正好給我們啟迪
[00:00:43.760 --> 00:00:47.280]  在我們聆聽上帝的話之前
[00:00:47.280 --> 00:00:51.080]  讓我們一起低頭祈禱
[00:00:51.080 --> 00:00:52.520]  先說感謝祢
[00:00:52.520 --> 00:00:55.080]  雖然我們分散在不同的地方
[00:00:55.080 --> 00:00:57.520]  不同的點裡面透過網絡
[00:00:57.520 --> 00:00:59.800]  我們一起參與敬拜
[00:00:59.800 --> 00:01:03.080]  但我們感謝祢賜給我們一份渴望的心
[00:01:03.080 --> 00:01:05.840]  其他的事情來到你的面前
[00:01:05.840 --> 00:01:10.320]  求祢讓我們能夠去專心去敬拜祢
[00:01:10.320 --> 00:01:13.520]  更加求聖靈去賜給我們有悟性
[00:01:13.520 --> 00:01:16.640]  以致我們能夠明白你話語中的奧秘
[00:01:16.640 --> 00:01:19.480]  好成為我們生命的泉源和力量
[00:01:19.480 --> 00:01:23.040]  有願講的和聽的都同蒙你的月亮
[00:01:23.040 --> 00:01:25.480]  祈禱奉主耶穌基督的名求
[00:01:25.480 --> 00:01:26.480]  阿們
[00:01:26.480 --> 00:01:29.840]  當我思想究竟2011年
[00:01:29.840 --> 00:01:33.800]  我跟大家分享一些什麼訊息的時候
[00:01:33.800 --> 00:01:37.680]  《史壇傳》就出現在我的腦海裡
[00:01:37.680 --> 00:01:40.680]  所以我期望在一年三個月裡
[00:01:40.680 --> 00:01:43.800]  我會跟大家分享《史壇傳》
[00:01:43.800 --> 00:01:47.840]  我首先輕輕地介紹《史壇傳》
[00:01:47.840 --> 00:01:50.840]  《史壇傳》是路高峰的續篇
[00:01:50.840 --> 00:01:52.840]  《史壇傳》第一節這樣說
[00:01:52.840 --> 00:01:54.400]  它說提亞非羅
[00:01:54.400 --> 00:01:56.200]  我在第一本書已經論到
[00:01:56.200 --> 00:02:00.880]  耶穌從開頭所做和所教導的一切事
[00:02:00.880 --> 00:02:03.440]  由這一節經文我們可以知道
[00:02:03.440 --> 00:02:06.480]  路高峰可以說是上集
[00:02:06.480 --> 00:02:09.680]  而《史壇傳》就是下集
[00:02:09.680 --> 00:02:13.160]  《史壇傳》主要記述耶穌早期的門徒
[00:02:13.160 --> 00:02:15.240]  如何在聖靈的引導之下
[00:02:15.240 --> 00:02:18.480]  在耶路撒冷、猶太傳地
[00:02:18.480 --> 00:02:23.440]  以及撒瑪利亞直到地極去做耶穌的見證
[00:02:23.440 --> 00:02:25.200]  《史壇傳》告訴我們
[00:02:25.200 --> 00:02:28.120]  基督信仰的發源是在猶太人當中
[00:02:28.120 --> 00:02:32.280]  而逐漸成為世界性的信仰
[00:02:32.280 --> 00:02:34.160]  從《史壇傳》的佈局
[00:02:34.160 --> 00:02:36.040]  作者似乎告訴我們
[00:02:36.040 --> 00:02:42.160]  基督信仰並不是要顛覆羅馬帝國的一種政治運動
[00:02:42.160 --> 00:02:47.240]  當然也不是靠攏政權而取得政治的利益
[00:02:47.240 --> 00:02:51.720]  作者都強調基督教的信仰承傳了猶太教
[00:02:51.720 --> 00:02:54.400]  《史壇傳》有一個很重要的特徵
[00:02:54.400 --> 00:02:56.880]  就是強調聖靈的工作
[00:02:56.880 --> 00:03:00.160]  所以有學者認為不應該叫做《史壇傳》
[00:03:00.160 --> 00:03:03.440]  應該叫做「聖靈行傳」
[00:03:03.440 --> 00:03:06.760]  聖靈的能力在五順節那天
[00:03:06.760 --> 00:03:09.240]  即是《史壇傳》的第二章
[00:03:09.240 --> 00:03:11.800]  降臨在耶路撒冷的信徒上
[00:03:11.800 --> 00:03:16.320]  並且在本書《史壇傳》裏面
[00:03:16.320 --> 00:03:19.200]  敘述的很多事情上
[00:03:19.200 --> 00:03:24.840]  繼續帶領和建立教會以及教會的領袖
[00:03:24.840 --> 00:03:28.480]  如果我們回頭看《路加福音》的記述時
[00:03:28.480 --> 00:03:29.560]  我們發現
[00:03:29.560 --> 00:03:31.560]  耶穌出來傳道以前
[00:03:31.560 --> 00:03:33.920]  祂已經按照聖靈的引導
[00:03:33.920 --> 00:03:37.560]  去到曠野來受魔鬼的試探
[00:03:37.560 --> 00:03:40.640]  耶穌一生都被聖靈充滿
[00:03:40.640 --> 00:03:42.120]  在祂的工作上
[00:03:42.120 --> 00:03:44.440]  祂都藉著聖靈所賜的能力
[00:03:44.440 --> 00:03:47.680]  按照聖靈的吩咐去行事
[00:03:47.680 --> 00:03:49.480]  耶穌復活後的四十天
[00:03:49.480 --> 00:03:51.320]  祂向門徒顯現
[00:03:51.320 --> 00:03:54.160]  除了證明祂已經勝過死亡的權勢
[00:03:54.160 --> 00:03:56.200]  祂仍然活著之外
[00:03:56.200 --> 00:03:59.360]  祂也教導門徒有關天國的事情
[00:03:59.360 --> 00:04:02.400]  在祂將要升天回到天父身邊的時候
[00:04:02.400 --> 00:04:04.400]  祂祝福門徒說
[00:04:04.400 --> 00:04:08.640]  請他們不要離開耶路撒冷
[00:04:08.640 --> 00:04:10.200]  因為上帝答應過
[00:04:10.200 --> 00:04:15.040]  但凡相信耶穌的人要受聖靈的使
[00:04:15.040 --> 00:04:15.960]  過幾天
[00:04:15.960 --> 00:04:18.680]  這個承諾就會兌現
[00:04:18.680 --> 00:04:21.600]  門徒要有聖靈所賜給他們的能力
[00:04:21.600 --> 00:04:23.000]  好像耶穌一樣
[00:04:23.000 --> 00:04:25.840]  可以接觸耶穌在地上的工作
[00:04:25.840 --> 00:04:28.480]  去建立天國在人間
[00:04:28.480 --> 00:04:30.360]  不過經文告訴我們
[00:04:30.360 --> 00:04:33.920]  門徒心裏有另一個關懷
[00:04:33.920 --> 00:04:35.480]  他們問耶穌
[00:04:35.480 --> 00:04:36.800]  主啊
