
[00:00:00.000 --> 00:00:10.000]  今天我們從《已布索書》這本書來看到整個這本書的情形
[00:00:10.000 --> 00:00:17.000]  我們先要來看到的就是已布索的地理背景 地理的歷史背景
[00:00:17.000 --> 00:00:23.000]  已布索是當時羅馬帝國在小雅西亞省的一個省會
[00:00:23.000 --> 00:00:30.000]  它是一個政治、文化、商業、宗教的一箇中心
[00:00:30.000 --> 00:00:38.000]  因爲在已布索有一個很出名的神廟叫雅底米神廟
[00:00:38.000 --> 00:00:43.000]  也是叫Diana 雅底米神也是Diana女神
[00:00:43.000 --> 00:00:49.000]  這個神廟是古代的七個奇蹟中心的一個
[00:00:49.000 --> 00:00:52.000]  可見這個建築是很雄偉的
[00:00:52.000 --> 00:00:58.000]  屬於列爲世界上古代的七大名級之一
[00:00:58.000 --> 00:01:01.000]  那麼它是在愛琴海的東岸
[00:01:01.000 --> 00:01:07.000]  已布索這個城市是一條河流要入海的地方
[00:01:07.000 --> 00:01:09.000]  在入海口的地方
[00:01:09.000 --> 00:01:14.000]  後來因爲河的淤泥慢慢擊沉
[00:01:14.000 --> 00:01:22.000]  慢慢在那個地方就有一個城市出現了
[00:01:22.000 --> 00:01:28.000]  所以它從水面的交通、從陸地的交通都是很方便的
[00:01:28.000 --> 00:01:31.000]  要從亞洲進到歐洲
[00:01:31.000 --> 00:01:34.000]  或者是要從亞洲進到非洲
[00:01:34.000 --> 00:01:36.000]  都是比較方便的地方
[00:01:36.000 --> 00:01:41.000]  這個雅底米神廟的出名
[00:01:41.000 --> 00:01:48.000]  是因爲他在廟裏供了一塊很大的黑色的隕石
[00:01:48.000 --> 00:01:50.000]  從天上掉下的石頭
[00:01:50.000 --> 00:01:53.000]  所以他把那個東西放在廟裏頭
[00:01:53.000 --> 00:01:55.000]  就有很多人來參觀
[00:01:55.000 --> 00:02:00.000]  那麼也用銀匠也用這樣的石頭的形狀
[00:02:00.000 --> 00:02:02.000]  做成一個像
[00:02:02.000 --> 00:02:04.000]  那麼就賣很多錢
[00:02:04.000 --> 00:02:08.000]  所以保羅在那個時候已布索書提到
[00:02:08.000 --> 00:02:09.000]  石頭神傳提到
[00:02:09.000 --> 00:02:11.000]  他在已布索書傳到的時候
[00:02:11.000 --> 00:02:14.000]  很多人就離棄了偶像歸向真神了
[00:02:14.000 --> 00:02:18.000]  所以就這個銀匠的生意就少了
[00:02:18.000 --> 00:02:21.000]  所以就起了這個騷動了
[00:02:21.000 --> 00:02:24.000]  那麼這就說到這個已布索書的地方
[00:02:24.000 --> 00:02:26.000]  是各方面的中心
[00:02:26.000 --> 00:02:27.000]  它政治方面
[00:02:27.000 --> 00:02:32.000]  它是在文化、在商業、在宗教
[00:02:32.000 --> 00:02:37.000]  都是一個很重要的一個城市
[00:02:37.000 --> 00:02:40.000]  這個已布索是保羅第二次
[00:02:40.000 --> 00:02:43.000]  跟第三次到海外去傳道的
[00:02:43.000 --> 00:02:45.000]  也去過的地方
[00:02:45.000 --> 00:02:46.000]  在那裏呢
[00:02:46.000 --> 00:02:51.000]  他差不多停留了有三年的時間
[00:02:51.000 --> 00:02:54.000]  石頭神傳告訴我們
[00:02:54.000 --> 00:02:57.000]  他說他在這三年當中
[00:02:57.000 --> 00:03:01.000]  他在已布索書講了很多神的話
[00:03:01.000 --> 00:03:05.000]  那麼就叫在雅西亞這個省
[00:03:05.000 --> 00:03:09.000]  很多的外邦人跟這猶太人
