
[00:00:00.000 --> 00:00:08.000]  今早上我們讀這段經文是非常具有戲劇性的
[00:00:08.000 --> 00:00:15.000]  我不知道大家站著讀或聽到讀的時候有沒有這種感覺
[00:00:15.000 --> 00:00:23.000]  我覺得這段經文使每一個讀的人都令人有一種驚慄和震撼的感覺
[00:00:23.000 --> 00:00:28.000]  而且這段場面是充滿戲劇性的場面
[00:00:28.000 --> 00:00:32.000]  首先從馬克福音經文的技術
[00:00:32.000 --> 00:00:38.000]  我們看到一個正在舉行的華麗熱鬧的宮廷舞會
[00:00:38.000 --> 00:00:41.000]  一個很大的場面
[00:00:41.000 --> 00:00:46.000]  宮廷希律王開了一個大宴會
[00:00:46.000 --> 00:00:50.000]  請了他很多很多賓客
[00:00:50.000 --> 00:00:54.000]  在這個宴會上衣香噴影
[00:00:54.000 --> 00:00:57.000]  可以說是酒池玉林
[00:00:57.000 --> 00:01:02.000]  來賓裡面有羅馬的將領和高官
[00:01:02.000 --> 00:01:05.000]  也有本地的領袖
[00:01:05.000 --> 00:01:08.000]  正所謂是觀蓋雲集
[00:01:08.000 --> 00:01:10.000]  高朋滿座
[00:01:10.000 --> 00:01:13.000]  是一個極其熱鬧的舞會
[00:01:13.000 --> 00:01:18.000]  直播片時一會兒之後
[00:01:18.000 --> 00:01:21.000]  突然大家平息靜氣
[00:01:21.000 --> 00:01:26.000]  定睛看到一位美少女登場
[00:01:26.000 --> 00:01:29.000]  她婀娜多姿
[00:01:29.000 --> 00:01:31.000]  隨歌起舞
[00:01:31.000 --> 00:01:33.000]  現競四座
[00:01:33.000 --> 00:01:39.000]  主人希律王也非常欣賞傳言的陶醉
[00:01:39.000 --> 00:01:41.000]  在舞蹈表演之後
[00:01:41.000 --> 00:01:45.000]  他與少女傾談幾句
[00:01:45.000 --> 00:01:49.000]  然後宴會繼續舉行
[00:01:49.000 --> 00:01:52.000]  大家已經聽過這個故事
[00:01:52.000 --> 00:01:57.000]  但有沒有感受到節奏和懷疑呢?
[00:01:57.000 --> 00:02:00.000]  這個故事並沒有因此而結束
[00:02:00.000 --> 00:02:05.000]  高潮在最後才出現
[00:02:05.000 --> 00:02:07.000]  一個王的下屬
[00:02:07.000 --> 00:02:09.000]  手下一個官員
[00:02:09.000 --> 00:02:11.000]  從宮殿的側門進來
[00:02:11.000 --> 00:02:14.000]  手裡拿著一個托盤
[00:02:14.000 --> 00:02:16.000]  一個托盤的大銀盤
[00:02:16.000 --> 00:02:18.000]  拿進來
[00:02:18.000 --> 00:02:23.000]  就像我們參加大宴會的時候
[00:02:23.000 --> 00:02:27.000]  酒店的侍者一樣
[00:02:27.000 --> 00:02:31.000]  這個銀盤上面蓋著一個蓋
[00:02:31.000 --> 00:02:34.000]  大家又再次靜默
[00:02:34.000 --> 00:02:37.000]  鴉雀無聲
[00:02:37.000 --> 00:02:40.000]  上菜的時候當然要打開這個銀盤
[00:02:40.000 --> 00:02:44.000]  這個蓋子
[00:02:44.000 --> 00:02:47.000]  大家怎麼看呢?
[00:02:47.000 --> 00:02:50.000]  這個王下令將這個蓋子打開
[00:02:50.000 --> 00:02:53.000]  嘩!這個是很厲害的
[00:02:53.000 --> 00:02:57.000]  又不是什麼山珍海味
[00:02:57.000 --> 00:03:00.000]  也不是什麼佳餚美食
[00:03:00.000 --> 00:03:04.000]  我們剛剛在沙田新城市廣場那裡
[00:03:04.000 --> 00:03:07.000]  有一間德國的餐廳要開
[00:03:07.000 --> 00:03:09.000]  一大塊是豬手
[00:03:09.000 --> 00:03:11.000]  但這個什麼都不是
[00:03:11.000 --> 00:03:15.000]  而是一顆一個人頭
[00:03:15.000 --> 00:03:18.000]  血淋淋的首級
[00:03:18.000 --> 00:03:21.000]  頸上的鮮血還沒乾
[00:03:21.000 --> 00:03:24.000]  剛剛才斬下來的人頭
[00:03:24.000 --> 00:03:26.000]  所以無論是官員
[00:03:26.000 --> 00:03:28.000]  無論是很多人都好
[00:03:28.000 --> 00:03:30.000]  都在這個場面下面
[00:03:30.000 --> 00:03:34.000]  嚇得目呆口呆
[00:03:34.000 --> 00:03:36.000]  但是在座當中
[00:03:36.000 --> 00:03:38.000]  可能已經有人會說
[00:03:38.000 --> 00:03:40.000]  嘩!是以利亞
[00:03:40.000 --> 00:03:43.000]  這個不是在這個場景下面
[00:03:43.000 --> 00:03:45.000]  最後聖經是這樣說
[00:03:45.000 --> 00:03:48.000]  但是為什麼將以利亞連在一起呢?
[00:03:48.000 --> 00:03:53.000]  我感覺到很多在座的人
[00:03:53.000 --> 00:03:56.000]  都會突然間不期然地說
[00:03:56.000 --> 00:04:00.000]  嘩!是以利亞
[00:04:00.000 --> 00:04:05.000]  以利亞就是我今天要說的主人翁
[00:04:05.000 --> 00:04:07.000]  我們熟悉的聖經
[00:04:07.000 --> 00:04:09.000]  或者這段聖經的人都應該知道
[00:04:09.000 --> 00:04:12.000]  被殺的人不是以利亞
[00:04:12.000 --> 00:04:14.000]  而是施洗約翰
[00:04:14.000 --> 00:04:16.000]  因為他不滿意希律王
[00:04:16.000 --> 00:04:19.000]  娶了他的弟婦希羅底做皇后
[00:04:19.000 --> 00:04:22.000]  得罪了希羅底
[00:04:22.000 --> 00:04:25.000]  所以他就暗暗地懷恨於心
[00:04:25.000 --> 00:04:29.000]  跳舞的少女就是希羅底的女兒
[00:04:29.000 --> 00:04:32.000]  她因為跳舞得到皇的歡心
[00:04:32.000 --> 00:04:34.000]  答應為她做任何一件事
[00:04:34.000 --> 00:04:36.000]  言出必行
[00:04:36.000 --> 00:04:38.000]  希羅底就吩咐他的女兒
[00:04:38.000 --> 00:04:41.000]  要施洗約翰的頭
[00:04:41.000 --> 00:04:45.000]  於是就有了這段經文和故事
[00:04:45.000 --> 00:04:47.000]  這就是他的背景
[00:04:47.000 --> 00:04:50.000]  充滿戲劇性
[00:04:50.000 --> 00:04:53.000]  和使人震驚的故事
[00:04:53.000 --> 00:04:57.000]  但這不是我今天要說的主題
[00:04:57.000 --> 00:05:01.000]  這裡說到突然間有人以為是以利亞
[00:05:01.000 --> 00:05:03.000]  我要說的是
[00:05:03.000 --> 00:05:07.000]  這個人突然間以為他是誰
[00:05:07.000 --> 00:05:09.000]  但實際上又不是
[00:05:09.000 --> 00:05:14.000]  就是以利亞這個人
[00:05:14.000 --> 00:05:19.000]  又發生在以利亞身上的一件事
[00:05:19.000 --> 00:05:21.000]  同樣具有戲劇性
[00:05:21.000 --> 00:05:24.000]  同樣令人震撼
[00:05:24.000 --> 00:05:28.000]  但以利亞是施洗約翰
[00:05:28.000 --> 00:05:37.000]  大概一千年前的猶太人先知
[00:05:37.000 --> 00:05:43.000]  但他出現在馬可福音這段故事的前面
[00:05:43.000 --> 00:05:52.000]  大家從這個名字引導到希律王的舞會
[00:05:52.000 --> 00:05:57.000]  這個名字其實不單止在這段聖經裡出現
[00:05:57.000 --> 00:06:02.000]  在這麼戲劇性的場面裡出現
[00:06:02.000 --> 00:06:06.000]  在聖經裡凡是有一些重要的事情
[00:06:06.000 --> 00:06:10.000]  凡是有一些震撼人心的大事
[00:06:10.000 --> 00:06:18.000]  他的名字就會跑出來
[00:06:18.000 --> 00:06:23.000]  當以色列的民眾看到神蹟
[00:06:23.000 --> 00:06:25.000]  看到一些奇事
[00:06:25.000 --> 00:06:29.000]  看到一些令他們震動心弦的事
[00:06:29.000 --> 00:06:33.000]  例如銀盤裡血淋淋的人頭
[00:06:33.000 --> 00:06:37.000]  大家都會不假思索地說
[00:06:37.000 --> 00:06:45.000]  為什麼是以利亞而不是其他人呢?
[00:06:45.000 --> 00:06:47.000]  我們要知道
[00:06:47.000 --> 00:06:51.000]  以利亞雖然是猶太人歷史上著名的先知
[00:06:51.000 --> 00:06:54.000]  是一個不死的先知
