
[00:00:00.000 --> 00:00:07.280]  如果你是對於Tricup記是有掙扎的
[00:00:07.280 --> 00:00:09.600]  尤其是去到下半部的時候
[00:00:09.600 --> 00:00:13.740]  我今天這個交友站都是特別為你而設的
[00:00:13.740 --> 00:00:17.540]  我上個禮拜都有些大兄問我
[00:00:17.540 --> 00:00:19.720]  就說真的很難頂
[00:00:19.720 --> 00:00:23.400]  去到後面那裡25章開始
[00:00:23.400 --> 00:00:27.200]  全部都在講那個會幕的建造
[00:00:27.200 --> 00:00:29.200]  究竟有什麼重要呢?
[00:00:29.200 --> 00:00:34.340]  今天我就想花這個交友站跟大家解釋
[00:00:34.340 --> 00:00:40.020]  不僅是我們要看的32、33、34章那裡
[00:00:40.020 --> 00:00:43.400]  也都是講這個整個架構
[00:00:43.400 --> 00:00:46.880]  希望對你都是有幫助
[00:00:46.880 --> 00:00:54.160]  如果你去看這個Tricup記第25至40章
[00:00:54.160 --> 00:00:56.780]  前面那些故事就很好看的
[00:00:56.780 --> 00:01:00.380]  看著看著突然間好像走進了一個歷史博物館
[00:01:00.380 --> 00:01:04.620]  跟你講這個聖所會幕建造的規格
[00:01:04.620 --> 00:01:07.500]  而且非常非常仔細
[00:01:07.500 --> 00:01:09.040]  哇 悶到抽筋
[00:01:09.040 --> 00:01:11.340]  連那些材料都不知道是什麼
[00:01:11.340 --> 00:01:14.680]  那些編織來的都不知道拿來幹什麼
[00:01:14.680 --> 00:01:19.320]  在Tricup記裡面的第25至31章
[00:01:19.320 --> 00:01:24.720]  都是在講聖所會幕建造的規格
[00:01:24.720 --> 00:01:28.460]  你會發覺去到35至40章
[00:01:28.460 --> 00:01:30.460]  很多這些規格是重複的
[00:01:30.460 --> 00:01:35.320]  不過重複得來它是在講它真的建造的過程
[00:01:35.320 --> 00:01:38.100]  甚至去到最後的終結
[00:01:38.100 --> 00:01:41.600]  最後的高潮就是建造完成了
[00:01:41.600 --> 00:01:46.020]  在中間就隔了32章至34章
[00:01:46.020 --> 00:01:47.720]  就是你今天正在讀的
[00:01:47.720 --> 00:01:48.940]  是講什麼呢?
[00:01:48.940 --> 00:01:51.460]  是講一個很熟悉的故事
[00:01:51.460 --> 00:01:53.300]  就是金牛族的故事
[00:01:53.300 --> 00:01:56.060]  所以有時候你看到今天
[00:01:56.060 --> 00:01:58.840]  總算沒有那麼悶了
[00:01:58.840 --> 00:02:02.880]  但是我告訴你 其實前後是非常精彩的
[00:02:02.880 --> 00:02:05.780]  OK 所以今天我們中間的那一塊
[00:02:05.780 --> 00:02:09.300]  就是西奈山或者西奈山下
[00:02:09.300 --> 00:02:13.900]  就叛逆、犯法的 以色列人犯法
[00:02:13.900 --> 00:02:17.140]  如果你看 一和三就是
