
[00:00:00.000 --> 00:00:04.000]  好,然後我們有個祈禱,然後我們進入聖經裡面
[00:00:04.000 --> 00:00:10.000]  聖母,我們感謝你,因為你有恩典,有憐憫
[00:00:10.000 --> 00:00:15.000]  是你自己親自揀選我們,成為你的兒女
[00:00:15.000 --> 00:00:21.000]  今天我們在這裡,來敬拜你,來服侍你
[00:00:21.000 --> 00:00:24.000]  我們求你,就在當中,來引導我們
[00:00:24.000 --> 00:00:27.000]  特別,我們要來研讀你的話語
[00:00:27.000 --> 00:00:30.000]  我們深信你的話語打開,就有能力
[00:00:30.000 --> 00:00:33.000]  能夠改變人的心
[00:00:33.000 --> 00:00:39.000]  我們今天就在這裡,期待你的聖靈,來改變我們的心
[00:00:39.000 --> 00:00:42.000]  恭敬將以下的時間交託,求你與我們同在
[00:00:42.000 --> 00:00:47.000]  我們禱告,奉耶穌基督的名求,阿們
[00:00:47.000 --> 00:00:50.000]  還有,不夠一個月,就是聖誕節了
[00:00:50.000 --> 00:00:56.000]  聖誕節一直以來,都是教會裡面一個很重要的節日
[00:00:56.000 --> 00:01:03.000]  特別,我當然已經一段時間沒有在教會裡木會
[00:01:03.000 --> 00:01:08.000]  我還記得,在教會木會的時候,最怕的就是聖誕節
[00:01:08.000 --> 00:01:11.000]  為甚麼呢?因為不停地吃
[00:01:11.000 --> 00:01:16.000]  每個小組,每個團契,總之就是吃
[00:01:16.000 --> 00:01:21.000]  所以,你也知道,做木者,你吃一個不吃第二個
[00:01:21.000 --> 00:01:24.000]  是很大一件事,所以全部都要吃
[00:01:24.000 --> 00:01:29.000]  所以每次一到聖誕節,就重十幾磅左右
[00:01:29.000 --> 00:01:31.000]  有沒有啊你?
[00:01:31.000 --> 00:01:35.000]  可能疫情這兩年好一點
[00:01:35.000 --> 00:01:41.000]  聖誕節,其實教會傳統以來
[00:01:41.000 --> 00:01:48.000]  是選擇用12月25日,來紀念主耶穌的降生
[00:01:48.000 --> 00:01:53.000]  目的當然不是要為耶穌慶祝生日
[00:01:53.000 --> 00:01:57.000]  而是紀念祂渡成肉身,成就了救恩
[00:01:57.000 --> 00:02:03.000]  改變了人類終極的結果
[00:02:03.000 --> 00:02:05.000]  彼得前書一章三節
[00:02:05.000 --> 00:02:08.000]  剛才領事的弟兄跟我們讀過了
[00:02:08.000 --> 00:02:10.000]  聖經怎麼說呢?聖經這裡說
[00:02:10.000 --> 00:02:15.000]  「願眾贊歸於我們主耶穌基督的父神」
[00:02:15.000 --> 00:02:19.000]  彼得一開始來到讚美神,為甚麼要讚美神呢?
[00:02:19.000 --> 00:02:24.000]  他接著說:「他曾照自己的大憐憫
[00:02:24.000 --> 00:02:27.000]  藉著耶穌基督從死裡復活,重生了我們
[00:02:27.000 --> 00:02:33.000]  叫我們有活潑的盼望」
[00:02:33.000 --> 00:02:36.000]  「因著神有大憐憫」
[00:02:36.000 --> 00:02:40.000]  「大」這個字,直譯是很多
[00:02:40.000 --> 00:02:43.000]  所以英文,新國際譯本
[00:02:43.000 --> 00:02:47.000]  翻譯為abundance,很豐富,這是對的
[00:02:47.000 --> 00:02:50.000]  不過這裡我想特別提醒
[00:02:50.000 --> 00:02:53.000]  不是因為神有很豐富,有很多的恩典
[00:02:53.000 --> 00:02:57.000]  祂非給你,非給我不可
[00:02:57.000 --> 00:03:00.000]  你也有很多東西,我又不見你給我
[00:03:00.000 --> 00:03:02.000]  不是有就要給的,對不對?
[00:03:02.000 --> 00:03:04.000]  所以你千萬不要覺得
[00:03:04.000 --> 00:03:06.000]  神因為有很豐富的恩典
[00:03:06.000 --> 00:03:08.000]  祂非要給恩典過你
[00:03:08.000 --> 00:03:12.000]  非要憐憫你不可
[00:03:12.000 --> 00:03:14.000]  聖經說得很清楚
[00:03:14.000 --> 00:03:16.000]  我們還作罪人的時候
[00:03:16.000 --> 00:03:19.000]  神就為我們死
[00:03:19.000 --> 00:03:21.000]  不是我們有多好
[00:03:21.000 --> 00:03:23.000]  所以神選擇道成肉身
[00:03:23.000 --> 00:03:25.000]  釘在十字架上
[00:03:25.000 --> 00:03:27.000]  來拯救你和我
[00:03:27.000 --> 00:03:29.000]  剛剛相反
[00:03:29.000 --> 00:03:31.000]  不是我們有多好
