
[00:00:00.000 --> 00:00:02.540]  願佛人口中的言語
[00:00:02.540 --> 00:00:05.520]  弟兄姊妹的心思意念
[00:00:05.520 --> 00:00:07.520]  蒙聖靈的啟迪
[00:00:07.520 --> 00:00:09.020]  蒙主的悅立
[00:00:09.020 --> 00:00:11.520]  禱告藉主耶穌基督的聖名而求
[00:00:11.520 --> 00:00:13.520]  阿門
[00:00:13.520 --> 00:00:21.520]  一個受愛戴的人
[00:00:21.520 --> 00:00:23.520]  他所到之處
[00:00:23.520 --> 00:00:25.520]  就會有歡呼聲
[00:00:25.520 --> 00:00:27.520]  亦會有特別的方式
[00:00:27.520 --> 00:00:29.520]  來歡迎他的出現
[00:00:29.520 --> 00:00:32.520]  以顯示對他那種尊重
[00:00:32.520 --> 00:00:34.520]  相反
[00:00:34.520 --> 00:00:36.520]  如果是一個不受歡迎的人
[00:00:36.520 --> 00:00:38.520]  他所到之處
[00:00:38.520 --> 00:00:41.520]  就會有噓聲、示威、抗議
[00:00:41.520 --> 00:00:43.520]  不同的地方
[00:00:43.520 --> 00:00:45.520]  歡迎的方式
[00:00:45.520 --> 00:00:47.520]  是有一些獨特之處
[00:00:47.520 --> 00:00:51.520]  以顯示他們的文化和傳統
[00:00:51.520 --> 00:00:53.520]  在去年
[00:00:53.520 --> 00:00:56.520]  國家主席習近平
[00:00:56.520 --> 00:00:58.520]  就有一些國事訪問
[00:00:58.520 --> 00:01:01.520]  我留意到其中一些報導
[00:01:01.520 --> 00:01:03.520]  他去到一些地方
[00:01:03.520 --> 00:01:06.520]  是受到非常特別的歡迎
[00:01:06.520 --> 00:01:08.520]  當然這些特別的歡迎
[00:01:08.520 --> 00:01:11.520]  是一個地方他們的傳統
[00:01:11.520 --> 00:01:14.520]  可以說是一個很高的規格
[00:01:14.520 --> 00:01:20.520]  亦是顯示對於主席的重視
[00:01:20.520 --> 00:01:23.520]  我將一些主要的圖片
[00:01:23.520 --> 00:01:26.520]  做出來播放給大家看
[00:01:26.520 --> 00:01:30.520]  來介紹一下有什麼特別的歡迎儀式
[00:01:30.520 --> 00:01:33.520]  其中有一個地方
[00:01:33.520 --> 00:01:35.520]  是習近平主席去到的
[00:01:35.520 --> 00:01:37.520]  就是飛濟
[00:01:37.520 --> 00:01:41.520]  飛濟是南太平洋的一個群島
[00:01:41.520 --> 00:01:43.520]  是一個島國
[00:01:43.520 --> 00:01:45.520]  亦是一個基督教的國家
[00:01:45.520 --> 00:01:50.520]  當主席的專機
[00:01:50.520 --> 00:01:53.520]  降落飛濟的機場之後
[00:01:53.520 --> 00:01:58.520]  大家可以看到飛機兩旁噴水
[00:01:58.520 --> 00:02:00.520]  並不是因為飛機著火
[00:02:00.520 --> 00:02:01.520]  所以他來救火
[00:02:01.520 --> 00:02:03.520]  他在做什麼呢
[00:02:03.520 --> 00:02:07.520]  原來飛濟的人
[00:02:07.520 --> 00:02:10.520]  他們用兩輛卡車
[00:02:10.520 --> 00:02:13.520]  不斷向飛機射水
[00:02:13.520 --> 00:02:17.520]  製造了一個水漠門
[00:02:17.520 --> 00:02:19.520]  是代表什麼意思呢
[00:02:19.520 --> 00:02:24.520]  就是代表一個向尊貴的客人洗塵
[00:02:24.520 --> 00:02:28.520]  真的用水洗乾淨飛機
[00:02:28.520 --> 00:02:35.520]  歡迎他降落到飛濟機場
[00:02:35.520 --> 00:02:40.520]  接著開始送上見面禮
[00:02:40.520 --> 00:02:45.520]  下一幅大家會看到
[00:02:45.520 --> 00:02:46.520]  送什麼呢
[00:02:46.520 --> 00:02:48.520]  鯨魚牙
[00:02:48.520 --> 00:02:50.520]  當然我們中國人知道
[00:02:50.520 --> 00:02:53.520]  象牙很寶貴
[00:02:53.520 --> 00:02:55.520]  但飛濟在南太平洋
[00:02:55.520 --> 00:03:00.520]  在海洋中找到的就是鯨魚
[00:03:00.520 --> 00:03:03.520]  鯨魚牙代表什麼呢
[00:03:03.520 --> 00:03:06.520]  代表權力的象徵
[00:03:06.520 --> 00:03:09.520]  所以不是一般人可以得到
[00:03:09.520 --> 00:03:12.520]  在飛濟的一些土著
[00:03:12.520 --> 00:03:14.520]  是那些族長
[00:03:14.520 --> 00:03:17.520]  才可以帶起鯨魚牙
[00:03:17.520 --> 00:03:21.520]  所以把這隻鯨魚牙
[00:03:21.520 --> 00:03:23.520]  有一條鏈穿著
[00:03:23.520 --> 00:03:26.520]  帶在身上
