
[00:00:00.000 --> 00:00:03.100]  今年的經文,我自己在這裡禱告
[00:00:03.100 --> 00:00:08.300]  它的思想對我自己有很重要的意義
[00:00:08.300 --> 00:00:12.100]  因為今天我們看到香港或者在世界各地的基督徒
[00:00:12.100 --> 00:00:14.100]  可能有些基督徒很淑靈
[00:00:14.100 --> 00:00:16.400]  你跟他們說話,很多的聖經
[00:00:16.400 --> 00:00:18.100]  很多的信仰的知識
[00:00:18.100 --> 00:00:21.100]  或者一些術語可以跟他們溝通
[00:00:21.100 --> 00:00:22.700]  回到團契很勤力
[00:00:22.700 --> 00:00:27.100]  去崇拜也很好,或者做很多的事情
[00:00:27.100 --> 00:00:30.100]  但是卻可能不太落地
[00:00:30.100 --> 00:00:33.100]  但有些人他又很抗拒教會
[00:00:33.100 --> 00:00:35.100]  他很熱心社會的公益
[00:00:35.100 --> 00:00:40.100]  我們說這個世界好像天和地可以相差很遠
[00:00:40.100 --> 00:00:41.100]  有些人是不落地的
[00:00:41.100 --> 00:00:43.100]  他經常很淑天很淑靈
[00:00:43.100 --> 00:00:48.100]  他講了信仰的東西,但卻不是去到人間裡面
[00:00:48.100 --> 00:00:50.100]  作者是彼得,因為這裡是彼得前書
[00:00:50.100 --> 00:00:53.100]  我們都很清楚相信彼得是一個怎樣的人
[00:00:53.100 --> 00:00:55.100]  在他幾年跟從耶穌的裡面
[00:00:55.100 --> 00:00:57.100]  很多不成熟的表現
[00:00:57.100 --> 00:00:59.100]  或者很真誠的表現可以這樣說
[00:00:59.100 --> 00:01:01.100]  他有那樣就說那樣
[00:01:01.100 --> 00:01:04.100]  但他的信仰也不是很成熟
[00:01:04.100 --> 00:01:06.100]  慢慢慢慢成熟了一點
[00:01:06.100 --> 00:01:09.100]  去到耶穌死的時候還是否認主
[00:01:09.100 --> 00:01:11.100]  不過過了幾十年
[00:01:11.100 --> 00:01:13.100]  我們相信這本書可能過了三十年
[00:01:13.100 --> 00:01:15.100]  耶穌死之後大概三十年左右寫
[00:01:15.100 --> 00:01:18.100]  彼得寫的時候,他的生命有很多的經歷
[00:01:18.100 --> 00:01:21.100]  很多的體驗
[00:01:21.100 --> 00:01:23.100]  在那幾十年裡面
[00:01:23.100 --> 00:01:30.100]  羅馬政府對新興的宗教群體的壓力越來越大
[00:01:30.100 --> 00:01:37.100]  修信人的對象是一些流散的信徒
[00:01:37.100 --> 00:01:39.100]  在不同的地區生活
[00:01:39.100 --> 00:01:43.100]  當時外邦的世界有很多的歪風
[00:01:43.100 --> 00:01:47.100]  很多的不道德的事情出現
[00:01:47.100 --> 00:01:49.100]  信徒處身在這個世界
[00:01:49.100 --> 00:01:53.100]  我們可以怎樣去回應,怎樣去參與
[00:01:53.100 --> 00:01:55.100]  或者怎樣去拒絕
[00:01:55.100 --> 00:02:00.100]  或者怎樣去進行我們基督徒信仰的歷程
[00:02:00.100 --> 00:02:02.100]  在這本經文裡面
[00:02:02.100 --> 00:02:05.100]  我們首先看一下這些外邦人的背景
[00:02:05.100 --> 00:02:09.100]  他們是分散在小說世界五個不同的地方
[00:02:09.100 --> 00:02:13.100]  都是外邦人居住的地區當中
[00:02:13.100 --> 00:02:17.100]  他們以前是無媒無知的
[00:02:17.100 --> 00:02:21.100]  他們以前的祖宗的行為都是虛妄的
[00:02:21.100 --> 00:02:23.100]  他們以前不是子民
[00:02:23.100 --> 00:02:27.100]  他們以前是處於外邦人的深夜行
[00:02:27.100 --> 00:02:29.100]  彼得前說給了很多的資料
[00:02:29.100 --> 00:02:33.100]  告訴我們這些一大批是外邦背景的信徒
[00:02:33.100 --> 00:02:35.100]  可能小部分是猶太背景
[00:02:35.100 --> 00:02:39.100]  不過可能較大部分是外邦背景的信徒
[00:02:39.100 --> 00:02:43.100]  所以經文很多的針對著他們的情況
[00:02:43.100 --> 00:02:45.100]  去對我們說話
[00:02:45.100 --> 00:02:47.100]  我們都是外邦人的背景
[00:02:47.100 --> 00:02:49.100]  我們當中好像沒有什麼猶太人
[00:02:49.100 --> 00:02:51.100]  好像沒有聽過我們當中有猶太人
[00:02:51.100 --> 00:02:54.100]  所以我們都是一種外邦人的背景
[00:02:54.100 --> 00:02:58.100]  昔日外邦人的背景都是很多問題的出現
[00:02:58.100 --> 00:02:59.100]  之前說過
[00:02:59.100 --> 00:03:03.100]  有些在很多的神廟裡面
[00:03:03.100 --> 00:03:06.100]  很多是食祭偶像的物
[00:03:06.100 --> 00:03:08.100]  有些是很道德上很淫邪
[00:03:08.100 --> 00:03:10.100]  對男女的關係很鬆散
[00:03:10.100 --> 00:03:12.100]  沒有什麼道德的界線
[00:03:12.100 --> 00:03:16.100]  對這個社會是一個有壓力
[00:03:16.100 --> 00:03:18.100]  在上面有一種政治壓力
[00:03:18.100 --> 00:03:20.100]  可以壓迫下面的人
[00:03:20.100 --> 00:03:21.100]  是不需要講公義
[00:03:21.100 --> 00:03:22.100]  不需要講道德
[00:03:22.100 --> 00:03:24.100]  不需要講任何的什麼
[00:03:24.100 --> 00:03:26.100]  很虛妄的
[00:03:26.100 --> 00:03:28.100]  因為講到他從前不是子民
[00:03:28.100 --> 00:03:30.100]  因為他以前不是屬神的
[00:03:30.100 --> 00:03:31.100]  是外邦人的
[00:03:31.100 --> 00:03:33.100]  但是今天是不同
[00:03:33.100 --> 00:03:35.100]  所以彼得在整篇書卷裡面
[00:03:35.100 --> 00:03:37.100]  很多很多很好的教導
[00:03:37.100 --> 00:03:38.100]  很落實的教導
[00:03:38.100 --> 00:03:40.100]  今天當我們思想
[00:03:40.100 --> 00:03:42.100]  我們自己如何處身的時候
[00:03:42.100 --> 00:03:45.100]  透過幾節經文來分享
[00:03:45.100 --> 00:03:48.100]  第一點是一個超凡的身份
[00:03:48.100 --> 00:03:50.100]  第九節上半節都是這樣說
[00:03:50.100 --> 00:03:52.100]  唯有你們是被揀選的族類
[00:03:52.100 --> 00:03:53.100]  是有君尊的祭司
[00:03:53.100 --> 00:03:54.100]  升級國度
[00:03:54.100 --> 00:03:56.100]  屬神的子民
[00:03:56.100 --> 00:03:58.100]  被揀選的
[00:03:58.100 --> 00:03:59.100]  我們講到
[00:03:59.100 --> 00:04:00.100]  我們每一個教育圖
[00:04:00.100 --> 00:04:01.100]  包括這個群體
[00:04:01.100 --> 00:04:04.100]  一個被揀選的群體
[00:04:04.100 --> 00:04:06.100]  在很多不同的人種裡面
[00:04:06.100 --> 00:04:09.100]  在舊約的世界神揀選了
[00:04:09.100 --> 00:04:10.100]  以色列文
[00:04:10.100 --> 00:04:11.100]  阿伯拉罕的後裔
[00:04:11.100 --> 00:04:13.100]  一直傳承下來
[00:04:13.100 --> 00:04:15.100]  在教育世界我們主要看到
[00:04:15.100 --> 00:04:18.100]  以色列文是神所揀選的一群
[00:04:18.100 --> 00:04:20.100]  但是當耶穌來到世界之後
[00:04:20.100 --> 00:04:22.100]  這種揀選就擴闊了
[00:04:22.100 --> 00:04:23.100]  去到每一個外邦的人
[00:04:23.100 --> 00:04:26.100]  都可以成為揀選的一個群體
[00:04:26.100 --> 00:04:29.100]  今天你和我都是被揀選的群體裡面
[00:04:29.100 --> 00:04:31.100]  其中一分子
[00:04:31.100 --> 00:04:32.100]  我們經常問
[00:04:32.100 --> 00:04:34.100]  或者團計討論過這個問題
[00:04:34.100 --> 00:04:36.100]  原來發覺團計是完不到
[00:04:36.100 --> 00:04:38.100]  我們在青年團計討論
[00:04:38.100 --> 00:04:40.100]  什麼是被揀選?
[00:04:40.100 --> 00:04:41.100]  是一種恩典
[00:04:41.100 --> 00:04:44.100]  不是每個人都被揀選
[00:04:44.100 --> 00:04:45.100]  大家可以想像
[00:04:45.100 --> 00:04:46.100]  大家讀過書
[00:04:46.100 --> 00:04:48.100]  我不知道大家有誰做過頒獎
[00:04:48.100 --> 00:04:49.100]  請你舉手
[00:04:49.100 --> 00:04:51.100]  做過風景請你舉手
[00:04:51.100 --> 00:04:53.100]  兩個都是你嗎?
[00:04:53.100 --> 00:04:56.100]  你來不及放手
[00:04:56.100 --> 00:04:58.100]  我沒有被揀選做頒獎
[00:04:58.100 --> 00:04:59.100]  沒有被揀選做風景
[00:04:59.100 --> 00:05:00.100]  因為我是另一端
[00:05:00.100 --> 00:05:01.100]  我是被別人罰
[00:05:01.100 --> 00:05:03.100]  被別人針對
[00:05:03.100 --> 00:05:04.100]  不是針對
[00:05:04.100 --> 00:05:05.100]  是要處理的一個
[00:05:05.100 --> 00:05:06.100]  但是我們知道
[00:05:06.100 --> 00:05:08.100]  老師選頒獎
[00:05:08.100 --> 00:05:09.100]  他揀選了一個
[00:05:09.100 --> 00:05:11.100]  不等於他不愛錫其他小朋友
[00:05:11.100 --> 00:05:13.100]  不過可能找一個出來
[00:05:13.100 --> 00:05:14.100]  他也要揀選一個出來
[00:05:14.100 --> 00:05:17.100]  都是一種揀選
[00:05:17.100 --> 00:05:19.100]  神去揀選他的子民
[00:05:19.100 --> 00:05:20.100]  是一種恩典
[00:05:20.100 --> 00:05:21.100]  你和我得救
[00:05:21.100 --> 00:05:23.100]  不是完全我們自己
[00:05:23.100 --> 00:05:26.100]  有一種能力去做判斷
[00:05:26.100 --> 00:05:28.100]  在二弗所書第二章八節說
[00:05:28.100 --> 00:05:29.100]  我們得救是本乎恩
[00:05:29.100 --> 00:05:30.100]  恩就是信
[00:05:30.100 --> 00:05:31.100]  這個不是出於我們自己
[00:05:31.100 --> 00:05:33.100]  是神所賜的
[00:05:33.100 --> 00:05:34.100]  不是出於我們行為
[00:05:34.100 --> 00:05:37.100]  免得別人自誇
[00:05:37.100 --> 00:05:39.100]  《約翰福音》十五章第十六節說
[00:05:39.100 --> 00:05:40.100]  不是你們揀選了我
[00:05:40.100 --> 00:05:42.100]  是我揀選了你們
[00:05:42.100 --> 00:05:44.100]  是分派你們去結果子
[00:05:44.100 --> 00:05:45.100]  叫你們果子常傳
[00:05:45.100 --> 00:05:47.100]  使你們奉我的名
