
[00:00:00.000 --> 00:00:07.120]  我們看到的經文是耶穌在伏兆裏有一個最高峰
[00:00:07.120 --> 00:00:09.200]  為我們釘在十字架上
[00:00:09.200 --> 00:00:10.840]  背負十架
[00:00:10.840 --> 00:00:15.360]  是一個非常令我們可以思想人生的經文
[00:00:15.360 --> 00:00:18.520]  我們請我們一起再低頭祈禱
[00:00:18.520 --> 00:00:20.080]  賜給天父
[00:00:20.080 --> 00:00:22.760]  聖靈幫助我們明白祢的話語
[00:00:22.760 --> 00:00:25.800]  又用得祢的話在我們的生命裏
[00:00:25.800 --> 00:00:29.200]  幫助我們看到主的那種大愛
[00:00:29.200 --> 00:00:31.760]  我們這樣祈禱奉祖耶穌基督的名
[00:00:31.760 --> 00:00:32.720]  阿門
[00:00:32.720 --> 00:00:36.480]  有一位美國的牧師曾經說過一段話
[00:00:36.480 --> 00:00:39.440]  當他在神學院裏面認識一位同學
[00:00:39.440 --> 00:00:41.200]  這個同學很優秀
[00:00:41.200 --> 00:00:42.560]  讀書讀得很厲害
[00:00:42.560 --> 00:00:44.560]  非常有才華
[00:00:44.560 --> 00:00:48.240]  並且也有一些錢財
[00:00:48.240 --> 00:00:55.120]  他也有一個很貌美的女朋友
[00:00:55.120 --> 00:00:56.640]  但當他畢職之後
[00:00:56.640 --> 00:01:01.680]  他就去了埃及這個地方做傳福音的工作
[00:01:01.680 --> 00:01:03.040]  他一直在那裏
[00:01:03.040 --> 00:01:04.160]  直直無名
[00:01:04.160 --> 00:01:08.240]  可以說他本來可以做了很多的成績
[00:01:08.240 --> 00:01:12.720]  或者是人體上很多的尊榮的事情
[00:01:12.720 --> 00:01:14.880]  但他就直直無名在埃及
[00:01:14.880 --> 00:01:18.080]  直至他離開到埃及
[00:01:18.080 --> 00:01:19.840]  人生這樣走法
[00:01:19.840 --> 00:01:22.400]  我不知道你覺得是怎樣
[00:01:22.400 --> 00:01:25.120]  他就是跟著神的意思
[00:01:25.120 --> 00:01:29.920]  將人的看法好像浪費了一些
[00:01:29.920 --> 00:01:31.600]  很多人都是這樣看
[00:01:31.600 --> 00:01:33.760]  我想每個人都有自己的計劃
[00:01:33.760 --> 00:01:36.880]  很多時候我們想想我們怎樣做得成功
