
[00:00:00.000 --> 00:00:03.200]  來到六月最後這兩次的
[00:00:03.200 --> 00:00:06.240]  我們一個的延續篇
[00:00:06.240 --> 00:00:08.520]  《蒙照去祝福》的延續篇
[00:00:08.520 --> 00:00:11.480]  今天我很想來到這裡和大家分享
[00:00:11.480 --> 00:00:13.200]  《蒙照去祝福》
[00:00:13.200 --> 00:00:14.760]  我們這個社區
[00:00:14.760 --> 00:00:16.880]  我相信《恩傳》、《浸信會》
[00:00:16.880 --> 00:00:18.640]  坐落在Stoffield
[00:00:18.640 --> 00:00:21.080]  我相信大家都聽過那個歷史的
[00:00:21.080 --> 00:00:22.680]  不是偶然的
[00:00:22.680 --> 00:00:26.000]  不是說突然間就在這裡
[00:00:26.000 --> 00:00:27.640]  有一間教會 不是的
[00:00:27.640 --> 00:00:28.440]  在十七年前
[00:00:28.440 --> 00:00:32.920]  就是一班的弟兄姊妹他們在禱告裡面領受
[00:00:32.920 --> 00:00:36.600]  這個社區就是要去成立教會
[00:00:36.600 --> 00:00:40.280]  去為社區作建成
[00:00:40.280 --> 00:00:42.280]  值得去問一個問題
[00:00:42.280 --> 00:00:45.440]  究竟怎樣能夠在這個社區
[00:00:45.440 --> 00:00:49.320]  成為一間有感染力的教會呢
[00:00:49.320 --> 00:00:51.520]  這個我相信是很重要
[00:00:51.520 --> 00:00:57.960]  我們今天能不能夠成為這個社區的好鄰舍呢
[00:00:57.960 --> 00:01:01.200]  就是神能夠透過我們的生命
[00:01:01.200 --> 00:01:04.280]  讓我們能夠成為燈台
[00:01:04.280 --> 00:01:07.440]  在這個社區裡面為主作見證
[00:01:07.440 --> 00:01:09.520]  如果有一天
[00:01:09.520 --> 00:01:12.000]  就是我們不見了的時候
[00:01:12.000 --> 00:01:14.360]  究竟對這個社區有沒有影響呢
[00:01:14.360 --> 00:01:16.280]  如果有一天我們真的消失了
[00:01:16.280 --> 00:01:18.720]  不再在Stoffield這個地方
[00:01:18.720 --> 00:01:23.080]  究竟對這個社區有沒有一個的影響
[00:01:23.080 --> 00:01:28.720]  其實這個都是幾句挑戰的一個反省
[00:01:28.720 --> 00:01:32.040]  就是當我們繼續來到前行的時候
[00:01:32.040 --> 00:01:34.240]  究竟神要怎樣繼續去帶領我們
[00:01:34.240 --> 00:01:35.840]  去祝福這個社區
[00:01:35.840 --> 00:01:40.360]  甚至乎去影響這個社區
[00:01:40.360 --> 00:01:42.760]  今天神就給你和我
[00:01:42.760 --> 00:01:45.080]  有一個很重要的使命
[00:01:45.080 --> 00:01:47.400]  究竟今天我們有沒有活出
[00:01:47.400 --> 00:01:50.600]  神給我們所託付我們的使命
[00:01:50.600 --> 00:01:53.640]  就是每個星期我們都是這樣如常
[00:01:53.640 --> 00:01:56.360]  回來當中參與主日學
[00:01:56.360 --> 00:01:58.320]  參與崇拜 是不是
[00:01:58.320 --> 00:02:00.280]  接著又會有小組
[00:02:00.280 --> 00:02:03.640]  有時候想想究竟為了什麼呢
[00:02:03.640 --> 00:02:07.080]  就是我盼望這個當然是一個
[00:02:07.080 --> 00:02:10.600]  一個在神家裡面的一個習慣
[00:02:10.600 --> 00:02:13.000]  但我相信不止只是這樣
[00:02:13.000 --> 00:02:16.200]  就是我相信當我們相聚
[00:02:16.200 --> 00:02:17.920]  我們聚在一起
[00:02:17.920 --> 00:02:22.000]  原是是為了要分散
[00:02:22.000 --> 00:02:24.240]  就是如果我們只是在
[00:02:24.240 --> 00:02:26.520]  剛才我所說的三個平台裡面
[00:02:26.520 --> 00:02:28.640]  你才突顯你自己是一個基督徒
[00:02:28.640 --> 00:02:32.800]  那平時那六天其實你都是很黯然的
[00:02:32.800 --> 00:02:34.240]  黯然失色
[00:02:34.240 --> 00:02:36.800]  就是有和沒有好像沒什麼分別這樣
[00:02:36.800 --> 00:02:38.640]  其實我們未合格
[00:02:38.640 --> 00:02:41.000]  真正的教會生活
[00:02:41.000 --> 00:02:43.840]  就在當我們離開了小組
[00:02:43.840 --> 00:02:46.120]  離開了這個聚會
[00:02:46.120 --> 00:02:47.320]  離開了主日學的時候
[00:02:47.320 --> 00:02:49.560]  我們怎樣能夠去活出
[00:02:49.560 --> 00:02:51.560]  上帝給我們的心意
[00:02:51.560 --> 00:02:53.200]  給我們的教導
[00:02:53.200 --> 00:02:55.920]  所以在我們的教會裡面
[00:02:55.920 --> 00:02:58.640]  我們就是以得人
[00:02:58.640 --> 00:02:59.720]  建立
[00:02:59.720 --> 00:03:00.760]  差遣
[00:03:00.760 --> 00:03:03.120]  成為我們的循環 是不是
[00:03:03.120 --> 00:03:05.360]  這兩年我們就得人年
[00:03:05.360 --> 00:03:07.000]  就是不會說這兩年得人年
[00:03:07.000 --> 00:03:08.200]  我們就不去建立
[00:03:08.200 --> 00:03:10.040]  不去差遣 OK
[00:03:10.040 --> 00:03:12.880]  只不過我們在每兩年的時候
[00:03:12.880 --> 00:03:14.720]  我們就有一個主戰
[00:03:14.720 --> 00:03:16.760]  你去到成為我們的焦點
[00:03:16.760 --> 00:03:18.760]  得人建立差遣
[00:03:18.760 --> 00:03:22.200]  就是一個這樣的不斷的循環的當中
[00:03:22.200 --> 00:03:23.800]  以至到教會
[00:03:23.800 --> 00:03:25.120]  就好像聖經裡面
[00:03:25.120 --> 00:03:26.680]  司徒行選裡面所說
[00:03:26.680 --> 00:03:29.320]  上帝就將得救的人數
[00:03:29.320 --> 00:03:31.400]  天天加給我們
[00:03:31.400 --> 00:03:33.920]  不過這裡有一個先決的條件
[00:03:33.920 --> 00:03:35.720]  就是不是說
[00:03:35.720 --> 00:03:38.040]  就是每間教會都是這樣人數加
[00:03:38.040 --> 00:03:40.560]  我們都知道有很多教會需要倒閉的
[00:03:40.560 --> 00:03:42.680]  就是很多今天歐洲的教會
[00:03:42.680 --> 00:03:44.280]  就是很凋零甚至乎
[00:03:44.280 --> 00:03:47.480]  變了一間酒吧 變了一間酒吧
[00:03:47.480 --> 00:03:48.880]  這個很唏噓
[00:03:48.880 --> 00:03:50.800]  究竟我們怎樣能夠去經歷得到
[00:03:50.800 --> 00:03:52.000]  好像司徒行選
[00:03:52.000 --> 00:03:54.160]  當時 哇 信主的人
[00:03:54.160 --> 00:03:56.840]  就是越來越多的時候
[00:03:56.840 --> 00:03:58.640]  究竟我們要有一個
[00:03:58.640 --> 00:04:02.520]  怎樣的生命 一個的素質
[00:04:02.520 --> 00:04:04.720]  對社區有影響力的教會
[00:04:04.720 --> 00:04:08.600]  不單止是一個自我的滿足
[00:04:08.600 --> 00:04:09.880]  有時回到來
[00:04:09.880 --> 00:04:11.360]  我們固然很開心 是不是
[00:04:11.360 --> 00:04:15.000]  見到我們想見的弟兄姊妹
[00:04:15.000 --> 00:04:16.680]  不過更重要
[00:04:16.680 --> 00:04:20.480]  我們很希望能夠可以與主相遇
[00:04:20.480 --> 00:04:23.120]  究竟今天我們有沒有一個期盼
[00:04:23.120 --> 00:04:25.280]  哇 上帝透過在這個的空間
[00:04:25.280 --> 00:04:27.040]  透過今天的崇拜裡面
[00:04:27.040 --> 00:04:28.640]  向我們講說話
[00:04:28.640 --> 00:04:30.240]  向我們去到
[00:04:30.240 --> 00:04:31.960]  去給我們見到異象
[00:04:31.960 --> 00:04:34.480]  見到我們生命的方向
[00:04:34.480 --> 00:04:37.840]  怎樣能夠不再一樣
[00:04:37.840 --> 00:04:39.280]  我相信這個是
[00:04:39.280 --> 00:04:41.960]  上帝給我們一個很重要的心意使命
[00:04:41.960 --> 00:04:43.280]  我們不是要
[00:04:43.280 --> 00:04:46.040]  教會不是要成為一個俱樂部
[00:04:46.040 --> 00:04:48.760]  不是回來在這裡治癒
[00:04:48.760 --> 00:04:51.360]  乃是我們要成為社區的燈台
[00:04:51.360 --> 00:04:52.800]  我們怎樣來到
[00:04:52.800 --> 00:04:54.960]  成為鹽和光
[00:04:54.960 --> 00:04:56.760]  在社區裡面
[00:04:56.760 --> 00:04:59.400]  帶出那份的感染力
[00:04:59.400 --> 00:05:00.760]  所以今天
[00:05:00.760 --> 00:05:03.120]  神給我們見到些什麼
