
[00:00:00.000 --> 00:00:02.000]  我們今天會一齊來學習
[00:00:02.000 --> 00:00:04.000]  我們怎樣去學習
[00:00:04.000 --> 00:00:06.000]  讓自己成長 讓自己可以學懂
[00:00:06.000 --> 00:00:08.000]  在團隊當中 懂得去享受
[00:00:08.000 --> 00:00:10.000]  享受一個團隊的服侍
[00:00:10.000 --> 00:00:12.000]  我想用一段經文來開始
[00:00:12.000 --> 00:00:14.000]  在菲律賓書的二章一到四節
[00:00:14.000 --> 00:00:16.000]  菲律賓書二章一到四節
[00:00:16.000 --> 00:00:18.000]  是保羅寫信給
[00:00:18.000 --> 00:00:20.000]  菲律賓教會所講的一段說話
[00:00:20.000 --> 00:00:22.000]  那裏他說
[00:00:22.000 --> 00:00:24.000]  究竟你們在基督的生命
[00:00:24.000 --> 00:00:26.000]  有沒有使你們堅強起來
[00:00:26.000 --> 00:00:28.000]  他的愛有沒有
[00:00:28.000 --> 00:00:30.000]  有沒有鼓勵了你們
[00:00:30.000 --> 00:00:32.000]  你們和聖靈有沒有團契
[00:00:32.000 --> 00:00:34.000]  你們彼此間
[00:00:34.000 --> 00:00:36.000]  有沒有親愛同情的心
[00:00:36.000 --> 00:00:38.000]  如果有
[00:00:38.000 --> 00:00:40.000]  我要求你們
[00:00:40.000 --> 00:00:42.000]  要有共同的目標
[00:00:42.000 --> 00:00:44.000]  同樣的愛心 同樣的情感
[00:00:44.000 --> 00:00:46.000]  和一致的想法
[00:00:46.000 --> 00:00:48.000]  好讓我充滿喜樂
[00:00:48.000 --> 00:00:50.000]  不要自私自利
[00:00:50.000 --> 00:00:52.000]  不要貪圖虛名
[00:00:52.000 --> 00:00:54.000]  要彼此謙揚
[00:00:54.000 --> 00:00:56.000]  看別人比自己高明
[00:00:56.000 --> 00:00:58.000]  不要只顧自己
[00:00:58.000 --> 00:01:02.000]  又要關心別人的利益
[00:01:02.000 --> 00:01:04.000]  今天我想和大家分享三點
[00:01:04.000 --> 00:01:06.000]  第一點就是要團隊服侍
[00:01:06.000 --> 00:01:08.000]  我們需要明白
[00:01:08.000 --> 00:01:10.000]  我們需要透過團隊服侍來成長
[00:01:10.000 --> 00:01:12.000]  我們的生命
[00:01:12.000 --> 00:01:14.000]  是透過團隊服侍來成長
[00:01:14.000 --> 00:01:16.000]  菲律賓書我們剛剛讀過經文
[00:01:16.000 --> 00:01:18.000]  保羅問了四個問題
[00:01:18.000 --> 00:01:20.000]  究竟你們在基督的生命
[00:01:20.000 --> 00:01:22.000]  有沒有使你們堅強起來
[00:01:22.000 --> 00:01:24.000]  即是基督裏面新的生命
[00:01:24.000 --> 00:01:26.000]  有沒有變得越來越堅強
[00:01:26.000 --> 00:01:28.000]  成長
[00:01:28.000 --> 00:01:30.000]  他的愛有沒有鼓勵到你
[00:01:30.000 --> 00:01:32.000]  有沒有經常經歷到神的愛
[00:01:32.000 --> 00:01:34.000]  你和聖靈有沒有溝通
[00:01:34.000 --> 00:01:36.000]  有沒有團契
[00:01:36.000 --> 00:01:38.000]  如果你和聖靈有一個好的團契
[00:01:38.000 --> 00:01:40.000]  你會有聖靈的果子
[00:01:40.000 --> 00:01:42.000]  別人會看得見
[00:01:42.000 --> 00:01:44.000]  你會變得越來越有耐性
[00:01:44.000 --> 00:01:46.000]  所有的果子
[00:01:46.000 --> 00:01:48.000]  你們之間有沒有愛
[00:01:48.000 --> 00:01:50.000]  這四個問題是一個前提
