
[00:00:00.000 --> 00:00:03.460]  在大年初二的時候 祝大家新年蒙福
[00:00:03.460 --> 00:00:04.860]  也是主恩滿日
[00:00:04.860 --> 00:00:08.060]  讓我們再一次同心祈禱
[00:00:08.060 --> 00:00:09.760]  因主我們獻上感恩
[00:00:09.760 --> 00:00:14.680]  是祢的愛讓我們今天能夠在這一年當中經歷豐富
[00:00:14.680 --> 00:00:18.520]  祢就是那一位歲守到年終看顧的上帝
[00:00:18.520 --> 00:00:21.880]  祢更是讓我們可以將舊的改變
[00:00:21.880 --> 00:00:24.580]  變成新的 改更新的主
[00:00:24.580 --> 00:00:26.080]  又願祢賜福我們每一個
[00:00:26.080 --> 00:00:28.580]  在今天崇拜當中經歷的豐富更多
[00:00:28.580 --> 00:00:31.340]  新一年更能夠蒙主的恩典
[00:00:31.340 --> 00:00:32.320]  猶如無人口中的言語
[00:00:32.320 --> 00:00:34.040]  頂尖智慧之間的心思意念
[00:00:34.040 --> 00:00:35.920]  蒙聖靈的啟迪 蒙主的悅立
[00:00:35.920 --> 00:00:39.700]  禱告奉耶穌基督的名
[00:00:39.700 --> 00:00:41.360]  頂尖智慧今天年初二
[00:00:41.360 --> 00:00:45.300]  昨天和今天你講了最多的說話是什麼?
[00:00:45.300 --> 00:00:47.740]  新年快樂 滿分
[00:00:47.740 --> 00:00:49.360]  還有呢?
[00:00:49.360 --> 00:00:51.400]  心想事成 恭喜發財
[00:00:51.400 --> 00:00:52.740]  還有呢?
[00:00:52.740 --> 00:00:54.880]  龍馬精神
[00:00:54.880 --> 00:00:58.080]  學業進步 快高長大
[00:00:58.080 --> 00:00:59.160]  身體健康
[00:00:59.160 --> 00:01:00.680]  是的 身體健康也重要
[00:01:00.680 --> 00:01:02.560]  因為這個時候也是疫症的時候
[00:01:02.560 --> 00:01:04.160]  大家都要保重身體
[00:01:04.160 --> 00:01:06.500]  更重要的可能是這大半年大家都想起
[00:01:06.500 --> 00:01:08.660]  我們需要一團和氣
[00:01:08.660 --> 00:01:11.360]  今天這段經課正正就提醒我們
[00:01:11.360 --> 00:01:13.760]  怎樣能夠一團和氣
[00:01:13.760 --> 00:01:15.040]  我小時候寫揮春的時候
[00:01:15.040 --> 00:01:16.540]  我不喜歡寫一團和氣揮春的
[00:01:16.540 --> 00:01:17.780]  因為比較難寫
[00:01:17.780 --> 00:01:18.800]  寫揮春的人都知道
[00:01:18.800 --> 00:01:19.660]  一字好像很簡單
[00:01:19.660 --> 00:01:20.560]  團字比較複雜
[00:01:20.560 --> 00:01:22.260]  寫出來就不漂亮
[00:01:22.260 --> 00:01:23.360]  更有時候就是想
[00:01:23.360 --> 00:01:26.100]  一團和氣好像也好
[00:01:26.100 --> 00:01:28.340]  不過都是那些生意興隆
[00:01:28.340 --> 00:01:29.880]  快高長大 身體健康比較好
[00:01:29.880 --> 00:01:31.080]  個人一點
[00:01:31.080 --> 00:01:31.580]  是不是?
[00:01:31.580 --> 00:01:32.980]  我記得昨天我去拜年的時候
[00:01:32.980 --> 00:01:34.000]  有一個小朋友就說
[00:01:34.000 --> 00:01:35.620]  祝你大吉大利
[00:01:35.620 --> 00:01:36.480]  我經常想
[00:01:36.480 --> 00:01:37.660]  我為什麼大吉大利呢?
[00:01:37.660 --> 00:01:38.880]  我又不是吉
[00:01:38.880 --> 00:01:40.920]  不過原來也是代表豐盛的意思
[00:01:40.920 --> 00:01:42.460]  也是好的
[00:01:42.460 --> 00:01:44.720]  為什麼要一團和氣呢?
[00:01:44.720 --> 00:01:47.160]  中國人傳統當然是
[00:01:47.160 --> 00:01:48.300]  大家都是自己人
[00:01:48.300 --> 00:01:49.000]  不要那麼多爭吵
[00:01:49.000 --> 00:01:50.900]  一團和氣就好了
