
[00:00:00.000 --> 00:00:02.000]  第一節目平安
[00:00:02.000 --> 00:00:07.000]  我想問大家當中有沒有人看世界盃?
[00:00:07.000 --> 00:00:09.000]  沒有?你竟然沒有看?
[00:00:09.000 --> 00:00:12.000]  那問你了,知道世界冠軍是誰嗎?
[00:00:12.000 --> 00:00:14.000]  忘記了
[00:00:14.000 --> 00:00:16.000]  你連新聞都沒有看,厲害
[00:00:16.000 --> 00:00:18.000]  說給你聽,是法國
[00:00:18.000 --> 00:00:22.000]  法國隊這次以不敗的戰績,從小組賽打到決賽
[00:00:22.000 --> 00:00:24.000]  贏了世界冠軍
[00:00:24.000 --> 00:00:27.000]  很多人都很開心,如果你是支持法國隊的話
[00:00:27.000 --> 00:00:30.000]  在當中我們問一個問題
[00:00:30.000 --> 00:00:35.000]  我看到一個報道,原來這支球隊的平均年紀
[00:00:35.000 --> 00:00:37.000]  你知道是多大嗎?
[00:00:37.000 --> 00:00:39.000]  竟然是26歲
[00:00:39.000 --> 00:00:42.000]  我心想,厲害,平均年紀是26歲的球隊
[00:00:42.000 --> 00:00:45.000]  竟然沒有什麼國際賽的經驗
[00:00:45.000 --> 00:00:48.000]  年輕球員又比較自我一點
[00:00:48.000 --> 00:00:51.000]  看起來和諧比較困難
[00:00:51.000 --> 00:00:53.000]  我心想,竟然可以拿冠軍
[00:00:53.000 --> 00:00:55.000]  其實值得我們思考
[00:00:55.000 --> 00:00:57.000]  這支球隊的特別之處
[00:00:57.000 --> 00:01:00.000]  有人說,這支球隊做得很好的地方
[00:01:00.000 --> 00:01:02.000]  就是他們的團隊配合
[00:01:02.000 --> 00:01:06.000]  他們無論是正選球員還是後備球員
[00:01:06.000 --> 00:01:08.000]  都做到一件很重要的事
[00:01:08.000 --> 00:01:12.000]  就是他們做到每一個人都不可或缺
[00:01:12.000 --> 00:01:14.000]  我問一下大家
[00:01:14.000 --> 00:01:17.000]  在球場上踢球的球員
[00:01:17.000 --> 00:01:21.000]  總共有十幾個位置
[00:01:21.000 --> 00:01:29.000]  11個球員
[00:01:29.000 --> 00:01:32.000]  他們有幾種不同的位置
[00:01:32.000 --> 00:01:35.000]  大概有四種重要位置
