
[00:00:00.000 --> 00:00:06.260]  讀一段聖經在《馬太福音》第15章25到28節
[00:00:06.260 --> 00:00:10.460]  這裡說那婦人來拜他說:主啊,幫助我
[00:00:10.460 --> 00:00:14.660]  他回答說:不好拿兒女的餅丟給狗吃
[00:00:14.660 --> 00:00:16.080]  婦人說:主啊,不錯
[00:00:16.080 --> 00:00:20.240]  但狗也吃他主人桌上掉下來的碎渣兒
[00:00:20.240 --> 00:00:23.460]  耶穌說:婦人,你的信心是大的
[00:00:23.460 --> 00:00:26.000]  照你所要的,給你成全了吧
[00:00:26.000 --> 00:00:29.880]  從那時候,他女兒就好了
[00:00:29.880 --> 00:00:31.080]  在今天這段經歷當中
[00:00:31.080 --> 00:00:34.160]  我們看見有一位迦南的婦人
[00:00:34.160 --> 00:00:36.080]  她是一位外邦的女子
[00:00:36.080 --> 00:00:39.840]  本來是與神的恩典是沒有份的
[00:00:39.840 --> 00:00:42.500]  她的女兒被鬼附了
[00:00:42.500 --> 00:00:44.540]  所以她來到耶穌的面前
[00:00:44.540 --> 00:00:47.800]  希望主能夠醫治她的女兒
[00:00:47.800 --> 00:00:52.000]  耶穌在26節裡面就回答她說
[00:00:52.000 --> 00:00:57.120]  不好拿兒女的餅丟給狗吃
[00:00:57.120 --> 00:01:01.880]  耶穌這句話其實不是在藐視這位外邦的女子
[00:01:01.880 --> 00:01:05.620]  其實他是在試驗她的信心
[00:01:05.620 --> 00:01:07.280]  這為什麼後來在28節裡面
[00:01:07.280 --> 00:01:08.920]  耶穌對這位婦人說
[00:01:08.920 --> 00:01:12.620]  婦人,你的信心是大的
[00:01:12.620 --> 00:01:14.000]  但另一方面我們也看見
[00:01:14.000 --> 00:01:20.040]  耶穌在這裡也告訴我們一個非常重要的真理
[00:01:20.040 --> 00:01:23.960]  那就是神是有些特別的恩典
[00:01:23.960 --> 00:01:26.880]  是為她的兒女所預備的
[00:01:26.880 --> 00:01:30.160]  就好像兒女的餅一樣
[00:01:30.160 --> 00:01:34.800]  兒女的餅是父母為兒女所預備
[00:01:34.800 --> 00:01:38.760]  兒女不用去擠也不用去搶
[00:01:38.760 --> 00:01:42.240]  他只要領受就可以得著
[00:01:42.240 --> 00:01:45.700]  同樣主耶穌在這裡就提到醫治
[00:01:45.700 --> 00:01:50.840]  就是神為她的兒女所預備兒女的餅
[00:01:50.840 --> 00:01:53.080]  今天只要你是神的兒女
[00:01:53.080 --> 00:01:55.920]  你就能夠享有神醫治的恩典
[00:01:55.920 --> 00:01:57.680]  你們
[00:01:57.680 --> 00:02:00.280]  但今天有很多神的兒女
[00:02:00.280 --> 00:02:04.880]  並不了解他們在神裡面所擁有的恩典
[00:02:04.880 --> 00:02:07.000]  以至於在病痛的時候
[00:02:07.000 --> 00:02:11.920]  他們多半依靠醫藥卻不懂得來依靠神
[00:02:11.920 --> 00:02:15.600]  其實我們要明白醫藥的本身也是神的恩典
[00:02:15.600 --> 00:02:17.000]  不是嗎
[00:02:17.000 --> 00:02:19.680]  就好像陽光跟雨水
[00:02:19.680 --> 00:02:23.240]  是神所給我們人普遍的恩典
[00:02:23.240 --> 00:02:25.520]  是神給每一個人的
[00:02:25.520 --> 00:02:27.680]  你不需要一定要信主
[00:02:27.680 --> 00:02:29.280]  無論信主與否
[00:02:29.280 --> 00:02:33.440]  我們都能夠享有這樣普遍的恩典
[00:02:33.440 --> 00:02:35.200]  但對神的兒女來講
[00:02:35.200 --> 00:02:38.160]  神卻給我們多一個恩典
[00:02:38.160 --> 00:02:41.920]  一個屬於神兒女的特別的恩典
[00:02:41.920 --> 00:02:44.600]  是一個兒女的餅
[00:02:44.600 --> 00:02:47.160]  那就是我們可以藉著禱告
[00:02:47.160 --> 00:02:49.920]  經歷神醫治的恩典
[00:02:49.920 --> 00:02:50.960]  你們
[00:02:50.960 --> 00:02:56.560]  那你說我們要怎麼樣來領受這個兒女的餅的恩典呢
[00:02:56.560 --> 00:02:57.080]  幾方面
[00:02:57.080 --> 00:02:58.000]  第一個
[00:02:58.000 --> 00:03:00.480]  你一定要明白主醫治的心意
[00:03:00.480 --> 00:03:05.120]  更要明白主醫治的心意
[00:03:05.120 --> 00:03:10.040]  首先你要知道主耶穌是一位醫治的救主
[00:03:10.040 --> 00:03:11.160]  今天當我們來看
[00:03:11.160 --> 00:03:13.200]  主耶穌在地上的一些工作的時候
[00:03:13.200 --> 00:03:14.040]  我們就會發現
[00:03:14.040 --> 00:03:16.720]  主耶穌不但是來到這個世界
[00:03:16.720 --> 00:03:19.000]  要帶給我們靈魂的救恩
[00:03:19.000 --> 00:03:22.520]  主耶穌更是一位醫治的救主
[00:03:22.520 --> 00:03:25.040]  在路加福音第四章第十八十九節
[00:03:25.040 --> 00:03:28.920]  當主耶穌講到祂在這個地上的使命的時候
[00:03:28.920 --> 00:03:29.880]  祂這樣說
[00:03:29.880 --> 00:03:31.480]  主的靈在我身上
[00:03:31.480 --> 00:03:33.200]  因為祂用高高我
[00:03:33.200 --> 00:03:35.520]  叫我傳福音給貧窮的人
[00:03:35.520 --> 00:03:38.160]  差遣我報告貝魯的德釋放
[00:03:38.160 --> 00:03:39.720]  瞎眼的德看見
[00:03:39.720 --> 00:03:42.000]  叫那受壓制的德自由
[00:03:42.000 --> 00:03:45.280]  報告神越那人的悉念
[00:03:45.280 --> 00:03:48.840]  這裡提到主的救恩是有三方面的
[00:03:48.840 --> 00:03:50.920]  貝魯的德釋放
[00:03:50.920 --> 00:03:52.960]  那個靈魂的救恩
[00:03:52.960 --> 00:03:54.880]  瞎眼的德看見
[00:03:54.880 --> 00:03:56.880]  身體的醫治
