
[00:00:00.000 --> 00:00:03.140]  今天繼續和大家思想《羅馬書》第六十六講
[00:00:03.140 --> 00:00:04.740]  要愛人如己
[00:00:04.740 --> 00:00:06.360]  《羅馬書》在十二章開始
[00:00:06.360 --> 00:00:08.700]  有講到一個恩信稱義的人
[00:00:08.700 --> 00:00:10.620]  一個蒙神大恩的人
[00:00:10.620 --> 00:00:13.240]  如何活出神喜悅的生命
[00:00:13.240 --> 00:00:15.620]  其中神要求一個蒙大恩人
[00:00:15.620 --> 00:00:16.720]  一個喜悅的生命
[00:00:16.720 --> 00:00:18.140]  就是懂得去愛
[00:00:18.140 --> 00:00:19.780]  明白神的真愛
[00:00:19.780 --> 00:00:21.580]  懂得愛人如己
[00:00:21.580 --> 00:00:23.220]  不是為你自己
[00:00:23.220 --> 00:00:24.220]  是為你別人
[00:00:24.220 --> 00:00:25.940]  不斷施予愛
[00:00:25.940 --> 00:00:28.700]  我們看看今天經文《羅馬書》十三章八到十節
[00:00:28.700 --> 00:00:30.700]  三字經文一齊讀
[00:00:30.700 --> 00:00:33.140]  凡事都不可虧欠人
[00:00:33.140 --> 00:00:36.780]  唯有彼此相愛要嘗以為虧欠
[00:00:36.780 --> 00:00:40.300]  因為愛人的人就完全了律法
[00:00:40.300 --> 00:00:41.980]  像那不可姦淫
[00:00:41.980 --> 00:00:43.220]  不可殺人
[00:00:43.220 --> 00:00:44.460]  不可偷渡
[00:00:44.460 --> 00:00:45.780]  不可監牢
[00:00:45.780 --> 00:00:47.500]  或有別的誡命
[00:00:47.500 --> 00:00:51.580]  都拜在愛人如己這一句話之內了
[00:00:51.580 --> 00:00:53.980]  愛是不加害於人的
[00:00:53.980 --> 00:00:57.100]  所以愛就完全了律法
[00:00:57.100 --> 00:00:58.820]  愛是很寶貴
[00:00:58.820 --> 00:01:00.860]  很多電視劇
[00:01:00.860 --> 00:01:01.900]  很多電影
[00:01:01.900 --> 00:01:04.460]  很多歌曲都講到愛
[00:01:04.460 --> 00:01:07.340]  但未必明白神的真愛
[00:01:07.340 --> 00:01:09.100]  今天經文講到神的真愛
[00:01:09.100 --> 00:01:11.100]  特別是愛人如己這個真愛裏面
[00:01:11.100 --> 00:01:12.940]  第一個保羅提醒
[00:01:12.940 --> 00:01:14.540]  一個屬神的真愛
[00:01:14.540 --> 00:01:15.740]  與人相處的真愛
[00:01:15.740 --> 00:01:17.580]  就是一個不虧欠人
[00:01:17.580 --> 00:01:20.380]  不傷害人的真愛
[00:01:20.380 --> 00:01:22.140]  今天經文裏面三節短的經文
[00:01:22.140 --> 00:01:24.140]  出現了愛五詞
[00:01:24.140 --> 00:01:25.420]  三個動詞
[00:01:25.420 --> 00:01:27.180]  兩個名詞
[00:01:27.180 --> 00:01:29.580]  世人很渴求愛
[00:01:29.580 --> 00:01:31.820]  但往往是自私的愛
[00:01:31.820 --> 00:01:33.660]  是要求對方的愛
[00:01:33.660 --> 00:01:36.300]  你要對我好
[00:01:36.300 --> 00:01:38.300]  剛才講到真愛很不同
[00:01:38.300 --> 00:01:40.300]  真愛是要求自己對人好
[00:01:40.300 --> 00:01:42.140]  我要對人好
[00:01:42.140 --> 00:01:43.740]  我要對你好
