
[00:00:00.000 --> 00:00:09.000]  天父,我們感謝您在新的一年裡,幫助我們思想什麼是服侍的信心。
[00:00:09.000 --> 00:00:17.000]  求主,您幫助我們今晚,這是一個分享,但這也是您的話語。
[00:00:17.000 --> 00:00:29.000]  是您通過您的聖靈,通過您的愛,至主耶穌基督,啟示給我們從天上而來的真理。
[00:00:29.000 --> 00:00:40.000]  幫助我們去領受,幫助我們去思想咀嚼,幫助我們這裡所有的姊妹可以用心的去聆聽,
[00:00:40.000 --> 00:00:48.000]  也都是用心的去實踐,在他們自己個人的生命裡面,在他們的團結生活裡面。
[00:00:48.000 --> 00:00:58.000]  祝福我們今晚的聚會,讓我可以講解得清楚,也都讓每一位姊妹可以聆聽得清楚。
[00:00:58.000 --> 00:01:02.000]  我們這樣祈禱,希望主耶穌基督明求,阿妹。
[00:01:02.000 --> 00:01:08.000]  首先再跟大家講一聲新年快樂,2018年。
[00:01:08.000 --> 00:01:12.000]  我不知道你覺得2018年有什麼特別。
[00:01:12.000 --> 00:01:21.000]  如果剛才你前面有留心,你知道我們每年去到這個時候,教會都有一個新的全年總題。
[00:01:21.000 --> 00:01:25.000]  你還記不記得,今年2018年的全年總題是什麼?
[00:01:25.000 --> 00:01:31.000]  「讓信心走動,見證使命教會。」
[00:01:31.000 --> 00:01:36.000]  哇,你很厲害。其實答案是在這裡的,我不需要你背的。
[00:01:36.000 --> 00:01:41.000]  因為我想你今年每個禮拜都會見到這個主題的。
[00:01:41.000 --> 00:01:45.000]  「讓信心走動,見證使命教會。」
[00:01:45.000 --> 00:01:51.000]  當你聽到黃牧師給了這個主題的時候,我不知道你有什麼感受呢?
[00:01:51.000 --> 00:01:55.000]  是不是你可能會覺得這個主題很好?
[00:01:55.000 --> 00:02:01.000]  於是說,好吧,我們一起「讓信心走動,使命教會」。
[00:02:01.000 --> 00:02:07.000]  我們就動吧,這個叫做婦女服務團。
[00:02:07.000 --> 00:02:11.000]  於是,我們新年快點去準備多一點服務。
[00:02:11.000 --> 00:02:18.000]  說真的,我記得當我首先聽到黃牧師說要新的一年的主題是
[00:02:18.000 --> 00:02:23.000]  「讓信心走動,見證使命教會」,我真的呆了。
[00:02:23.000 --> 00:02:28.000]  我覺得這個東西是不可能做到的。
[00:02:28.000 --> 00:02:34.000]  甚至我們今天開會,早上已經開會,在想明年的主題。
[00:02:34.000 --> 00:02:38.000]  我心裡面想,這個主題可以用十年。
[00:02:38.000 --> 00:02:41.000]  這個主題用了十年,都還沒做到。
[00:02:41.000 --> 00:02:45.000]  為什麼呢?因為很多時候我們想使命的時候,
[00:02:45.000 --> 00:02:49.000]  我們是用我們很小的世界使命去想的。
[00:02:49.000 --> 00:02:54.000]  可能我們在想今年我們的使命就是做多一個項目,
[00:02:54.000 --> 00:02:58.000]  做多一點一個節目,那我們就已經覺得很成功了。
[00:02:58.000 --> 00:03:05.000]  但是當你去看聖經裡面的使命的時候,是包圍著全世界的。
[00:03:05.000 --> 00:03:12.000]  耶穌基督要我們做一個使命的教會,這個使命的教會不是做多一點東西,
[00:03:12.000 --> 00:03:24.000]  是做一個擁抱世界,讓每一位弟兄姊妹都全心全力的投入在教會使命的一個教會。
[00:03:24.000 --> 00:03:29.000]  我們不是要多一位弟兄或者姊妹做耶穌基督的門徒,
[00:03:29.000 --> 00:03:35.000]  而是要每一位坐在這裡聽者有份,都成為使命教會的一部分。
[00:03:35.000 --> 00:03:41.000]  所以當我一聽到這個「讓信心走動,見證使命教會」,我真的呆了。
[00:03:41.000 --> 00:03:46.000]  因為這叫做Mission Impossible,不可能的任務。
[00:03:46.000 --> 00:03:49.000]  有沒有聽過?不可能的任務。
[00:03:49.000 --> 00:03:56.000]  假設黃牧師不是為了要想一些主題而想的,
[00:03:56.000 --> 00:04:03.000]  真是從聖經裡面反省出來,然後說「讓信心走動,見證使命教會」的話,
[00:04:03.000 --> 00:04:05.000]  那我們就糟糕了。
[00:04:05.000 --> 00:04:09.000]  因為這個本身是一個不可能的任務。
[00:04:09.000 --> 00:04:15.000]  甚至可能我們當中會這樣,不如跑回頭吧,雞敢腳走。
[00:04:15.000 --> 00:04:20.000]  不是跑去教會,而是跑離開教會。
[00:04:20.000 --> 00:04:27.000]  但是我想告訴你,我們是應該雞敢腳走,不過不是逃避使命,
[00:04:27.000 --> 00:04:36.000]  而是我們要回去主耶穌基督那裡找到信心,找到一個更大的信心,
[00:04:36.000 --> 00:04:42.000]  一個為我們的信心,為我們很微小的信心,或者加油。
[00:04:42.000 --> 00:04:47.000]  因為除非我們有一個被加油了之後的信心,
[00:04:47.000 --> 00:04:55.000]  我們是不可能承擔到一個這麼巨大的使命的。
[00:04:55.000 --> 00:04:58.000]  所以這個是我今天想和你分享的。
[00:04:58.000 --> 00:05:06.000]  什麼叫做服侍主的信心?你從哪裡可以得著一個這樣的信心?
[00:05:06.000 --> 00:05:10.000]  我今天想和你看三段聖經。
[00:05:10.000 --> 00:05:16.000]  三段聖經都是你很熟悉的,三段聖經都是路加福音裡面出來的。
[00:05:16.000 --> 00:05:23.000]  第一段聖經是路加福音第十章三十八節到十一章四節。
[00:05:23.000 --> 00:05:30.000]  很特別的,我們跨了兩個章,由十章到十一章。
[00:05:30.000 --> 00:05:34.000]  題目是說聽道和禱告。
[00:05:34.000 --> 00:05:36.000]  待會你讀的時候你會知道。
[00:05:36.000 --> 00:05:42.000]  第二段聖經是路加福音第二章三十六至三十八節。
[00:05:42.000 --> 00:05:46.000]  很短的,或者我們在聖誕節的時候已經讀過了。
[00:05:46.000 --> 00:05:51.000]  其實新年的時候我們有一段聖經,有一次講到是講這個題目的。
[00:05:51.000 --> 00:05:53.000]  「就夜祈求」,待會再和你看。
[00:05:53.000 --> 00:06:02.000]  第三段聖經我想和你看的是路加福音第十八章一至八節講到禱告。
[00:06:02.000 --> 00:06:05.000]  又是講禱告的,是講天國來臨。
[00:06:05.000 --> 00:06:08.000]  如果你不是很熟悉,你不知道講什麼不要緊。
[00:06:08.000 --> 00:06:11.000]  因為我們一節一節去看,一章一章去看。
[00:06:11.000 --> 00:06:16.000]  第一,我想帶你去看路加福音第十章三十八節。
[00:06:16.000 --> 00:06:19.000]  大家很熟悉的故事,這個故事是什麼呢?
[00:06:19.000 --> 00:06:23.000]  他們繼續前行耶穌進了一個村莊。
[00:06:23.000 --> 00:06:29.000]  有一個女人名叫馬大,接他到自己家裡。
[00:06:29.000 --> 00:06:39.000]  她有一個妹妹名叫瑪利亞,在主的腳前坐著聽他的道。
[00:06:39.000 --> 00:06:41.000]  但是馬大去了哪裡呢?
[00:06:41.000 --> 00:06:44.000]  馬大沒有在這裡聽道。
[00:06:44.000 --> 00:06:49.000]  馬大事後的事多,心裡忙亂。
[00:06:49.000 --> 00:06:58.000]  進前來說:主啊!我的妹妹留下我一個事後,你不在意嗎?
[00:06:58.000 --> 00:07:02.000]  就吩咐她來幫助我。
[00:07:02.000 --> 00:07:04.000]  請吩咐她來幫助我。
[00:07:04.000 --> 00:07:09.000]  這裡其實你看到,馬大心裡很煩。
[00:07:09.000 --> 00:07:13.000]  煩到一個地步,他不是說請瑪利亞來幫助我。
[00:07:13.000 --> 00:07:18.000]  他是指著瑪利亞,說瑪利亞真的不對。
[00:07:18.000 --> 00:07:21.000]  甚至你可以這樣說,他是在說耶穌基督,你真的不對。
[00:07:21.000 --> 00:07:23.000]  你看到我這麼忙。
[00:07:23.000 --> 00:07:26.000]  你看到我妹妹百無了賴,在聽道。
[00:07:26.000 --> 00:07:31.000]  你應該叫我妹妹來幫我,為什麼你不體諒我呢?
[00:07:31.000 --> 00:07:37.000]  所以你看到這裡,你會發覺馬大的心和耶穌的心,其實完全脫節了。
[00:07:37.000 --> 00:07:39.000]  因為他什麼?
[00:07:39.000 --> 00:07:44.000]  因為他有很多忙亂在做這件事情。
[00:07:44.000 --> 00:07:48.000]  我們先看完這兩節,然後再回來想想跟我們有什麼關係。
[00:07:48.000 --> 00:07:58.000]  主回答說:馬大,馬大,你為許多的事情操心煩惱,但是不可少的只有一件。
[00:07:58.000 --> 00:08:06.000]  瑪利亞已經選擇了那上好的福份,是沒有人能從他奪去的。
[00:08:06.000 --> 00:08:12.000]  馬大和瑪利亞代表了兩種基督徒的人生。
[00:08:12.000 --> 00:08:18.000]  又或者這樣說,代表了兩種團契的人生,團契的生活。
[00:08:18.000 --> 00:08:22.000]  你今天可以做一個馬大的團契。
[00:08:22.000 --> 00:08:24.000]  馬大的團契會怎樣呢?
[00:08:24.000 --> 00:08:26.000]  馬大的團契不是懶懶散散的。
