
[00:00:00.000 --> 00:00:01.240]  (主席) 弟兄姊妹平安
[00:00:01.240 --> 00:00:02.740]  (弟兄姊妹) 平安
[00:00:02.740 --> 00:00:04.240]  (主席) 今天我們崇拜的時候
[00:00:04.240 --> 00:00:08.000]  我們一起思想主耶穌所說的一段說話
[00:00:08.000 --> 00:00:11.500]  就是剛才我們所讀的馬太福音第七章
[00:00:11.500 --> 00:00:15.240]  我希望每個弟兄姊妹都打開馬太福音第七章
[00:00:15.240 --> 00:00:17.500]  如果你是用唐用聖經的話
[00:00:17.500 --> 00:00:21.500]  是我們的唐用聖經一千四百六十四頁
[00:00:21.500 --> 00:00:22.740]  一四六四
[00:00:22.740 --> 00:00:24.740]  馬太福音的第七章
[00:00:24.740 --> 00:00:26.740]  我們剛才讀第十五節
[00:00:26.740 --> 00:00:30.740]  一直到第二十七節
[00:00:30.740 --> 00:00:34.740]  馬太福音的第七章
[00:00:34.740 --> 00:00:37.740]  讀的時候我相信弟兄姊妹都很熟悉
[00:00:37.740 --> 00:00:39.740]  因為這一段的聖經
[00:00:39.740 --> 00:00:44.740]  是屬於著名的耶穌基督的登山補訓裏面
[00:00:44.740 --> 00:00:47.740]  其實最後總結的地方
[00:00:47.740 --> 00:00:50.740]  登山補訓就是由馬太福音的第五章
[00:00:50.740 --> 00:00:52.740]  到第七章
[00:00:52.740 --> 00:00:53.740]  大家都很熟悉
[00:00:53.740 --> 00:00:56.740]  是主耶穌開始出來傳道的時候
[00:00:56.740 --> 00:00:59.740]  頒佈天國的標準
[00:00:59.740 --> 00:01:01.740]  以及在神心目中
[00:01:01.740 --> 00:01:05.740]  一個合祂心意的信徒應該是怎樣
[00:01:05.740 --> 00:01:08.740]  所以這是一個最重要的篇章
[00:01:08.740 --> 00:01:11.740]  在這個登山補訓裏面
[00:01:11.740 --> 00:01:13.740]  我相信大家都很多還記得
[00:01:13.740 --> 00:01:14.740]  耳熟能詳
[00:01:14.740 --> 00:01:17.740]  給你很多挑戰和提醒的地方
[00:01:17.740 --> 00:01:19.740]  譬如八福
[00:01:19.740 --> 00:01:20.740]  虛心的人有福
[00:01:20.740 --> 00:01:22.740]  因為天國是他們的
[00:01:22.740 --> 00:01:24.740]  不單止說到八福
[00:01:24.740 --> 00:01:26.740]  我們還記得在這個登山補訓裏面
[00:01:26.740 --> 00:01:28.740]  有很豐富的教導
[00:01:28.740 --> 00:01:29.740]  說到基督徒
[00:01:29.740 --> 00:01:30.740]  我們的信徒
[00:01:30.740 --> 00:01:32.740]  我們最重要是說我們的內心
[00:01:32.740 --> 00:01:33.740]  無論我們禱告
[00:01:33.740 --> 00:01:35.740]  無論我們的行善
[00:01:35.740 --> 00:01:36.740]  總是對著神來做
[00:01:36.740 --> 00:01:38.740]  不是表演給人看
[00:01:38.740 --> 00:01:40.740]  這些比一切都重要
[00:01:40.740 --> 00:01:42.740]  律法真正的承傳在裏面
[00:01:42.740 --> 00:01:46.740]  不是在外表的表現而已
[00:01:46.740 --> 00:01:49.740]  重要我們要去愛我們的受敵
[00:01:49.740 --> 00:01:51.740]  主耶穌還教我們怎樣去禱告
[00:01:51.740 --> 00:01:55.740]  這些全部都在登山補訓
[00:01:55.740 --> 00:01:58.740]  那麼精彩的教導當中
[00:01:58.740 --> 00:02:02.740]  現在我們來到登山補訓最後的總結
[00:02:02.740 --> 00:02:04.740]  我們相信一定很重要
