
[00:00:00.000 --> 00:00:01.740]  好,我們再一次禱告
[00:00:01.740 --> 00:00:07.680]  天父我們教託祢,求祢的恩賢去引導我們
[00:00:07.680 --> 00:00:10.940]  求祢的聖靈幫助我們進入真理
[00:00:10.940 --> 00:00:14.220]  讓我們的生命被祢的真理改變
[00:00:14.220 --> 00:00:17.540]  恭敬、教託、奉主名求,阿們
[00:00:17.540 --> 00:00:21.020]  不知道大家有沒有聽過一個人
[00:00:21.020 --> 00:00:23.720]  他的名字叫做奇里夫里策
[00:00:23.720 --> 00:00:25.000]  Cleve Richard
[00:00:25.000 --> 00:00:29.380]  有沒有人聽過這個,是一個歌星來的,歌手來的
[00:00:29.640 --> 00:00:31.700]  有沒有聽過影子樂隊
[00:00:31.700 --> 00:00:36.280]  可能大家年輕一點
[00:00:36.280 --> 00:00:39.220]  有沒有聽過一首歌叫Congratulations
[00:00:39.220 --> 00:00:42.960]  不如我請阿Pam彈兩句給大家聽一下
[00:00:42.960 --> 00:00:57.660]  謝謝阿Pam,有沒有聽過這首歌
[00:00:57.660 --> 00:01:00.960]  是當時相當流行的一首流行曲
[00:01:00.960 --> 00:01:03.800]  奇里夫里策是英國六十年代
[00:01:03.800 --> 00:01:07.220]  紅極一時的一個流行歌手
[00:01:07.220 --> 00:01:11.100]  所以如果你好認識他,你一定會連根結底的認識他
[00:01:11.100 --> 00:01:14.340]  奇里夫里策是有金童子之稱
[00:01:14.340 --> 00:01:17.280]  他吟吟樂彈超過半個世紀
[00:01:17.280 --> 00:01:22.000]  獲獎無數,在九五年他被冊封為爵士
[00:01:22.000 --> 00:01:25.140]  他自己也是一個很認真的基督徒
[00:01:25.140 --> 00:01:27.080]  他很努力去奉獻
[00:01:27.080 --> 00:01:30.260]  他經常說,也很看重的一句金句
[00:01:30.260 --> 00:01:32.900]  就是貪財是萬惡之根
[00:01:32.900 --> 00:01:37.440]  所以對於奇里夫里策,他的名聲
[00:01:37.440 --> 00:01:41.120]  他自己的聲譽,他的形象都是很好
[00:01:41.120 --> 00:01:44.440]  但是在2014年的八月
[00:01:44.440 --> 00:01:47.620]  當時奇里夫里策就去到葡萄牙度假
[00:01:47.620 --> 00:01:50.240]  忽然間有人指控他
[00:01:50.240 --> 00:01:53.700]  在八十年代性侵一個少年
[00:01:54.440 --> 00:01:57.300]  警方就非常高調去處理
[00:01:57.300 --> 00:02:00.320]  就去到英國他的大宅裏面
[00:02:00.320 --> 00:02:02.120]  去搜集證據
[00:02:02.120 --> 00:02:05.840]  而且通知BBC全程拍攝
[00:02:05.840 --> 00:02:08.940]  奇里夫里策爵士
[00:02:08.940 --> 00:02:11.140]  這個樂壇的天王巨星
[00:02:11.140 --> 00:02:14.460]  一個在別人眼中都是認真的基督徒
[00:02:14.460 --> 00:02:19.220]  忽然之間成為一個性侵別人的一個被告
[00:02:19.220 --> 00:02:23.840]  而且BBC將這件事大肆的宣言報導
[00:02:24.140 --> 00:02:26.500]  奇里夫里策很受困擾
[00:02:26.500 --> 00:02:29.800]  他否認他沒有做過這件事
[00:02:29.800 --> 00:02:31.460]  但是他很受困擾
[00:02:31.460 --> 00:02:34.400]  這件事調查了接近22個月
[00:02:34.400 --> 00:02:35.740]  如果你留意新聞
[00:02:35.740 --> 00:02:37.580]  就剛剛在前幾個月
[00:02:37.580 --> 00:02:39.020]  今年的五月
[00:02:39.020 --> 00:02:42.580]  英國警方宣佈證據不足
[00:02:42.580 --> 00:02:44.140]  撤銷控罪
[00:02:44.140 --> 00:02:48.140]  但是奇里夫里策在這兩年左右的時間
[00:02:48.140 --> 00:02:50.540]  他說是非常非常的痛苦
[00:02:50.540 --> 00:02:52.460]  他忽然間成為一個被告
[00:02:52.460 --> 00:02:54.460]  一個知名人物
[00:02:54.460 --> 00:02:58.060]  被人這樣去控告他
[00:02:58.060 --> 00:03:01.140]  他說就好像獵物被人追捕那樣
[00:03:01.140 --> 00:03:03.140]  他是非常的痛苦
[00:03:03.140 --> 00:03:08.820]  所以後來英國警方和BBC是公開向他道歉
[00:03:08.820 --> 00:03:12.060]  警方去告一個人告不入都不用道歉
[00:03:12.060 --> 00:03:14.100]  但是英國警方是公開道歉
[00:03:14.100 --> 00:03:15.820]  因為手法有問題
[00:03:15.820 --> 00:03:19.580]  是非常的高調去報導這件事
[00:03:20.580 --> 00:03:23.940]  其實這些事對於這些名人是很困擾
[00:03:23.940 --> 00:03:25.940]  我不知道對於大家
[00:03:25.940 --> 00:03:28.500]  你有沒有被指控的經歷
[00:03:28.500 --> 00:03:32.580]  或者你有沒有被無理指控甚至無告的經歷
[00:03:32.580 --> 00:03:34.740]  我覺得多少都有
[00:03:34.740 --> 00:03:35.740]  在你人生裏面
[00:03:35.740 --> 00:03:36.980]  在你的工作裏面
[00:03:36.980 --> 00:03:38.420]  在你的家庭裏面
[00:03:38.420 --> 00:03:39.780]  在教會裏面
[00:03:39.780 --> 00:03:41.260]  在社會裏面
[00:03:41.260 --> 00:03:43.260]  經常被人去指控
[00:03:43.260 --> 00:03:46.460]  我自己曾經有一個經歷
[00:03:46.460 --> 00:03:48.220]  就是很多年前
[00:03:48.220 --> 00:03:50.220]  應該都是二十多年前
[00:03:50.220 --> 00:03:52.220]  我當時還在聯交所工作
[00:03:52.220 --> 00:03:55.060]  我負責一個team
[00:03:55.060 --> 00:03:58.420]  發放一些上市公司的一些訊息
[00:03:58.420 --> 00:04:02.020]  有一次我們就發放了一個錯誤的訊息
