
[00:00:00.000 --> 00:00:09.440]  我今年是第一次在衙關可以有訊息分享
[00:00:09.440 --> 00:00:11.640]  我都想了很久
[00:00:11.640 --> 00:00:20.240]  究竟跟我們這班弟兄姊妹講什麼訊息是切合呢?
[00:00:20.240 --> 00:00:27.640]  我發覺我們特別是在病患中的朋友和弟兄姊妹
[00:00:27.640 --> 00:00:33.120]  其實有一個跟聖經的教導不容易掌握的
[00:00:33.120 --> 00:00:38.880]  就是怎樣在考驗和試煉當中要喜樂
[00:00:38.880 --> 00:00:41.240]  其實是頗逆性的
[00:00:41.240 --> 00:00:45.560]  但是原來這個聖經教導非常重要
[00:00:45.560 --> 00:00:46.360]  為什麼呢?
[00:00:46.360 --> 00:00:52.240]  因為當你能夠用一個正確的心態去面對的時候
[00:00:52.240 --> 00:00:56.160]  原來在就算什麼的考驗或者病患裡面
[00:00:56.160 --> 00:01:00.640]  都能夠得到很大的助力和幫助
[00:01:00.640 --> 00:01:04.760]  我想了這個題目之後
[00:01:04.760 --> 00:01:07.280]  就在這裡找材料
[00:01:07.280 --> 00:01:13.360]  就記得原來在人生裡面有考驗、有艱難
[00:01:13.360 --> 00:01:16.640]  原來耶穌預告了給我們聽
[00:01:16.640 --> 00:01:20.440]  在約翰福音十六章三十三節
[00:01:20.440 --> 00:01:21.800]  主耶穌這樣說的
[00:01:21.800 --> 00:01:27.240]  祂說:我將這些事告訴你們,是要叫你們在我裡面有平安
[00:01:27.240 --> 00:01:33.360]  在世上你們有苦難,但你們可以放心,我已經勝了世界
[00:01:33.360 --> 00:01:37.640]  就是說人生裡面有艱難、有考驗
[00:01:37.640 --> 00:01:40.040]  原來耶穌預告了給我們聽
[00:01:40.040 --> 00:01:43.800]  不過耶穌所有的平安
[00:01:43.800 --> 00:01:48.880]  是可以帶領我們經過這些艱難
[00:01:48.880 --> 00:01:53.520]  在這個苦難的字原來和十六章上文
[00:01:53.520 --> 00:01:56.600]  說到婦人要生產的苦楚
[00:01:56.600 --> 00:02:00.600]  原來那個苦楚和苦難原來是同一個字
