
[00:00:00.000 --> 00:00:02.000]  頂止梅平安
[00:00:02.000 --> 00:00:05.000]  有一句說話可能大家都聽過
[00:00:05.000 --> 00:00:09.000]  人之將盡,其言也善
[00:00:09.000 --> 00:00:13.000]  即是多壞的人到臨終的時候說的話
[00:00:13.000 --> 00:00:16.000]  都是有些人性的
[00:00:16.000 --> 00:00:21.000]  當然,人離世的時候會說出一些真心的話
[00:00:21.000 --> 00:00:25.000]  有時我們會經歷一段很長的離別
[00:00:25.000 --> 00:00:28.000]  甚至不知道何時再會
[00:00:28.000 --> 00:00:34.000]  我們會將一些最心底、最真、最重要的事
[00:00:34.000 --> 00:00:36.000]  或者委託的事
[00:00:36.000 --> 00:00:40.000]  會說給自己最信任、最親、最愛的人
[00:00:40.000 --> 00:00:42.000]  我相信大家都明白
[00:00:42.000 --> 00:00:44.000]  或者經歷過
[00:00:44.000 --> 00:00:46.000]  我自己都很真實經歷
[00:00:46.000 --> 00:00:49.000]  過去教會一位已過身的弟兄
[00:00:49.000 --> 00:00:51.000]  他在臨終,在醫院
[00:00:51.000 --> 00:00:55.000]  他說了一些東西給我聽
[00:00:55.000 --> 00:00:59.000]  意思簡單來說,叫我好好打理他的身後事
[00:00:59.000 --> 00:01:02.000]  我作為牧師,我責無旁貸
[00:01:02.000 --> 00:01:04.000]  點頭應承
[00:01:04.000 --> 00:01:06.000]  他也對他女兒說
[00:01:06.000 --> 00:01:08.000]  他知道他女兒還未信耶穌
[00:01:08.000 --> 00:01:10.000]  他的心願是希望他女兒好好地
[00:01:10.000 --> 00:01:14.000]  在信仰、在form上追求
[00:01:14.000 --> 00:01:18.000]  這就是這位弟兄臨終的心願
[00:01:18.000 --> 00:01:21.000]  耶穌復活之後
[00:01:21.000 --> 00:01:24.000]  他臨升天,回到天家
[00:01:24.000 --> 00:01:26.000]  他知道他會再來
[00:01:26.000 --> 00:01:28.000]  不過可能是一段時間
[00:01:28.000 --> 00:01:32.000]  於是他就向他所愛的那十一個門徒
[00:01:32.000 --> 00:01:34.000]  發出這個大使命
[00:01:34.000 --> 00:01:39.000]  或者被稱為一個很重要的委託
[00:01:39.000 --> 00:01:42.000]  大家知不知道是什麼?
[00:01:42.000 --> 00:01:45.000]  大家懂得反過來背吧
[00:01:45.000 --> 00:01:49.000]  沒錯,耶穌臨終這個大使命
[00:01:49.000 --> 00:01:51.000]  這個大委託
[00:01:51.000 --> 00:01:55.000]  就是使萬民做他的門徒
[00:01:55.000 --> 00:01:59.000]  是使萬民做他的門徒
[00:01:59.000 --> 00:02:01.000]  所以你們要去
[00:02:01.000 --> 00:02:03.000]  使萬民做我的門徒
[00:02:03.000 --> 00:02:05.000]  奉父子聖靈的名
[00:02:05.000 --> 00:02:07.000]  給他們施洗
[00:02:07.000 --> 00:02:09.000]  凡我所吩咐你們的
[00:02:09.000 --> 00:02:13.000]  都教訓他們遵守
[00:02:13.000 --> 00:02:17.000]  在馬塔科這裡,耶穌的大使命是
[00:02:17.000 --> 00:02:21.000]  希望門徒能夠帶領人
