
[00:00:00.000 --> 00:00:05.000]  感謝神今天能夠與弟兄姊妹分享神的話語
[00:00:05.000 --> 00:00:11.000]  大家還記不記得上星期說了些甚麼?
[00:00:11.000 --> 00:00:14.000]  通常都不記得不要緊
[00:00:14.000 --> 00:00:20.000]  如果有5%的人記得是正常的
[00:00:20.000 --> 00:00:23.000]  當你讀第七、第八節聖經的時候
[00:00:23.000 --> 00:00:24.000]  你應該有些印象
[00:00:24.000 --> 00:00:29.000]  上星期我們都讀過第七、第八節
[00:00:29.000 --> 00:00:32.000]  今天繼續跟大家說傳道書第九章
[00:00:32.000 --> 00:00:34.000]  再說下半章
[00:00:34.000 --> 00:00:38.000]  亦都是說甚麼是智慧
[00:00:38.000 --> 00:00:42.000]  這次加上甚麼是愚蠢或愚昧
[00:00:42.000 --> 00:00:44.000]  這兩樣東西
[00:00:44.000 --> 00:00:48.000]  智慧或愚昧如何影響我們的人生呢?
[00:00:48.000 --> 00:00:51.000]  再說上一次
[00:00:51.000 --> 00:00:53.000]  上一次我們提過第七節
[00:00:53.000 --> 00:00:56.000]  譬如我們現在可以看看第七節
[00:00:56.000 --> 00:00:58.000]  傳道書第九章第七節
[00:00:58.000 --> 00:01:01.000]  是甚麼背景呢?
[00:01:01.000 --> 00:01:04.000]  我們人的智慧有限
[00:01:04.000 --> 00:01:06.000]  在人生的遭遇裏面
[00:01:06.000 --> 00:01:09.000]  是是福或是有福或是有禍臨到的時候
[00:01:09.000 --> 00:01:13.000]  所謂是愛是恨的時候
[00:01:13.000 --> 00:01:16.000]  我們沒有這樣的智慧去明白
[00:01:16.000 --> 00:01:19.000]  神的計劃是怎樣的
[00:01:19.000 --> 00:01:21.000]  神的計劃在我們個人身上是怎樣呢?
[00:01:21.000 --> 00:01:25.000]  我們是不知道
[00:01:25.000 --> 00:01:28.000]  我們能夠過後回看而明白
[00:01:28.000 --> 00:01:32.000]  已經是一個很大的恩典
[00:01:32.000 --> 00:01:36.000]  我們是愛是恨都搞不清的時候
[00:01:36.000 --> 00:01:38.000]  聖經提醒我們
[00:01:38.000 --> 00:01:45.000]  不如放下心水去享受神賜給我們的人生
[00:01:45.000 --> 00:01:47.000]  當然不要犯罪
