
[00:00:00.000 --> 00:00:05.000]  各位電影節目的同仁們,很高興在新的一年裏面第一次與大家聊天。
[00:00:05.000 --> 00:00:10.000]  如果熟悉我的人都知道,我每年都會按照生肖講一篇道理。
[00:00:10.000 --> 00:00:12.000]  今年是馬年,我應該講馬年。
[00:00:12.000 --> 00:00:19.000]  但是你們教會很特別,我也很欣賞,每次都是指定經文,指定講題。
[00:00:19.000 --> 00:00:24.000]  但是我又很乖,我一定會依著你們的指示去做。
[00:00:24.000 --> 00:00:28.000]  所以如果想聽我講馬年話馬的話,可以在網上聽。
[00:00:28.000 --> 00:00:31.000]  這篇新的講道,我很欣賞你們。
[00:00:31.000 --> 00:00:38.000]  因為今天是3月1號,一個新的主題,是敬畏榮耀尊貴滿有能力的主。
[00:00:38.000 --> 00:00:42.000]  你很簡單看一看,當你看新聞的時候,
[00:00:42.000 --> 00:00:53.000]  當國家領導人開會,人民大會堂裏面的人,個個都很認真去聽。
[00:00:53.000 --> 00:01:02.000]  甚至在那裏做筆記,就不會像我們那些議員聽財政預算就去打盹。
[00:01:02.000 --> 00:01:06.000]  如果我們都覺得一個人我們都要這麼尊重他的時候,
[00:01:06.000 --> 00:01:15.000]  何況我們說我們的神是滿有能力創造天地萬物的主宰,我們對他有沒有這份尊重呢?
[00:01:15.000 --> 00:01:22.000]  所以教會要求我說,這個生命泉源就是來自真言。
[00:01:22.000 --> 00:01:28.000]  如果我們看真言的時候,要求我說的就是第十四章的二十六到三十五節。
[00:01:28.000 --> 00:01:33.000]  一開始你有沒有留意到二十六二十七節的時候,都是講到要去敬畏神的。
[00:01:33.000 --> 00:01:37.000]  敬畏耶和華的,大有倚靠他的兒女也有避難所。
[00:01:37.000 --> 00:01:43.000]  敬畏耶和華的,就是他生命的泉源,可以使人離開死亡的網羅。
[00:01:43.000 --> 00:01:48.000]  為什麼敬畏神就可以使人離開了這個網羅呢?
[00:01:53.000 --> 00:01:59.000]  將所有的已經給了他,其實原來他私下留下了一點點。
[00:01:59.000 --> 00:02:05.000]  司徒就問他,是不是真的給了他?
[00:02:05.000 --> 00:02:11.000]  是啊,一講完這個謊話就跌在地上死了。
[00:02:11.000 --> 00:02:17.000]  剛剛抬了屍體出去之後,太太就來了。
[00:02:17.000 --> 00:02:19.000]  為什麼會這樣呢?
[00:02:19.000 --> 00:02:23.000]  你會明白的,結了婚的人就會知道了,拍拖就是一起走的。
[00:02:23.000 --> 00:02:27.000]  但是結了婚之後,丈夫就先走的。
[00:02:27.000 --> 00:02:31.000]  為什麼叫丈夫?就是一丈之夫,就先走。
[00:02:31.000 --> 00:02:38.000]  太太來了,又照樣講這個謊話,結果他馬上就死了。
[00:02:38.000 --> 00:02:40.000]  接著就是這節經文。
[00:02:40.000 --> 00:02:48.000]  全教會聽見的人都很害怕,原來神是這麼威嚴的。
[00:02:48.000 --> 00:02:52.000]  神是聖潔,不容讓小許的罪在當中。
[00:02:52.000 --> 00:02:54.000]  所以他們就很害怕。
[00:02:54.000 --> 00:02:59.000]  當我們離大海去敬畏神的時候,會產生什麼效果呢?
[00:02:59.000 --> 00:03:01.000]  有很多方面的效果,今天我們會去看。
[00:03:01.000 --> 00:03:06.000]  第一,就是叫我們的生活上很嚴謹。
[00:03:06.000 --> 00:03:11.000]  就是剛才曾賢所講,會叫我們脫離死亡的網羅。
[00:03:11.000 --> 00:03:15.000]  如果我們離大海去輕忽了神,沒什麼所謂的。
[00:03:15.000 --> 00:03:19.000]  我們自然就會輕忽我們自己的罪。
[00:03:19.000 --> 00:03:24.000]  如果我們不懼怕神的審判,我們就會生活上鬆懈。
[00:03:24.000 --> 00:03:26.000]  沒什麼所謂的,就犯錯了。
[00:03:26.000 --> 00:03:31.000]  所以一個沒有信仰的人,他可以胡作非為的。
[00:03:31.000 --> 00:03:35.000]  同樣有信仰的人,如果他對神沒有敬畏的心,
[00:03:35.000 --> 00:03:38.000]  他一樣可以離大海去做不應該做的事。
[00:03:38.000 --> 00:03:44.000]  所以當我們肯離大海,倚靠神,對神有一個敬畏的態度,
[00:03:44.000 --> 00:03:46.000]  我們就會完全不同。
[00:03:46.000 --> 00:03:52.000]  今天,經威耶和華,就是我們生命的泉源,
[00:03:52.000 --> 00:03:57.000]  可以使我們離開死亡的網羅。
[00:03:57.000 --> 00:03:59.000]  這個就是針研第十四章二十七節,
[00:03:59.000 --> 00:04:02.000]  就是我們今天要看的其中一節的經文,是不是?
[00:04:02.000 --> 00:04:06.000]  當然有時候我們目者都需要反省的,
