
[00:00:00.000 --> 00:00:03.000]  我們流露出那種基督的生命
[00:00:03.000 --> 00:00:05.000]  我們流露出基督的生命
[00:00:05.000 --> 00:00:06.000]  耶穌都這樣說的
[00:00:06.000 --> 00:00:07.000]  耶穌也是這樣說
[00:00:07.000 --> 00:00:10.000]  他說憑著我們的果子就可以認出他們來
[00:00:10.000 --> 00:00:13.000]  他說憑著我們所結的果子就能夠認出他們來
[00:00:13.000 --> 00:00:15.000]  你返了教會
[00:00:15.000 --> 00:00:16.000]  你回來教會
[00:00:16.000 --> 00:00:17.000]  你信了耶穌
[00:00:17.000 --> 00:00:18.000]  你信了耶穌
[00:00:18.000 --> 00:00:19.000]  你受了浸
[00:00:19.000 --> 00:00:21.000]  你不需要在額頭那裏紋一個十字架
[00:00:21.000 --> 00:00:23.000]  你不需要在額頭紋一個十字架
[00:00:23.000 --> 00:00:24.000]  一出街
[00:00:24.000 --> 00:00:26.000]  你看看我的脈頭是基督徒
[00:00:26.000 --> 00:00:27.000]  一到路上就可以看到
[00:00:27.000 --> 00:00:29.000]  你看我額頭我是一個基督徒
[00:00:29.000 --> 00:00:31.000]  但如果我們的行為表現出來
[00:00:31.000 --> 00:00:33.000]  但如果我們的行為表現出來
[00:00:33.000 --> 00:00:35.000]  人家慢慢就會相信耶穌
[00:00:35.000 --> 00:00:38.000]  人家一看就知道這個是信耶穌的
[00:00:38.000 --> 00:00:40.000]  所以保羅是說
[00:00:40.000 --> 00:00:42.000]  你怎樣才知道你是一個基督徒呢
[00:00:42.000 --> 00:00:43.000]  是因為信
[00:00:43.000 --> 00:00:44.000]  所以保羅就說
[00:00:44.000 --> 00:00:46.000]  怎樣讓人知道你是一個基督徒呢
[00:00:46.000 --> 00:00:47.000]  就是因著信
[00:00:47.000 --> 00:00:48.000]  而雅各是說
[00:00:48.000 --> 00:00:51.000]  你怎樣表現你是一個基督徒呢
[00:00:51.000 --> 00:00:52.000]  就要你的行為了
[00:00:52.000 --> 00:00:53.000]  而雅各說到
[00:00:53.000 --> 00:00:55.000]  你要怎樣表現你是一個基督徒
[00:00:55.000 --> 00:00:56.000]  就是你的行為
[00:00:56.000 --> 00:01:00.000]  我們將雅各和保羅談論信心和行為之間
[00:01:00.000 --> 00:01:01.000]  有以下一個表達
[00:01:01.000 --> 00:01:04.000]  我們如果將保羅和雅各討論信心
[00:01:04.000 --> 00:01:06.000]  以下有這樣的表格
[00:01:06.000 --> 00:01:08.000]  雅各說信心沒有行為
[00:01:08.000 --> 00:01:10.000]  信心沒有行為等於死的信心
[00:01:10.000 --> 00:01:11.000]  這個是不對的
[00:01:11.000 --> 00:01:12.000]  雅各說
[00:01:12.000 --> 00:01:14.000]  信心沒有行為等於死的信心
[00:01:14.000 --> 00:01:17.000]  但是雅各不是說
[00:01:17.000 --> 00:01:20.000]  信心要加上行為就等於活的信心
[00:01:20.000 --> 00:01:22.000]  但是雅各不是說
[00:01:22.000 --> 00:01:25.000]  信心加上行為就等於活的信心
[00:01:25.000 --> 00:01:26.000]  雅各說
[00:01:26.000 --> 00:01:29.000]  由信心所產生的行為
[00:01:29.000 --> 00:01:31.000]  才是真正活的信心
[00:01:31.000 --> 00:01:32.000]  雅各是說
[00:01:32.000 --> 00:01:36.000]  由信心產生而帶出的行為才是活的信心
[00:01:36.000 --> 00:01:38.000]  所以有人說一個人的好行為
[00:01:38.000 --> 00:01:40.000]  不是得救先決的條件
[00:01:40.000 --> 00:01:43.000]  是去得救必然的結果
[00:01:43.000 --> 00:01:44.000]  所以一個人的好行為
[00:01:44.000 --> 00:01:46.000]  不是得救的先決條件
[00:01:46.000 --> 00:01:48.000]  卻是得救的必然結果
[00:01:48.000 --> 00:01:51.000]  信心盼望是信徒的特質
[00:01:51.000 --> 00:01:53.000]  信心盼望是信徒的特質
[00:01:53.000 --> 00:01:56.000]  行為見證是信徒的標誌
[00:01:56.000 --> 00:01:59.000]  行為見證是信徒的標誌
[00:01:59.000 --> 00:02:02.000]  牧師未信耶穌的時候很多壞習慣
[00:02:02.000 --> 00:02:04.000]  牧師沒有信耶穌的時候很多壞習慣
[00:02:04.000 --> 00:02:07.000]  又吸煙又喝酒
[00:02:07.000 --> 00:02:10.000]  又賭錢什麼都做
[00:02:10.000 --> 00:02:13.000]  如果你看見我回教會之後
[00:02:13.000 --> 00:02:15.000]  或者你看見我在辦公室
[00:02:15.000 --> 00:02:20.000]  我還放一個煙灰缸在那裡
[00:02:20.000 --> 00:02:22.000]  我就帶著一包煙回來
[00:02:22.000 --> 00:02:24.000]  你都可能會有一個問號
[00:02:24.000 --> 00:02:26.000]  這個人是不是真的信耶穌
[00:02:26.000 --> 00:02:27.000]  你心裡面應該有一個問號
[00:02:27.000 --> 00:02:28.000]  這個人是不是真的信耶穌
[00:02:28.000 --> 00:02:29.000]  你如果信了耶穌
[00:02:29.000 --> 00:02:30.000]  為什麼還有這些壞習慣呢
[00:02:30.000 --> 00:02:31.000]  他信了耶穌
[00:02:31.000 --> 00:02:32.000]  怎麼還會有這些壞習慣呢
[00:02:32.000 --> 00:02:35.000]  所以我們怎樣才知道
[00:02:35.000 --> 00:02:37.000]  我們是一個真正的信徒呢
[00:02:37.000 --> 00:02:38.000]  所以我們怎樣才知道
[00:02:38.000 --> 00:02:40.000]  我們是一個真正的信徒呢
[00:02:40.000 --> 00:02:41.000]  或者我們怎樣才知道
[00:02:41.000 --> 00:02:43.000]  我們現在活出的是真正的信心呢
[00:02:43.000 --> 00:02:44.000]  或者我們怎樣知道
[00:02:44.000 --> 00:02:46.000]  我們現在活出的是一個真正的信心呢
[00:02:46.000 --> 00:02:49.000]  雅各就提了幾個方法去教導我們
[00:02:49.000 --> 00:02:51.000]  雅各就提到了幾個方法來教導我們
