
[00:00:00.000 --> 00:00:03.720]  經文讀完了,讀完這十字八字的經文
[00:00:03.720 --> 00:00:07.360]  不如很簡單的問題,你告訴我這段經文說什麼
[00:00:07.360 --> 00:00:09.440]  信心
[00:00:09.440 --> 00:00:14.400]  有一句話,重複又重複,重複又重複的是什麼?
[00:00:14.400 --> 00:00:18.880]  信心沒有,行為是死的
[00:00:18.880 --> 00:00:22.760]  所以今天講道的題目叫活出信就是這個意思
[00:00:22.760 --> 00:00:25.840]  如果我們的信心不能夠活出來
[00:00:25.840 --> 00:00:28.800]  其實你的信是死的
[00:00:29.800 --> 00:00:38.760]  好了,今天我們會將這段經文分開三個部份
[00:00:38.760 --> 00:00:42.880]  有三個很簡單的要點
[00:00:42.880 --> 00:00:46.080]  你就知道我想講的內容是什麼
[00:00:46.080 --> 00:00:49.720]  第一段要講的就是第十五至十七節
[00:00:49.720 --> 00:00:51.440]  這裡在講什麼呢?
[00:00:51.440 --> 00:00:55.960]  原來那時候耶路撒冷教會有一些狀況
[00:00:55.960 --> 00:00:57.240]  那個狀況是什麼呢?
[00:00:57.440 --> 00:01:03.480]  有一班人赤身露體,又缺了日用的飲食
[00:01:03.480 --> 00:01:06.520]  什麼叫缺了日用的飲食呢?
[00:01:06.520 --> 00:01:09.000]  今晚有沒有人還沒吃飯的?
[00:01:09.000 --> 00:01:12.200]  你是不是缺了日用的飲食?
[00:01:12.200 --> 00:01:14.680]  又不是,未至於吧?
[00:01:14.680 --> 00:01:16.760]  當我們講缺了日用的飲食
[00:01:16.760 --> 00:01:20.560]  不是說那些人連續三十個小時不吃東西
[00:01:20.560 --> 00:01:24.640]  不是說他們今天因為太忙沒時間吃午餐
[00:01:24.640 --> 00:01:26.360]  或者沒時間吃晚飯
[00:01:26.360 --> 00:01:28.360]  而是在說有一班人
[00:01:28.360 --> 00:01:31.960]  其實他們每一天都不飽
[00:01:31.960 --> 00:01:37.600]  每一天的日用飲食
[00:01:37.600 --> 00:01:39.960]  就是每一天都不夠
[00:01:39.960 --> 00:01:43.200]  有一天可能多一點,有一天少一點
[00:01:43.200 --> 00:01:45.480]  有一天有麵包,有一天有碗飯
[00:01:45.480 --> 00:01:47.880]  在說的是這樣的一個狀況
[00:01:47.880 --> 00:01:50.840]  而在說赤身露體是什麼意思呢?
[00:01:50.840 --> 00:01:53.360]  今天冬天大家穿得很密實
[00:01:53.360 --> 00:01:55.600]  但夏天大家都赤身露體
[00:01:56.400 --> 00:01:58.680]  但你想想,那時候耶路撒冷
[00:01:58.680 --> 00:02:01.360]  可能你未必有機會去過
[00:02:01.360 --> 00:02:02.560]  但我想告訴你
[00:02:02.560 --> 00:02:05.560]  在耶路撒冷的冬天其實都挺冷的
[00:02:05.560 --> 00:02:07.560]  耶路撒冷是一個山城
[00:02:07.560 --> 00:02:10.760]  去到那裡,冬天是會下雪的
[00:02:10.760 --> 00:02:14.920]  赤身露體未必是你完全打大赤肋
[00:02:14.920 --> 00:02:17.760]  但在說的就是你只有一件爛內衣
[00:02:17.760 --> 00:02:22.440]  當一個人赤身露體之餘
[00:02:22.440 --> 00:02:25.200]  還欠缺日用的飲食
[00:02:25.200 --> 00:02:28.080]  其實他不是在說一個很...
[00:02:28.080 --> 00:02:31.440]  我沒所謂,吃少一餐半餐當減肥
[00:02:31.440 --> 00:02:33.040]  我們今天就這樣想
[00:02:33.040 --> 00:02:35.360]  你看到他吃少多一餐半餐
[00:02:35.360 --> 00:02:38.000]  分分鐘下次見就是他的喪禮
[00:02:38.000 --> 00:02:41.920]  在說的是生死的問題
[00:02:41.920 --> 00:02:44.240]  生死的問題
[00:02:44.240 --> 00:02:49.800]  而他在這裡說,他說這群是什麼人呢?
[00:02:49.800 --> 00:02:53.440]  若是弟兄,或是姊妹
[00:02:54.240 --> 00:02:56.240]  在說的這群是什麼人呢?
[00:02:56.240 --> 00:03:03.560]  在說的是教會的人
[00:03:03.560 --> 00:03:05.800]  教會的弟兄姊妹
[00:03:05.800 --> 00:03:08.720]  他在說的不是你在街上經過很冷
[00:03:08.720 --> 00:03:11.840]  有個黑衣,或者有個無家者
[00:03:11.840 --> 00:03:15.240]  他在那裡溼溼縮縮,很冷,沒飯吃
[00:03:15.240 --> 00:03:17.960]  伸手出來問你拿錢
[00:03:17.960 --> 00:03:19.240]  他不是在說那些
[00:03:19.240 --> 00:03:21.640]  是在說今天坐在你旁邊的那些
[00:03:21.640 --> 00:03:23.480]  弟兄姊妹
[00:03:23.480 --> 00:03:25.560]  今天在我們這麼富裕的香港
[00:03:25.560 --> 00:03:28.120]  縱然大家也不會承認自己富裕
[00:03:28.120 --> 00:03:31.320]  但我們也不至於窮到餓死
[00:03:31.320 --> 00:03:37.520]  我想香港暫時也沒有什麼人生活在極度貧窮
[00:03:37.520 --> 00:03:39.520]  每一餐都不飽
[00:03:39.520 --> 00:03:42.640]  對於我們大部分,我們是在想今晚吃什麼
[00:03:42.640 --> 00:03:44.640]  不是在想今晚有沒有東西吃
[00:03:44.640 --> 00:03:49.160]  他說在耶路撒冷的教會裡面
[00:03:49.160 --> 00:03:51.800]  有一群弟兄姊妹
[00:03:51.800 --> 00:03:55.320]  他們中間有人赤身露體
[00:03:55.320 --> 00:03:58.520]  欠缺日用飲食
[00:03:58.520 --> 00:04:00.520]  這段經文說得很有趣
[00:04:00.520 --> 00:04:04.720]  他說若是弟兄或是姊妹
[00:04:04.720 --> 00:04:06.720]  當我讀這段經文的時候
[00:04:06.720 --> 00:04:12.240]  我就會想,為什麼無緣無故說弟兄緣又說姊妹
[00:04:12.240 --> 00:04:15.480]  你說傳道人真的有很多東西想,如果這樣也問
[00:04:15.480 --> 00:04:18.160]  但我想告訴你,原來很有趣
[00:04:18.160 --> 00:04:21.040]  你有機會回去查一下整個亞國書
[00:04:21.040 --> 00:04:24.080]  在亞國書裡面不停出現「弟兄」這個字
[00:04:24.080 --> 00:04:25.600]  總共有19次
[00:04:25.600 --> 00:04:27.600]  「姊妹」呢?
[00:04:27.600 --> 00:04:29.000]  一次
[00:04:29.000 --> 00:04:31.000]  就是這段經文
