
[00:00:00.000 --> 00:00:03.500]  非常感謝主 多謝大家讓我有這個機會
[00:00:03.500 --> 00:00:05.000]  可以今早一齊
[00:00:05.000 --> 00:00:08.500]  跟大家一齊來去敬拜 一齊來去服事
[00:00:08.500 --> 00:00:10.000]  更加讓我有福份
[00:00:10.000 --> 00:00:13.000]  可以講到我自己很想講的一個題目
[00:00:13.000 --> 00:00:14.000]  在未講到之先
[00:00:14.000 --> 00:00:16.000]  請大家跟我一起低頭同心祈禱
[00:00:16.000 --> 00:00:23.000]  親愛的主 我們來到祢的私人座前
[00:00:23.000 --> 00:00:25.000]  我們要打開祢自己的說話
[00:00:25.000 --> 00:00:27.000]  透過聆聽學習
[00:00:27.000 --> 00:00:30.000]  去敬拜祢 去服事祢
[00:00:30.000 --> 00:00:33.000]  求上帝祢的靈臨隔到我們當中
[00:00:33.000 --> 00:00:36.000]  幫助我們 開我們的心眼
[00:00:36.000 --> 00:00:39.000]  讓我們能夠見到祢話語裏面的奧秘
[00:00:39.000 --> 00:00:42.000]  讓我們的生命和祢產生接觸
[00:00:42.000 --> 00:00:45.000]  來改變我們 造就我們
[00:00:45.000 --> 00:00:47.000]  奉耶穌基督的名祈禱
[00:00:47.000 --> 00:00:48.000]  阿們
[00:00:57.000 --> 00:00:59.000]  將祂分門別類的話
[00:00:59.000 --> 00:01:01.000]  我們發覺有一個課題
[00:01:01.000 --> 00:01:05.000]  祂是用得最多時間 最多篇幅去講
[00:01:05.000 --> 00:01:09.000]  這個課題就是關乎天國的課題
[00:01:09.000 --> 00:01:13.000]  福音書裏面出現有天國 有時神國
[00:01:13.000 --> 00:01:15.000]  一般學者認為
[00:01:15.000 --> 00:01:18.000]  天國和神的國根本上是一樣的東西
[00:01:18.000 --> 00:01:21.000]  不過在不同的場合裏面去表達
[00:01:21.000 --> 00:01:24.000]  究竟天國或神的國是甚麼意思呢
[00:01:24.000 --> 00:01:27.000]  我們嘗試從耶穌自己解釋裏面
[00:01:27.000 --> 00:01:30.000]  去看到那個意思
[00:01:30.000 --> 00:01:33.000]  在《馬達福音》第十二章
[00:01:33.000 --> 00:01:35.000]  那裏記載了一段故事
[00:01:35.000 --> 00:01:41.000]  就是耶穌面對一個被啞巴鬼附著的人
[00:01:41.000 --> 00:01:43.000]  耶穌對他產生憐憫
[00:01:43.000 --> 00:01:46.000]  於是乎耶穌就斥責這個啞巴鬼
[00:01:46.000 --> 00:01:48.000]  將這個鬼趕走
[00:01:48.000 --> 00:01:50.000]  這個人就重新可以說話
[00:01:50.000 --> 00:01:52.000]  旁邊有很多人圍觀
[00:01:52.000 --> 00:01:54.000]  很驚訝、很詫異
[00:01:54.000 --> 00:01:56.000]  大家都很讚賞耶穌
[00:01:56.000 --> 00:01:57.000]  但還有另一班人
[00:01:57.000 --> 00:02:00.000]  就是當時猶太教裏面的宗教領袖
[00:02:00.000 --> 00:02:01.000]  這班法利塞人
[00:02:01.000 --> 00:02:03.000]  他們看到耶穌這個行為
[00:02:03.000 --> 00:02:05.000]  看到這麼多人擁戴他的時候
[00:02:05.000 --> 00:02:07.000]  他們都非常的眼紅
[00:02:07.000 --> 00:02:10.000]  於是乎他們就揶揄耶穌幾句
[00:02:10.000 --> 00:02:12.000]  趕鬼而已,有甚麼這麼厲害
[00:02:12.000 --> 00:02:15.000]  他教鬼王別西卜趕鬼
[00:02:15.000 --> 00:02:17.000]  耶穌聽了之後當然很生氣
[00:02:17.000 --> 00:02:19.000]  耶穌斥責他們之後
[00:02:19.000 --> 00:02:22.000]  耶穌就在第十二章第二十八節講這句話
[00:02:22.000 --> 00:02:27.000]  今天我若是靠神的靈趕鬼
[00:02:27.000 --> 00:02:32.000]  這就是神的國臨到你們了
[00:02:32.000 --> 00:02:35.000]  當日耶穌是靠甚麼趕鬼
[00:02:35.000 --> 00:02:38.000]  當然是靠聖靈靠神的靈趕鬼
[00:02:38.000 --> 00:02:42.000]  即是說我今天是靠聖靈趕鬼的話
[00:02:42.000 --> 00:02:44.000]  這個就是神的國
[00:02:44.000 --> 00:02:47.000]  就是天國已經臨到你們了
[00:02:47.000 --> 00:02:51.000]  在路加福音第十一章第二十節
[00:02:51.000 --> 00:02:53.000]  是講同一件事蹟
[00:02:53.000 --> 00:02:56.000]  不過路加從不同的角度去講的時候
