
[00:00:00.000 --> 00:00:05.320]  兩個月前,有一天晚上,我收到一個電話
[00:00:05.320 --> 00:00:10.780]  這個電話是參與敬拜部的一位弟兄打電話給我
[00:00:10.780 --> 00:00:14.740]  弟兄說:「請你為我媽祈禱」
[00:00:14.740 --> 00:00:20.160]  因為我媽進了醫院,病情非常嚴重,非常危殆
[00:00:20.160 --> 00:00:25.160]  他媽媽患上急性肺炎
[00:00:25.160 --> 00:00:27.800]  他媽媽之前的肺都很弱
[00:00:27.800 --> 00:00:34.480]  很多次肺炎進入醫院,曾經爆過肺,很弱
[00:00:34.480 --> 00:00:41.660]  所以當時的幾個醫生都斷定,其實他生存的機會不太高
[00:00:41.660 --> 00:00:49.520]  他說的時候,我隱約記得起伯母曾經回過幾次我們的崇拜
[00:00:49.520 --> 00:00:54.600]  但是他怎樣回呢?因為他的兒子是三催四請
[00:00:54.600 --> 00:00:57.400]  但是伯母拜了很久的偶像
[00:00:57.400 --> 00:01:05.060]  他兒子請他十次,他可能不好意思,答應他一次回來
[00:01:05.060 --> 00:01:09.300]  但是回來的時候,他就覺得一點感覺都沒有
[00:01:09.300 --> 00:01:13.300]  完全沒有表示,心裡很硬
[00:01:13.300 --> 00:01:18.740]  但是當晚我們收到電話的時候,我就發散了弟兄姊妹
[00:01:18.740 --> 00:01:21.600]  我們有代託者,我們馬上通知他們
[00:01:21.600 --> 00:01:25.140]  在敬拜部有很多弟兄姊妹參與,我們通知他們
[00:01:25.140 --> 00:01:29.120]  還有其他弟兄姊妹我們聯絡到的,都通知他們
[00:01:29.120 --> 00:01:31.100]  請他們一起祈禱
[00:01:31.100 --> 00:01:35.040]  那晚雖然很晚,但是有幾十位弟兄姊妹同時響應
[00:01:35.040 --> 00:01:38.400]  讓我們一起同心合意去祈禱
[00:01:38.400 --> 00:01:43.500]  第二天早上,我們有一位同工和一位姐妹去探望伯母
[00:01:43.500 --> 00:01:46.840]  去到醫院的時間,他們一齊很開心地跟我們說
[00:01:46.840 --> 00:01:51.840]  你知不知道,昨晚當大家同心合意為我媽祈禱的時候
