
[00:00:00.000 --> 00:00:03.800]  從猜算哥哥變成猜算阿伯
[00:00:03.800 --> 00:00:06.600]  因為日子過得很快
[00:00:06.600 --> 00:00:09.600]  神再一次叫我重新上路
[00:00:09.600 --> 00:00:12.800]  因為在印度日子裏面曾經中暑
[00:00:12.800 --> 00:00:16.800]  是跌倒在地上迷失了知覺
[00:00:16.800 --> 00:00:19.800]  醫生說我應該去一個新的地方
[00:00:19.800 --> 00:00:24.000]  所以猜算過之後就去約旦
[00:00:24.000 --> 00:00:28.600]  去約旦時剛剛風雲又起
[00:00:28.600 --> 00:00:31.200]  什麼風雲就是伊斯蘭國
[00:00:31.200 --> 00:00:35.200]  在去年二月伊斯蘭國就脫離了
[00:00:35.200 --> 00:00:39.000]  這個阿蓋達的組織
[00:00:39.000 --> 00:00:40.600]  它自己就興起了
[00:00:40.600 --> 00:00:42.800]  今年已經超過了一年
[00:00:42.800 --> 00:00:46.200]  興起了之後製造了一些餘物
[00:00:46.200 --> 00:00:48.400]  什麼餘物就是難民
[00:00:48.400 --> 00:00:50.600]  只是一個國家叫敘利亞
[00:00:50.600 --> 00:00:56.200]  有一百萬的難民就留在約旦
[00:00:56.200 --> 00:01:00.400]  看看這個故事叫做阿米的生命的故事
[00:01:00.400 --> 00:01:03.200]  我們在約旦裏面訓練一些神學生
[00:01:03.200 --> 00:01:09.800]  專門去照顧關懷一些無根無基的難民
[00:01:26.200 --> 00:01:54.200]  (音樂)
[00:01:54.200 --> 00:01:56.200]  My name is Amjad
[00:01:56.200 --> 00:01:59.200]  and I'm a pastor of a church in Maine
[00:01:59.200 --> 00:02:01.200]  I studied at JETS
[00:02:01.200 --> 00:02:04.200]  graduated in 2008 with my bachelor's
[00:02:04.200 --> 00:02:08.200]  and in 2011 with my master's
[00:02:08.200 --> 00:02:10.200]  My name is Sanaa Ajelad
[00:02:10.200 --> 00:02:12.200]  and I'm from Syria
[00:02:12.200 --> 00:02:17.200]  I work in the church with the children
[00:02:17.200 --> 00:02:21.200]  In 2002 my family and I moved to Beirut, Lebanon
[00:02:21.200 --> 00:02:26.200]  as I had enrolled to study theology at a seminary there
[00:02:26.200 --> 00:02:30.200]  Within less than a year I was diagnosed with bone marrow cancer
[00:02:30.200 --> 00:02:34.200]  We decided to come back to Jordan and seek treatment here
[00:02:34.200 --> 00:02:37.200]  By God's grace the treatment was a success
[00:02:37.200 --> 00:02:42.200]  and so in 2004 I decided, along with my wife, to attend JETS
[00:02:42.200 --> 00:02:44.200]  During my studies at JETS
[00:02:44.200 --> 00:02:47.200]  I felt God was calling me to set up a church in Maine
[00:02:47.200 --> 00:02:50.200]  Sanaa and I would walk the streets and paths of our village
[00:02:50.200 --> 00:02:51.200]  praying
[00:02:51.200 --> 00:02:55.200]  We decided to convert the basement of our home into a small Sunday school
[00:02:55.200 --> 00:02:59.200]  and so we began our church planting with just four children
[00:02:59.200 --> 00:03:06.200]  In 2012 my heart went out to my fellow countrymen from Syria
[00:03:06.200 --> 00:03:12.200]  Many had walked across the border with only the possessions that they could carry
[00:03:12.200 --> 00:03:18.200]  The wars in Syria and Iraq have created so much pain and suffering
[00:03:18.200 --> 00:03:22.200]  Many refugees arrive at the Zaatari camp
[00:03:22.200 --> 00:03:25.200]  Conditions there are so basic
[00:03:25.200 --> 00:03:30.200]  For example, they share one tap of water for many families
[00:03:30.200 --> 00:03:34.200]  Many try to leave and get to a better situation
[00:03:34.200 --> 00:03:38.200]  In our area we have a growing number of displaced people
[00:03:38.200 --> 00:03:42.200]  and we felt that God was calling us to minister to these people
[00:03:42.200 --> 00:03:46.200]  We go to their homes and we help with food and blankets
[00:03:46.200 --> 00:03:51.200]  We hold English classes and I work with the Syrian women
[00:03:51.200 --> 00:03:55.200]  We are delighted that many now attend our church
[00:03:55.200 --> 00:03:59.200]  Unfortunately, Amjad's cancer returned
[00:03:59.200 --> 00:04:03.200]  Amjad was going for treatment while continuing to study at JETS
