
[00:00:00.000 --> 00:00:01.640]  弟兄姊妹平安!大家好!
[00:00:01.640 --> 00:00:04.320]  今次是講耶和華利西
[00:00:04.320 --> 00:00:06.080]  你一定聽過了
[00:00:06.080 --> 00:00:10.520]  生命樹向大家提供機會
[00:00:10.520 --> 00:00:13.000]  一起讀聖經,多謝你的參與
[00:00:13.000 --> 00:00:15.640]  講聖經的人,聖經的故事
[00:00:15.640 --> 00:00:17.880]  看看上帝做些什麼
[00:00:17.880 --> 00:00:22.840]  耶和華利西是他們叫的名字
[00:00:22.840 --> 00:00:24.640]  看看是什麼事
[00:00:24.640 --> 00:00:33.640]  十七章出一及記,那時阿瑪利人在利菲定和以色列人爭戰
[00:00:33.640 --> 00:00:35.880]  摩西屯爵書講了
[00:00:35.880 --> 00:00:42.280]  你為我們選出人來,出去和阿瑪利人爭戰
[00:00:42.280 --> 00:00:47.720]  明天我手裏要拿著神的杖站在山頂上
[00:00:47.720 --> 00:00:50.520]  這裏是第一場仗
[00:00:50.520 --> 00:00:52.720]  以色列人喜歡第一場仗
[00:00:52.720 --> 00:00:58.600]  第一場是埃及人追它,但它們全都浸死在海裏
[00:00:58.600 --> 00:01:00.200]  或者河裏
[00:01:00.200 --> 00:01:03.240]  盧偉海
[00:01:03.240 --> 00:01:07.640]  這時正式有人來攻擊它,就是阿瑪利人
[00:01:07.640 --> 00:01:09.840]  阿瑪利人經常搞事
[00:01:09.840 --> 00:01:16.440]  阿瑪利人為何會在利菲定攻擊以色列人
[00:01:16.440 --> 00:01:21.880]  因為你知道,忽然有二百萬人這樣行
[00:01:21.880 --> 00:01:27.080]  全世界都知道,有一個很大的隊伍在行
[00:01:27.080 --> 00:01:31.320]  向著我們的方向來,你會很驚
[00:01:31.320 --> 00:01:37.480]  因為二百萬人一行過,你的地方就被它踩平
[00:01:37.480 --> 00:01:43.760]  如果它要攻擊你,你只有十多萬人,你不夠它來
[00:01:43.760 --> 00:01:49.840]  如果你的民族只有一千幾百人,三兩萬人,十萬八萬人
[00:01:49.840 --> 00:01:53.120]  嘩!兩百萬
[00:01:53.120 --> 00:01:56.600]  你只要看它走過,都可能看幾天
[00:01:56.600 --> 00:02:01.400]  如果它不是走得像過海般,你真的要看很久
[00:02:01.400 --> 00:02:03.040]  嘩!很厲害
[00:02:03.040 --> 00:02:08.400]  它們發覺,這些人的衣服又不錯
[00:02:08.400 --> 00:02:13.040]  很多穿著埃及式的衣服,內套也穿得出來
[00:02:13.040 --> 00:02:19.160]  而且有些金器,有些金飾,這些人有錢
[00:02:19.160 --> 00:02:24.720]  阿瑪利亞人大概想在這裏攻擊它拿到多少
[00:02:24.720 --> 00:02:29.120]  看它們不是很會打仗,沒有什麼軍隊
[00:02:29.120 --> 00:02:32.680]  衝上來的衛兵都不是很厲害,看它們的樣子
[00:02:32.680 --> 00:02:37.000]  沒有什麼章法
[00:02:37.000 --> 00:02:41.400]  阿瑪利亞人
[00:02:41.400 --> 00:02:46.800]  阿瑪利亞是山谷的居住者,即是一群住在山谷裏的民族
[00:02:46.800 --> 00:02:52.200]  來到利菲定休息的地方,去那裏搶它,跟它爭戰
[00:02:52.200 --> 00:02:55.960]  你知道,應該不是阿瑪利亞人第一次
[00:02:55.960 --> 00:03:00.880]  他們住在山谷裏面,何列山
[00:03:00.880 --> 00:03:03.800]  是一個很大的山,很多山谷
[00:03:03.800 --> 00:03:08.000]  他們住在山谷裏面的人,過來利菲定很近
[00:03:08.000 --> 00:03:12.480]  在那裏休息的人當中,搶東西,打它
[00:03:12.480 --> 00:03:14.920]  搶到人,搶到錢也好
[00:03:14.920 --> 00:03:17.200]  這個時候摩西就說
[00:03:17.200 --> 00:03:22.320]  你為我跟約書亞說,你找些人出來,出去打
[00:03:22.320 --> 00:03:25.600]  我拿著整個像站在山頂
[00:03:25.600 --> 00:03:30.600]  第一件事就是,如果你是約書亞你怎樣
[00:03:30.600 --> 00:03:37.160]  那不如調位,你出去打,我上山頂拿著一支像
[00:03:37.160 --> 00:03:43.760]  老人家又不是很能打,約書亞是個戰士
[00:03:43.760 --> 00:03:46.680]  他就說好,我帶人出去打
[00:03:46.680 --> 00:03:52.040]  其實約書亞是一個猶太民族或者以色列人
[00:03:52.040 --> 00:03:55.640]  他們很尊敬的一個戰士
[00:03:55.640 --> 00:04:01.720]  有幾個,約書亞、基澱、大衛和兩約之間的瑪加比
[00:04:01.720 --> 00:04:07.560]  都是他們很尊敬的打得的人,以往重要的戰士
[00:04:07.560 --> 00:04:10.680]  約書亞第一次打仗
[00:04:10.680 --> 00:04:15.720]  你出去跟阿瑪利亞人爭戰,我明天拿著神的像
[00:04:15.720 --> 00:04:20.800]  一見到摩西拿著神的像,大家就放心
[00:04:20.800 --> 00:04:26.560]  有神同在,我會上去山頂看你
[00:04:26.560 --> 00:04:32.000]  好像聖經所說,我在場,你放心出去
[00:04:32.000 --> 00:04:36.120]  在山頂上做什麼呢?再看下去
[00:04:36.120 --> 00:04:43.120]  於是約書亞就帶著摩西照著摩西對他說的話
[00:04:43.120 --> 00:04:46.880]  帶著人馬出去跟阿瑪利亞人爭戰
[00:04:46.880 --> 00:04:54.400]  這個時間有三個人,摩西、阿倫和胡爾上山頂
[00:04:54.400 --> 00:05:00.160]  胡爾是第一次作為一個領袖出現
[00:05:00.160 --> 00:05:05.320]  跟了一段路,一個新的領袖幫手出來
[00:05:05.320 --> 00:05:08.080]  胡爾應該是一個文人
[00:05:08.080 --> 00:05:11.840]  摩西是什麼意思呢?
[00:05:11.840 --> 00:05:16.480]  摩西就是拉上來,拉到他
[00:05:16.480 --> 00:05:18.360]  在水裡拉上來
[00:05:18.360 --> 00:05:25.680]  阿倫就是光明的人,有陽光的
[00:05:25.680 --> 00:05:28.120]  發光的意思
[00:05:28.120 --> 00:05:32.000]  胡爾就是山洞,一個洞
[00:05:32.000 --> 00:05:33.440]  這個名字真好笑
[00:05:33.440 --> 00:05:36.680]  很有可能他生的時間在那個洞裡
[00:05:36.680 --> 00:05:40.160]  也說不定,於是就改他的名字
[00:05:40.160 --> 00:05:43.400]  以前他們改名很有趣
[00:05:43.400 --> 00:05:48.000]  譬如有些人一個晴朗的日子出世
[00:05:48.000 --> 00:05:50.600]  可能就改做曉晴
[00:05:50.600 --> 00:05:55.440]  曉就是早上,晴朗的早上出世就是曉晴
[00:05:55.440 --> 00:06:01.240]  改這些名字,可能在那個洞出世就叫胡爾
[00:06:01.240 --> 00:06:03.920]  改他兒子的名字叫洞,山洞
[00:06:03.920 --> 00:06:07.520]  如果將來上課老師問
[00:06:07.520 --> 00:06:09.240]  小朋友你叫什麼名字?
[00:06:09.240 --> 00:06:14.640]  我叫洞,我叫洞,山洞,洞
