
[00:00:00.000 --> 00:00:01.720]  「起來回應神的呼召」
[00:00:01.720 --> 00:00:05.320]  究竟神是向我們呼召甚麼呢?
[00:00:05.320 --> 00:00:08.320]  好,可以去看看
[00:00:08.320 --> 00:00:10.960]  今天我為甚麼會選擇這段經文呢?
[00:00:10.960 --> 00:00:13.520]  原因是我11月份開始
[00:00:13.520 --> 00:00:16.640]  我就去裝備課程那裡
[00:00:16.640 --> 00:00:21.960]  我就教「忠心侍奉的約書」
[00:00:21.960 --> 00:00:25.840]  當中我都會看很多色經書
[00:00:25.840 --> 00:00:29.000]  以及一些參考的書籍、文章
[00:00:29.000 --> 00:00:34.240]  讓我重新認識多一點
[00:00:34.240 --> 00:00:38.040]  關於約書的領袖
[00:00:38.040 --> 00:00:39.440]  其中有一本書叫做
[00:00:39.440 --> 00:00:41.560]  「大時代的屬靈爭戰」
[00:00:41.560 --> 00:00:44.640]  作者是張慕海牧師
[00:00:44.640 --> 00:00:47.360]  這本書帶給我們很多很多的反思
[00:00:47.360 --> 00:00:49.320]  以及一些激勵
[00:00:49.320 --> 00:00:51.520]  也很想跟大家分享當中
[00:00:51.520 --> 00:00:52.800]  怎樣去實踐
[00:00:52.800 --> 00:00:55.520]  怎樣去聽到神的呼召的時候
[00:00:55.520 --> 00:00:57.280]  我們怎樣去實踐出來
[00:00:57.280 --> 00:01:01.560]  我們知道今天很多侍奉主的頂姐妹
[00:01:01.560 --> 00:01:03.480]  她們都有很大的衝擊
[00:01:03.480 --> 00:01:05.760]  有不同種類的衝擊
[00:01:05.760 --> 00:01:07.640]  特別是在這個末世的時代
[00:01:07.640 --> 00:01:09.040]  耶穌基督再來
[00:01:09.040 --> 00:01:11.960]  在耶穌再來之前
[00:01:11.960 --> 00:01:16.160]  我們將會進入一場很激烈的屬靈的爭戰
[00:01:16.160 --> 00:01:18.960]  面對這場劇烈的爭戰
[00:01:18.960 --> 00:01:21.680]  神在我們每一個的呼召
[00:01:21.680 --> 00:01:25.480]  每一個的頂姐妹的指紋出來
[00:01:25.480 --> 00:01:29.240]  穿戴她們神所賜的屬靈的軍裝
[00:01:29.240 --> 00:01:30.560]  全副的軍裝
[00:01:30.560 --> 00:01:36.680]  迎接魔鬼撒旦的攻擊
[00:01:36.680 --> 00:01:37.920]  魔鬼撒旦的攻擊
[00:01:37.920 --> 00:01:39.520]  在不同歷史的時代
[00:01:39.520 --> 00:01:42.440]  其實都有不同的方法
[00:01:42.440 --> 00:01:44.000]  有些詭計
[00:01:44.000 --> 00:01:45.920]  但最終的目標是做什麼
[00:01:45.920 --> 00:01:48.520]  就是要敵對我們
[00:01:48.520 --> 00:01:49.320]  敵對神
[00:01:49.320 --> 00:01:52.040]  敵對我們這些信主的子民
[00:01:52.040 --> 00:01:53.600]  教會
[00:01:53.600 --> 00:02:01.000]  不要輕視這些撒旦和魔鬼
[00:02:01.000 --> 00:02:04.560]  他們大致上分開有幾個板斧
[00:02:04.560 --> 00:02:08.200]  以前他們會逼迫教會
[00:02:08.200 --> 00:02:11.760]  在初期教會三四百年的期間
[00:02:11.760 --> 00:02:15.280]  撒旦經常直接攻擊教會
[00:02:15.280 --> 00:02:17.480]  逼迫神的子民
[00:02:17.480 --> 00:02:18.640]  但是
[00:02:18.640 --> 00:02:25.880]  撒旦不僅是用大力逼迫的方法
[00:02:25.880 --> 00:02:28.800]  因為歷史告訴魔鬼撒旦
[00:02:28.800 --> 00:02:32.840]  越是逼迫神的教會
[00:02:32.840 --> 00:02:35.280]  會越是興旺
[00:02:35.280 --> 00:02:37.240]  所以用了另外的詭計
[00:02:37.240 --> 00:02:43.320]  在這個年代追求物質享樂
[00:02:43.320 --> 00:02:50.040]  在這個世界經濟發展蓬勃
[00:02:50.040 --> 00:02:52.760]  撒旦的工作也很厲害
[00:02:52.760 --> 00:02:56.040]  經濟發展好的時候
[00:02:56.040 --> 00:02:58.240]  哪裡的人會離開神
[00:02:58.240 --> 00:02:59.920]  你可以看到有些國家
[00:02:59.920 --> 00:03:03.120]  以前是基督教立國
[00:03:03.120 --> 00:03:04.840]  現在是怎樣呢
[00:03:04.840 --> 00:03:06.400]  很多人也會沉迷
[00:03:06.400 --> 00:03:09.440]  或者專注於物質上高
[00:03:09.440 --> 00:03:10.800]  或者事業上高
[00:03:10.800 --> 00:03:12.200]  學業上高
[00:03:12.200 --> 00:03:14.400]  今天有多少人
[00:03:14.400 --> 00:03:16.320]  可以想像一下
[00:03:16.320 --> 00:03:18.120]  是因為經濟發達
[00:03:18.120 --> 00:03:21.600]  而走上拜金主義的路呢
[00:03:21.600 --> 00:03:23.120]  但是我們也知道
[00:03:23.120 --> 00:03:25.000]  物質和一些享樂
[00:03:25.000 --> 00:03:28.880]  是否真的可以滿足我們的心靈呢
[00:03:28.880 --> 00:03:30.200]  來到這一刻
[00:03:30.200 --> 00:03:33.640]  大家都看到不同的地方
[00:03:33.640 --> 00:03:34.920]  有戰爭
[00:03:34.920 --> 00:03:36.760]  鵝烏戰爭
[00:03:36.760 --> 00:03:39.840]  也有二巴衝突
[00:03:39.840 --> 00:03:42.240]  這些戰爭在末世裡
