
[00:00:00.000 --> 00:00:08.000]  今天很高興可以跟大家在這裡分享父親節
[00:00:08.000 --> 00:00:12.740]  但是父親節有時候真的不是快樂
[00:00:12.740 --> 00:00:16.940]  有時候我們家庭裡面真的有很多不如意的事
[00:00:16.940 --> 00:00:19.380]  很多不開心的事
[00:00:19.380 --> 00:00:22.120]  但是今天我想跟大家說一個
[00:00:22.120 --> 00:00:26.120]  就是做一個有福的父親
[00:00:26.120 --> 00:00:29.760]  在當中有一些秘訣
[00:00:29.760 --> 00:00:35.800]  就是我在Muilpedes Campus做歡樂新生
[00:00:35.800 --> 00:00:37.140]  就是一個新的生命
[00:00:37.140 --> 00:00:39.100]  一個recovery ministry
[00:00:39.100 --> 00:00:41.800]  有很多人問我什麼是recovery
[00:00:41.800 --> 00:00:45.680]  recovery就是一個牧者
[00:00:45.680 --> 00:00:47.380]  我聽他說就是
[00:00:47.380 --> 00:00:50.580]  你不見了一些東西你現在拿回來
[00:00:50.580 --> 00:00:54.780]  其實原來耶穌基督來到這個世上
[00:00:54.780 --> 00:00:58.380]  在當中是我們失去了
[00:00:58.380 --> 00:01:02.300]  因為罪失去了的東西我們可以拿回來
[00:01:02.300 --> 00:01:05.800]  我們的生命裡面我們可以拿回來
[00:01:05.800 --> 00:01:09.140]  在recovery ministry我們有八個步驟
[00:01:09.140 --> 00:01:13.640]  十二個步驟和八個原則
[00:01:13.640 --> 00:01:15.980]  這八個原則就是八福
[00:01:15.980 --> 00:01:21.140]  福就是在聖經裡面說快樂
[00:01:21.140 --> 00:01:24.280]  一個開心的生命
[00:01:24.280 --> 00:01:26.360]  一個豐盛開心的生命
[00:01:26.360 --> 00:01:30.780]  在當中我經常說
[00:01:30.780 --> 00:01:32.020]  賊來了
[00:01:32.020 --> 00:01:34.360]  他就是要偷了你的生命
[00:01:34.360 --> 00:01:36.520]  偷竊了你的生命
[00:01:36.520 --> 00:01:40.860]  殺害了和毀壞了你的生命
[00:01:40.860 --> 00:01:43.000]  但是耶穌基督來的時候
[00:01:43.000 --> 00:01:48.080]  他說我要來使揚得生命
[00:01:48.080 --> 00:01:50.440]  以致得得更豐盛
[00:01:50.440 --> 00:01:55.340]  今天我想起這兩篇經文
[00:01:55.340 --> 00:01:56.440]  很短的詩篇
[00:01:56.440 --> 00:01:58.420]  是上行的詩篇
[00:01:58.420 --> 00:02:00.920]  就是我們去朝聖的詩篇
[00:02:00.920 --> 00:02:05.320]  在當中看到原來我們家庭裡面
[00:02:05.320 --> 00:02:11.960]  是已經神賜福給我們每一個家庭
[00:02:11.960 --> 00:02:14.160]  我們要去找緊
[00:02:14.160 --> 00:02:15.800]  生命是神
[00:02:15.800 --> 00:02:17.840]  耶穌基督來到已經是給了我們
[00:02:17.840 --> 00:02:22.740]  我們一起去讀這些經文
[00:02:22.740 --> 00:02:24.440]  我們一起讀
[00:02:24.440 --> 00:02:27.240]  「要不是上主建造房屋
[00:02:27.240 --> 00:02:30.280]  建造者的工作就是無效
[00:02:30.280 --> 00:02:33.620]  要不是上主守護城池
[00:02:33.620 --> 00:02:37.960]  看守者的守衛就是都徒勞
[00:02:37.960 --> 00:02:39.700]  早起晚睡
[00:02:39.700 --> 00:02:43.660]  為生活整天勞碌是枉然
[00:02:43.660 --> 00:02:48.560]  因為上主賜安眠給他所愛的人
[00:02:48.560 --> 00:02:52.180]  而女是上主所賞賜
[00:02:52.180 --> 00:02:55.800]  子孫是他賜給我們的福分
[00:02:55.800 --> 00:02:59.940]  人在年輕的所生的兒子
[00:02:59.940 --> 00:03:03.120]  就將賤視酒中的賤
[00:03:03.120 --> 00:03:05.760]  賤袋裝滿這種賤
[00:03:05.760 --> 00:03:08.460]  是人多麼有福
[00:03:08.460 --> 00:03:14.420]  他在城門口跟就敵爭辯不致失敗」
[00:03:14.420 --> 00:03:16.560]  128篇
[00:03:16.560 --> 00:03:20.860]  「敬畏上主是人多麼有福
[00:03:20.860 --> 00:03:25.100]  專行他命令的人多麼有福
[00:03:25.100 --> 00:03:28.480]  你勞碌得來的夠你食用
