
[00:00:00.000 --> 00:00:03.220]  今天我想和大家來看馬克福音段的經文
[00:00:03.220 --> 00:00:09.120]  記載在第五章的一個我們都頗熟悉的人物
[00:00:09.120 --> 00:00:10.880]  就是艾魯
[00:00:10.880 --> 00:00:12.220]  我將他的題目叫做
[00:00:12.220 --> 00:00:16.120]  「人生路上和復活主的相遇」
[00:00:16.120 --> 00:00:18.840]  這裡講到艾魯如何來到耶穌的面前
[00:00:18.840 --> 00:00:20.580]  來請求耶穌
[00:00:20.580 --> 00:00:24.820]  以至當去耶穌去艾魯的家的路上
[00:00:24.820 --> 00:00:27.680]  發生的事情
[00:00:27.680 --> 00:00:30.600]  人生路上和復活主的相遇
[00:00:30.600 --> 00:00:34.320]  特別對艾魯而言
[00:00:34.320 --> 00:00:38.580]  又對耶穌時代而言是不容易的
[00:00:38.580 --> 00:00:39.820]  有時我們會覺得
[00:00:39.820 --> 00:00:42.500]  會否有時我們要等到耶穌復活
[00:00:42.500 --> 00:00:43.820]  從死裡復活
[00:00:43.820 --> 00:00:46.880]  我們才可以和這位復活主相遇呢?
[00:00:46.880 --> 00:00:47.460]  對我們而言
[00:00:47.460 --> 00:00:50.260]  可能因為我們已經是耶穌復活之後
[00:00:50.260 --> 00:00:52.160]  才去認識這個信仰
[00:00:52.160 --> 00:00:53.340]  但是在艾魯
[00:00:53.340 --> 00:00:56.220]  甚至可能打到熟悉的拉撒路
[00:00:56.220 --> 00:00:58.080]  從死裡復活的事件
[00:00:58.080 --> 00:00:59.660]  都讓我們看見
[00:00:59.660 --> 00:01:02.600]  其實在他們當時對復活的認識
[00:01:02.600 --> 00:01:04.200]  可能都不是很多
[00:01:04.200 --> 00:01:05.140]  但我想提的是
[00:01:05.140 --> 00:01:08.520]  不是需要等到耶穌從死裡復活
[00:01:08.520 --> 00:01:12.280]  我們才可以和復活主相遇
[00:01:12.280 --> 00:01:13.440]  對我們而言很容易
[00:01:13.440 --> 00:01:15.600]  但是對艾魯、對拉撒路
[00:01:15.600 --> 00:01:18.640]  這段經文是在拉撒路復活之前
[00:01:18.640 --> 00:01:21.040]  耶穌和他的姐姐瑪大所說的
[00:01:21.040 --> 00:01:22.920]  我們比較熟悉的翻譯是和學本
[00:01:22.920 --> 00:01:27.600]  講到耶穌說「復活在我,生命也在我」
[00:01:27.600 --> 00:01:30.360]  信我的人雖然死了也必復活
[00:01:30.360 --> 00:01:31.760]  但是現代中文譯本
[00:01:31.760 --> 00:01:34.480]  給我們有一個更加清楚明白的意思就是
[00:01:34.480 --> 00:01:39.800]  耶穌說「我就是復活,我就是生命」
[00:01:39.800 --> 00:01:41.880]  所以不是等到耶穌要復活
[00:01:41.880 --> 00:01:44.440]  才做一位復活主
[00:01:44.440 --> 00:01:48.840]  復活、生命都在主耶穌的手中
[00:01:48.840 --> 00:01:52.080]  是由耶穌來掌管
[00:01:52.080 --> 00:01:55.680]  所以艾魯同樣可以在人生路上
[00:01:55.680 --> 00:01:57.400]  和復活主相遇
[00:01:57.400 --> 00:02:00.680]  瑪大、瑪利亞、拉撒路都是一樣
[00:02:00.680 --> 00:02:04.120]  他們可以經歷和復活主的相遇
[00:02:04.120 --> 00:02:06.080]  今天經文很想和大家來看看
[00:02:06.080 --> 00:02:09.760]  人和耶穌的互動做一個開始
[00:02:09.760 --> 00:02:11.520]  我不知道大家有沒有剛才記得
[00:02:11.520 --> 00:02:14.360]  我們唱的「尊崇」詩歌
[00:02:14.360 --> 00:02:18.480]  大家還記不記得那首詩歌的名字是什麼?
[00:02:18.480 --> 00:02:22.720]  叫做「恭請主來」
[00:02:22.720 --> 00:02:28.000]  其實這正正可能是我們人和耶穌之間的互動
[00:02:28.000 --> 00:02:30.480]  從艾魯的開始裡面
[00:02:30.480 --> 00:02:34.840]  我們見到他請耶穌去到他的家
[00:02:34.840 --> 00:02:36.680]  請耶穌來
[00:02:36.680 --> 00:02:39.280]  這個可能都是我們有時候經歷過
[00:02:39.280 --> 00:02:41.320]  在你自己的信仰裡面
[00:02:41.320 --> 00:02:43.640]  你請耶穌來
[00:02:43.640 --> 00:02:45.480]  然後在這段經文裡面
[00:02:45.480 --> 00:02:50.440]  我們又發現「耶穌請你不要來」
[00:02:50.440 --> 00:02:53.440]  我不知道這個我們會不會曾經經歷過
[00:02:53.440 --> 00:02:55.480]  特別可能我們信主之前
[00:02:55.480 --> 00:02:58.040]  有人曾經和我說過信仰
[00:02:58.040 --> 00:03:00.520]  但是我們不是很想聽
[00:03:00.520 --> 00:03:03.240]  可能叫那些朋友不要再說了
