
[00:00:00.000 --> 00:00:02.000]  上個禮拜我們聯合崇拜
[00:00:02.000 --> 00:00:04.000]  郭牧師講到的時候
[00:00:04.000 --> 00:00:06.000]  已經介紹了我們今年的
[00:00:06.000 --> 00:00:08.000]  全教會主題
[00:00:08.000 --> 00:00:10.000]  就是
[00:00:10.000 --> 00:00:13.000]  因信大有盼望
[00:00:13.000 --> 00:00:15.000]  承接去年
[00:00:15.000 --> 00:00:18.000]  我們等候所盼望的福
[00:00:18.000 --> 00:00:20.000]  我們知道這個疫情
[00:00:20.000 --> 00:00:22.000]  仍然給我們有很多未知的前面
[00:00:22.000 --> 00:00:24.000]  但是我們可以
[00:00:24.000 --> 00:00:26.000]  因著信
[00:00:26.000 --> 00:00:28.000]  大有盼望
[00:00:28.000 --> 00:00:30.000]  聖經的經文裡面
[00:00:30.000 --> 00:00:32.000]  其實重點著重在
[00:00:32.000 --> 00:00:34.000]  聖靈的能力
[00:00:34.000 --> 00:00:36.000]  所以上個禮拜我相信
[00:00:36.000 --> 00:00:38.000]  郭牧師也特別講到
[00:00:38.000 --> 00:00:40.000]  我們要靠著
[00:00:40.000 --> 00:00:42.000]  聖靈的大能
[00:00:42.000 --> 00:00:44.000]  靠著祈禱
[00:00:44.000 --> 00:00:46.000]  靠著神的力量
[00:00:46.000 --> 00:00:48.000]  我們來將
[00:00:48.000 --> 00:00:50.000]  盼望去遮我們心中
[00:00:50.000 --> 00:00:52.000]  也將盼望分享給
[00:00:52.000 --> 00:00:54.000]  在這個時候
[00:00:54.000 --> 00:00:56.000]  充滿著很多黑暗未知前路
[00:00:56.000 --> 00:00:58.000]  很多迷惘的
[00:00:58.000 --> 00:01:00.000]  一個世代當中
[00:01:00.000 --> 00:01:02.000]  叫人因認識耶穌
[00:01:02.000 --> 00:01:04.000]  有盼望
[00:01:04.000 --> 00:01:06.000]  我們最近因為
[00:01:06.000 --> 00:01:08.000]  多多禱告
[00:01:08.000 --> 00:01:10.000]  所以我們全教會有21天的祈禱
