
[00:00:00.000 --> 00:00:03.900]  在二月的時候有新竹有一場燈會
[00:00:03.900 --> 00:00:05.900]  那這個燈會呢
[00:00:05.900 --> 00:00:09.100]  剛開始那個新竹縣長邀請教會參與的時候
[00:00:09.100 --> 00:00:11.500]  教會牧者不太願意
[00:00:11.500 --> 00:00:14.100]  因為我們知道這個今年是蛇年
[00:00:14.100 --> 00:00:16.700]  那個燈會就是以蛇為主題
[00:00:16.700 --> 00:00:21.700]  那這個時候有一個客家庄的牧者叫范炳天牧師就跳出來
[00:00:21.700 --> 00:00:24.700]  他就說我們可以來參與
[00:00:24.700 --> 00:00:28.900]  因為呢在約翰福音三章裡面說
[00:00:28.900 --> 00:00:30.900]  摩西怎樣在曠野舉蛇
[00:00:30.900 --> 00:00:32.900]  人子也怎樣被舉起來
[00:00:32.900 --> 00:00:34.900]  然後幸福的人有永生
[00:00:34.900 --> 00:00:38.900]  所以就這樣子眾牧者的眼睛一亮
[00:00:38.900 --> 00:00:40.900]  所以就參與了這場燈會
[00:00:40.900 --> 00:00:44.900]  那聽說後來這個基督教這個區
[00:00:44.900 --> 00:00:46.900]  每天好多人湧進去
[00:00:46.900 --> 00:00:48.900]  然後他們就給他們
[00:00:48.900 --> 00:00:50.900]  為他們祝福禱告
[00:00:50.900 --> 00:00:52.900]  做福音解籤
[00:00:52.900 --> 00:00:54.900]  那很多人信耶穌
[00:00:54.900 --> 00:00:58.900]  那耶穌被舉起來舉在哪裡呢
[00:00:58.900 --> 00:01:00.900]  就是舉在十字架上
[00:01:00.900 --> 00:01:06.900]  所以今天我要分享的主題是我們的福氣十字架
[00:01:06.900 --> 00:01:07.900]  因為我一直在想
[00:01:07.900 --> 00:01:12.900]  信耶穌的人有什麼與人不同之處
[00:01:12.900 --> 00:01:17.900]  那所以我上次分享了我們的福氣
[00:01:17.900 --> 00:01:19.900]  就是神跟我們同在
[00:01:19.900 --> 00:01:20.900]  信耶穌有神同在
[00:01:20.900 --> 00:01:24.900]  今天我要分享的是我們的福氣十字架
[00:01:24.900 --> 00:01:29.900]  我們來看約翰福音三章十四到十五節
[00:01:29.900 --> 00:01:41.900]  約翰福音三章十四到十五節
[00:01:41.900 --> 00:01:50.900]  在新約的一百二十八面
[00:01:50.900 --> 00:01:57.900]  翻到了我們就一起來念
[00:01:57.900 --> 00:02:00.900]  請摩西在曠野怎樣舉蛇
[00:02:00.900 --> 00:02:02.900]  人子也必照樣被舉起來
[00:02:02.900 --> 00:02:07.900]  叫一切信他的都得永生
[00:02:07.900 --> 00:02:12.900]  我們再來看希伯來書十二章二節
[00:02:12.900 --> 00:02:25.900]  在新約的三百二十四面
[00:02:25.900 --> 00:02:27.900]  我們一起來念
[00:02:27.900 --> 00:02:31.900]  仰望為我們信心創始成中的耶穌
[00:02:31.900 --> 00:02:35.900]  他因那擺在前面的喜樂就輕看羞辱
[00:02:35.900 --> 00:02:37.900]  忍受了十字架的苦難
[00:02:37.900 --> 00:02:42.900]  便坐在神寶座的右邊
[00:02:42.900 --> 00:02:50.900]  首先我們就要來看
[00:02:50.900 --> 00:02:55.900]  十字架在我們生命中的功效
[00:02:58.900 --> 00:03:06.900]  十字架在我們信仰當中是非常重要的一個記號
[00:03:06.900 --> 00:03:11.900]  也是神要藉著賜福我們之地
[00:03:11.900 --> 00:03:15.900]  第一個功效十字架是一個單墜之地
