
[00:00:00.000 --> 00:00:02.800]  我們剛才讀了一段很震撼
[00:00:02.800 --> 00:00:04.800]  很爆炸性的經文
[00:00:04.800 --> 00:00:07.200]  只是讀這段聖經
[00:00:07.200 --> 00:00:09.800]  我相信如果你投入的明白
[00:00:09.800 --> 00:00:14.600]  體會當中那種的力量
[00:00:14.600 --> 00:00:16.800]  以及那種的榮耀
[00:00:16.800 --> 00:00:18.400]  以及安慰
[00:00:18.400 --> 00:00:20.000]  以及把握的話
[00:00:20.000 --> 00:00:23.400]  你本身已經是得到很大的鼓勵
[00:00:23.400 --> 00:00:28.400]  以及在神的面前可以重新得力
[00:00:28.800 --> 00:00:31.400]  所以我預備這篇講道的時候
[00:00:31.400 --> 00:00:33.000]  我是有些壓力的
[00:00:33.000 --> 00:00:37.600]  我怕我講了劃蛇添足
[00:00:37.600 --> 00:00:40.800]  講不到本身這段聖經
[00:00:40.800 --> 00:00:43.400]  本來神要我們所聽到的
[00:00:43.400 --> 00:00:45.800]  那種的震撼性
[00:00:45.800 --> 00:00:49.000]  所以我想跟大家一起有個祈禱
[00:00:49.000 --> 00:00:50.800]  求神幫助我們
[00:00:50.800 --> 00:00:52.800]  越過我的軟弱
[00:00:52.800 --> 00:00:54.800]  讓聖靈去
[00:00:54.800 --> 00:00:57.000]  讓大家去聽到這段聖經
[00:00:57.000 --> 00:00:58.800]  神想你聽到的東西
[00:00:58.800 --> 00:00:59.200]  好不好?
[00:00:59.200 --> 00:01:00.400]  我們一起有個簡單的祈禱
[00:01:00.400 --> 00:01:02.400]  我們求神幫我們
[00:01:02.400 --> 00:01:04.000]  請過聖靈求你幫助我
[00:01:04.000 --> 00:01:07.200]  讓我來講得清楚這段聖經
[00:01:07.200 --> 00:01:08.200]  又不會阻礙
[00:01:08.200 --> 00:01:09.600]  因為我知道無論我怎麼講
[00:01:09.600 --> 00:01:11.400]  都講不到你這段聖經
[00:01:11.400 --> 00:01:13.200]  要對我們每一個人所講的說話
[00:01:13.200 --> 00:01:14.200]  那種的power
[00:01:14.200 --> 00:01:16.000]  那種的力量
[00:01:16.000 --> 00:01:20.000]  以及那種無可比擬的信心
[00:01:20.000 --> 00:01:21.000]  但我們真的求你
[00:01:21.000 --> 00:01:24.400]  因為今天我們有一段短短的時間
[00:01:24.400 --> 00:01:26.600]  在一起看這段說話的時候
[00:01:26.600 --> 00:01:28.000]  求你連穩我們
[00:01:28.000 --> 00:01:30.800]  聖靈求你來感動每一個弟兄姊妹
[00:01:30.800 --> 00:01:32.000]  也感動我的心
[00:01:32.000 --> 00:01:33.800]  讓我能夠講得清楚
[00:01:33.800 --> 00:01:34.800]  講得明白
[00:01:34.800 --> 00:01:37.000]  講到有你起碼少少
[00:01:37.000 --> 00:01:40.000]  從你而來那種的
[00:01:40.000 --> 00:01:42.200]  感動人心的力量
[00:01:42.200 --> 00:01:44.000]  主不是因為要成就什麼
[00:01:44.000 --> 00:01:46.400]  而是因為你愛我們每一個人
[00:01:46.400 --> 00:01:47.000]  主啊
[00:01:47.000 --> 00:01:49.600]  我們求祢自己今天臨在我們當中
[00:01:49.600 --> 00:01:51.600]  祈禱奉耶穌基督的名求
[00:01:51.600 --> 00:01:52.800]  阿門
[00:01:52.800 --> 00:01:54.800]  所以今天我很想這段聖經
[00:01:54.800 --> 00:01:58.600]  也是我們城北堂一連串的羅馬書界系列
[00:01:58.600 --> 00:02:01.000]  最後一個的結束
[00:02:01.000 --> 00:02:03.600]  我們今天之後就完了這個系列
[00:02:03.600 --> 00:02:06.200]  羅馬書一路講到第八章結束
[00:02:06.200 --> 00:02:09.400]  所以今天我很想用這段聖經
