
[00:00:00.000 --> 00:00:05.000]  在今年六月份的主餐主日
[00:00:05.000 --> 00:00:12.000]  我講的題目是「復興的英許,人當盡本分」
[00:00:12.000 --> 00:00:17.000]  是使用歷代之下的七章十四節
[00:00:17.000 --> 00:00:22.000]  在那裏提及原來神話語上有英許
[00:00:22.000 --> 00:00:26.000]  是可以大大的賜福神的子民
[00:00:26.000 --> 00:00:29.000]  使到神的子民可以再一次歡喜快樂
[00:00:29.000 --> 00:00:33.000]  生命豐盛又遵行神的旨意
[00:00:33.000 --> 00:00:40.000]  不過經文裏面亦提醒人要當盡一些本分
[00:00:40.000 --> 00:00:43.000]  而其中在經文裏面告訴我們
[00:00:43.000 --> 00:00:45.000]  我們有四個本分要做的
[00:00:45.000 --> 00:00:48.000]  如果想大大的蒙福
[00:00:48.000 --> 00:00:51.000]  第一是自卑即謙卑
[00:00:51.000 --> 00:00:54.000]  第二是禱告
[00:00:54.000 --> 00:00:57.000]  第三是尋求神的面
[00:00:57.000 --> 00:01:01.000]  第四是轉離惡行
[00:01:01.000 --> 00:01:06.000]  這是我六月份跟頂梓梅分享的訊息
[00:01:06.000 --> 00:01:09.000]  到了七月份的主餐主日
[00:01:09.000 --> 00:01:17.000]  我分享的訊息是「復興的來到,經歷神同在」
[00:01:17.000 --> 00:01:21.000]  當我們經歷到神很大的福分臨到的時候
[00:01:21.000 --> 00:01:24.000]  亦即是復興的臨到的時候
[00:01:24.000 --> 00:01:26.000]  究竟是一回甚麼事呢?
[00:01:26.000 --> 00:01:30.000]  我們用使徒行傳的第三章十九節
[00:01:30.000 --> 00:01:32.000]  讓我們看得到
[00:01:32.000 --> 00:01:35.000]  原來當神大大賜福我們的時候
[00:01:35.000 --> 00:01:40.000]  我們所經歷的其實就是神自己
[00:01:40.000 --> 00:01:44.000]  就是經歷到神就在我們中間
[00:01:44.000 --> 00:01:47.000]  我們能夠跟神相遇
[00:01:47.000 --> 00:01:49.000]  能夠跟神有一個美好的關係的時候
[00:01:49.000 --> 00:01:56.000]  立刻生命就復甦,生命就更新,就興旺
[00:01:56.000 --> 00:02:02.000]  所以復興的來到亦即是神同在的顯明
[00:02:02.000 --> 00:02:04.000]  然後我們亦提到
[00:02:04.000 --> 00:02:07.000]  期盼神同在更加快來到的時候
[00:02:07.000 --> 00:02:09.000]  我們有兩件事要做的
[00:02:09.000 --> 00:02:12.000]  第一就是要剛強壯膽
[00:02:12.000 --> 00:02:15.000]  第二就是要遵行福音的使命
[00:02:15.000 --> 00:02:19.000]  也要允許祂的同在會臨到
[00:02:19.000 --> 00:02:24.000]  這就是我們七月份的主餐主日裏面的分享題目
[00:02:24.000 --> 00:02:27.000]  然後到今天十月份
[00:02:27.000 --> 00:02:30.000]  我們又回到主題裏面
[00:02:30.000 --> 00:02:33.000]  我們今日跟鄧小慕一起的思想是甚麼呢?
[00:02:33.000 --> 00:02:37.000]  思想就是復興的可能
[00:02:37.000 --> 00:02:40.000]  腹骨成大軍
[00:02:40.000 --> 00:02:42.000]  意思就是說
[00:02:42.000 --> 00:02:44.000]  這些這麼美好的福分
[00:02:44.000 --> 00:02:46.000]  是可以臨到的
[00:02:46.000 --> 00:02:48.000]  是可能會出現的
[00:02:48.000 --> 00:02:50.000]  是真實的
[00:02:50.000 --> 00:02:52.000]  為甚麼呢?
[00:02:52.000 --> 00:02:54.000]  因為當我們看看
[00:02:54.000 --> 00:02:59.000]  腹骨都可以成為一大隊的軍隊的時候
[00:02:59.000 --> 00:03:03.000]  我們發現還有甚麼不可以成就呢?
[00:03:03.000 --> 00:03:05.000]  我們會用的是,大家都看到了
[00:03:05.000 --> 00:03:10.000]  以西傑書的三十七章一到十四節
