
[00:00:00.000 --> 00:00:05.000]  有一天我放工,早了放,中秋節那天
[00:00:05.000 --> 00:00:08.000]  我正在回家的途中就碰到一個
[00:00:08.000 --> 00:00:13.000]  我以前在武堂教主日學的一個主日學生
[00:00:13.000 --> 00:00:16.000]  我的主日學生原來其實已經
[00:00:16.000 --> 00:00:20.000]  他都去到中年了,和我一樣
[00:00:20.000 --> 00:00:25.000]  我們這些中年人一見到面就很開心
[00:00:25.000 --> 00:00:29.000]  哇,你很帥,沒什麼變
[00:00:29.000 --> 00:00:33.000]  大家在那裡吹噓一番
[00:00:33.000 --> 00:00:37.000]  接著我們就拿大家家人的照片
[00:00:37.000 --> 00:00:41.000]  看到他的女兒,生得很漂亮,十二歲
[00:00:41.000 --> 00:00:46.000]  就說有沒有一對合得來
[00:00:46.000 --> 00:00:49.000]  我就拿我的照片出來
[00:00:49.000 --> 00:00:52.000]  誰知道原來之前因為不見了電話
[00:00:52.000 --> 00:00:55.000]  連照片都找不到
[00:00:55.000 --> 00:00:58.000]  他就在那裡喊我
[00:00:58.000 --> 00:01:02.000]  為什麼你這麼差勁,這些要經常放在身上
[00:01:02.000 --> 00:01:07.000]  人家連你對親家都對不到
[00:01:07.000 --> 00:01:11.000]  接著他就說了很多話
[00:01:11.000 --> 00:01:14.000]  但最令我高興的一件事就是
[00:01:14.000 --> 00:01:20.000]  你和我以前認識你的樣子沒什麼變
[00:01:20.000 --> 00:01:24.000]  我就真的回家照鏡
[00:01:24.000 --> 00:01:27.000]  當我照鏡的時候我看到一個很熟的人
[00:01:27.000 --> 00:01:33.000]  就是金正恩
[00:01:33.000 --> 00:01:37.000]  唉
[00:01:37.000 --> 00:01:42.000]  其實
[00:01:42.000 --> 00:01:46.000]  好像不太像他
[00:01:46.000 --> 00:01:50.000]  最近經常去吃早餐的時候
[00:01:50.000 --> 00:01:54.000]  就有個阿姐,很招呼的
[00:01:54.000 --> 00:01:58.000]  她知道我喝咖啡,一去到就說咖啡嗎
[00:01:58.000 --> 00:02:02.000]  就差不多叫了我要吃的東西
[00:02:02.000 --> 00:02:06.000]  但是這個阿姐看起來都三四十歲
[00:02:06.000 --> 00:02:08.000]  本來都很好印象
[00:02:08.000 --> 00:02:10.000]  誰知道一句話破壞了
[00:02:10.000 --> 00:02:17.000]  她就說今天要吃什麼,叔叔
[00:02:17.000 --> 00:02:19.000]  你知道我們這個年紀
[00:02:19.000 --> 00:02:23.000]  你叫我哥哥,大哥都好
[00:02:23.000 --> 00:02:26.000]  開心一點,叫我叔叔
[00:02:26.000 --> 00:02:28.000]  搞到我打了個頭
[00:02:28.000 --> 00:02:31.000]  還有一次,最糟糕的就是過馬路
[00:02:31.000 --> 00:02:34.000]  一個三四歲的小朋友突然間
[00:02:34.000 --> 00:02:36.000]  踩一輛滑板車過來
