
[00:00:00.000 --> 00:00:05.000]  『錄音或錄影』
[00:00:05.000 --> 00:00:10.000]  此錄音或錄影的版權是屬於基督教宣導會北角堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意未經授權請勿轉錄或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:29.000]  甚願好像《仕途行傳》20章32節下所說
[00:00:29.000 --> 00:00:31.000]  這道能建立你們
[00:00:31.000 --> 00:00:35.000]  叫你們和一切誠誠的人同德基業
[00:00:35.000 --> 00:00:39.000]  剛才我們看了周牧師
[00:00:39.000 --> 00:00:43.000]  他為這一季的講題《羅馬書》做了一個介紹
[00:00:43.000 --> 00:00:46.000]  大家應該都會記得他說
[00:00:46.000 --> 00:00:49.000]  第一章去到第十一章
[00:00:49.000 --> 00:00:51.000]  如果你有看《羅馬書》
[00:00:51.000 --> 00:00:53.000]  你知道《羅馬書》總共有十六章
[00:00:53.000 --> 00:00:57.000]  一至十一章一般是講教義比較多
[00:00:57.000 --> 00:01:01.000]  剛才我們聽到周牧師講了很多不同的部份
[00:01:01.000 --> 00:01:04.000]  十二章開始我們很熟悉
[00:01:04.000 --> 00:01:07.000]  所以弟兄們我以神的慈悲勸你們
[00:01:07.000 --> 00:01:09.000]  一路背下去
[00:01:09.000 --> 00:01:11.000]  講到教義的實踐
[00:01:11.000 --> 00:01:15.000]  我們這個季度是選擇先看教義這個部份
[00:01:15.000 --> 00:01:19.000]  剛才我聽主席讀經的時候
[00:01:19.000 --> 00:01:21.000]  我又想起一個片段
[00:01:21.000 --> 00:01:24.000]  我想起我信主初初的時候
[00:01:24.000 --> 00:01:26.000]  你知道開始看聖經
[00:01:26.000 --> 00:01:28.000]  我不知道你信主初初的時候
[00:01:28.000 --> 00:01:30.000]  你是從哪一本書開始
[00:01:30.000 --> 00:01:34.000]  我猜一般是看福音書
[00:01:34.000 --> 00:01:36.000]  我想我應該也是
[00:01:36.000 --> 00:01:38.000]  但很快我就發覺
[00:01:38.000 --> 00:01:40.000]  我很喜歡看《羅馬書》
[00:01:40.000 --> 00:01:46.000]  那時候覺得他講的東西很清楚
[00:01:46.000 --> 00:01:48.000]  自己又是讀理科的人
[00:01:48.000 --> 00:01:50.000]  又很理性
[00:01:50.000 --> 00:01:52.000]  所以覺得《羅馬書》講救恩
[00:01:52.000 --> 00:01:54.000]  講福音
[00:01:54.000 --> 00:01:56.000]  講得很清晰
[00:01:56.000 --> 00:01:59.000]  當然慢慢信主來的時候
[00:01:59.000 --> 00:02:02.000]  又會看其他的新約舊約的書卷
[00:02:02.000 --> 00:02:06.000]  所以當剛才看介紹的短片
[00:02:06.000 --> 00:02:08.000]  聽主席讀的時候
[00:02:08.000 --> 00:02:12.000]  又想起原來曾幾何時初信的時候
[00:02:12.000 --> 00:02:14.000]  我喜歡看《羅馬書》
[00:02:14.000 --> 00:02:16.000]  很盼望這個季度
[00:02:16.000 --> 00:02:18.000]  當我們透過《羅馬書》一至十一章
[00:02:18.000 --> 00:02:20.000]  去領受訊息的時候
[00:02:20.000 --> 00:02:22.000]  或者你都可以花多點時間
[00:02:22.000 --> 00:02:24.000]  這一季你可以多看幾次
[00:02:24.000 --> 00:02:26.000]  《羅馬書》裡面的內容
[00:02:26.000 --> 00:02:28.000]  我深信對你
[00:02:28.000 --> 00:02:30.000]  特別對於福音
[00:02:30.000 --> 00:02:32.000]  好像剛才周牧師說
[00:02:32.000 --> 00:02:34.000]  不是單單停留在我們信主才聽
[00:02:34.000 --> 00:02:36.000]  其實福音、好消息、上帝的救恩
[00:02:36.000 --> 00:02:38.000]  歷久常新
[00:02:38.000 --> 00:02:40.000]  都會對我們生命有幫助
[00:02:40.000 --> 00:02:42.000]  我們一起禱告
[00:02:42.000 --> 00:02:44.000]  把這段時間讓給上帝
[00:02:44.000 --> 00:02:48.000]  神下示的如果不是
[00:02:48.000 --> 00:02:50.000]  主耶穌基督為我們的罪釘死
[00:02:50.000 --> 00:02:52.000]  並且從死裡面復活
[00:02:52.000 --> 00:02:54.000]  我們今天
[00:02:54.000 --> 00:02:56.000]  是一個沒有盼望的人
[00:02:56.000 --> 00:02:58.000]  我們的人生
[00:02:58.000 --> 00:03:00.000]  也談不上有什麼使命
[00:03:00.000 --> 00:03:02.000]  因為我們的人生就是沉淪
[00:03:02.000 --> 00:03:04.000]  就是沒有希望
[00:03:04.000 --> 00:03:06.000]  所以主今天我們能夠成為
[00:03:06.000 --> 00:03:08.000]  何等樣的人
[00:03:08.000 --> 00:03:10.000]  是蒙你的恩才成
[00:03:10.000 --> 00:03:12.000]  我們帶著期盼的心
[00:03:12.000 --> 00:03:14.000]  我們恭敬的仰望上帝
[00:03:14.000 --> 00:03:16.000]  願聖靈帶領我們進入真理
[00:03:16.000 --> 00:03:18.000]  不單只是今天
[00:03:18.000 --> 00:03:20.000]  在往後的日子當中
[00:03:20.000 --> 00:03:22.000]  讓我們從羅馬書裡面
[00:03:22.000 --> 00:03:24.000]  我們再一次得到上帝的提醒
[00:03:24.000 --> 00:03:26.000]  教導、安慰和鼓勵
[00:03:26.000 --> 00:03:28.000]  願祢帶領我們以下
[00:03:28.000 --> 00:03:30.000]  一起聽道、講道的時間
[00:03:30.000 --> 00:03:32.000]  願我們都一同蒙恩
