
[00:00:00.000 --> 00:00:04.500]  今天是紀念我們救主耶穌復活的一個大喜的日子
[00:00:04.500 --> 00:00:07.100]  我每一次過復活節都覺得很興奮
[00:00:07.100 --> 00:00:13.160]  因為這是我們基督教整個傳統裏是最重要的節日
[00:00:13.160 --> 00:00:16.480]  聖經在《甘多前書》15章裏保羅跟我們說
[00:00:16.480 --> 00:00:17.640]  他說什麼呢?
[00:00:17.640 --> 00:00:20.400]  他說如果耶穌基督沒有復活的話
[00:00:20.400 --> 00:00:24.800]  我們所傳的和我們所信的就是謊言
[00:00:24.800 --> 00:00:25.960]  是很真的
[00:00:25.960 --> 00:00:32.100]  如果我們今天的信仰是紀念一個宗教領袖死了
[00:00:32.100 --> 00:00:33.560]  就這樣算了
[00:00:33.560 --> 00:00:36.360]  我們看不見我們的前景
[00:00:36.360 --> 00:00:38.560]  原來我們人生他應許我們
[00:00:38.560 --> 00:00:42.080]  他不單止是為我們的罪死在十字架上
[00:00:42.080 --> 00:00:46.000]  他答應我們他一定要榮耀的再來
[00:00:46.000 --> 00:00:47.860]  這個榮耀的再來
[00:00:47.860 --> 00:00:55.360]  透過耶穌的復活顯明他確實是被天父接納這個贖罪制
[00:00:55.360 --> 00:00:58.620]  我們能夠被稱議是因為耶穌基督的復活
[00:00:58.620 --> 00:00:59.960]  很肯定的
[00:00:59.960 --> 00:01:03.660]  這一點對於我們今天信靠基督耶穌的人
[00:01:03.660 --> 00:01:06.820]  我們永遠都有這份永存的盼望
[00:01:06.820 --> 00:01:10.560]  在等候祂再來的日子
[00:01:10.560 --> 00:01:13.200]  所以無論人世間有多少艱難
[00:01:13.200 --> 00:01:15.600]  就算這個世代有多少混亂
[00:01:15.600 --> 00:01:18.400]  我們仍死亡亦都很深信
[00:01:18.400 --> 00:01:20.080]  耶穌榮耀的再來
[00:01:20.080 --> 00:01:24.860]  比地上仍然要經歷很多方面的考驗
[00:01:24.860 --> 00:01:27.800]  以及艱難試煉的每一個信徒
[00:01:27.800 --> 00:01:32.320]  我們都有一個真是永存活潑的盼望
[00:01:32.320 --> 00:01:33.960]  我們要很感恩
[00:01:33.960 --> 00:01:37.460]  在今年三月初的時候
[00:01:37.460 --> 00:01:41.620]  我和師母幫教會七對夫婦
[00:01:41.620 --> 00:01:42.940]  從政婚文
[00:01:42.940 --> 00:01:45.620]  不是重婚聽清楚
[00:01:45.620 --> 00:01:47.620]  這七對夫婦是因為
[00:01:47.620 --> 00:01:51.700]  他們在未信主之前有不同的原因
[00:01:51.700 --> 00:01:55.340]  他們可能沒有在教堂舉行婚禮
[00:01:55.340 --> 00:01:57.340]  但他們很珍惜這件事
[00:01:57.340 --> 00:01:58.700]  他們說牧師可不可以
[00:01:58.700 --> 00:02:01.540]  我們有機會可以在教堂裏
[00:02:01.540 --> 00:02:04.420]  重新見證我們這個婚約的民誓
[00:02:04.420 --> 00:02:08.700]  每年我們教會有一個恩愛夫婦營
[00:02:08.700 --> 00:02:12.100]  過去我有機會在他們當中服侍的時候
[00:02:12.100 --> 00:02:15.140]  都會帶他們重新一次
[00:02:15.140 --> 00:02:19.940]  renew他們這份marriage的承諾
[00:02:19.940 --> 00:02:23.940]  今次我也是見證同樣的情況出現
[00:02:23.940 --> 00:02:25.940]  我們rehearsal的時候
[00:02:25.940 --> 00:02:29.940]  那些夫婦我們叫他們四目交投
[00:02:29.940 --> 00:02:31.940]  看著對方不是看著我
[00:02:31.940 --> 00:02:35.460]  看著對方讀誓詞的時候
[00:02:35.460 --> 00:02:38.580]  已經整隻眼淚汪汪
[00:02:38.580 --> 00:02:40.260]  很感動
[00:02:40.260 --> 00:02:41.700]  為什麼感動
[00:02:41.700 --> 00:02:44.980]  因為其實可能和你最熟悉的人
[00:02:44.980 --> 00:02:47.780]  和你一起生活很多年的配偶
[00:02:47.780 --> 00:02:49.780]  可能就是你最忽略的那個
[00:02:49.780 --> 00:02:50.900]  同意嗎
[00:02:50.900 --> 00:02:52.900]  很多人點頭
[00:02:52.900 --> 00:02:55.220]  那你們今晚可以再做這件事
[00:02:55.220 --> 00:03:00.980]  你們要重新更新對對方這份愛和承諾
[00:03:00.980 --> 00:03:02.980]  我們人和上帝的關係
[00:03:02.980 --> 00:03:04.980]  人和人的關係一樣
[00:03:04.980 --> 00:03:09.540]  我們需要繼續去建立
[00:03:09.540 --> 00:03:11.780]  你不會說這個是你的好朋友
[00:03:11.780 --> 00:03:15.380]  你一看就知道他是你的好朋友
[00:03:15.380 --> 00:03:18.740]  這個是你一個的好朋友
[00:03:18.740 --> 00:03:20.980]  這個是你的配偶
[00:03:20.980 --> 00:03:23.460]  這個是你的弟兄姊妹
[00:03:23.460 --> 00:03:26.900]  這個是你團體的小組的羊仔
[00:03:26.900 --> 00:03:28.420]  你就會去關心他
[00:03:28.420 --> 00:03:29.940]  你就會好好地
[00:03:29.940 --> 00:03:33.540]  和他建立一種牧養的關係
[00:03:33.540 --> 00:03:34.740]  我們今天
[00:03:34.740 --> 00:03:36.740]  我們看回當晚
[00:03:36.740 --> 00:03:38.420]  其實他們沒有公開的
[00:03:38.420 --> 00:03:42.500]  所以只是請他們的家人和子女來
[00:03:42.500 --> 00:03:43.780]  大概五十人
[00:03:43.780 --> 00:03:45.300]  在當中我們看見
[00:03:45.300 --> 00:03:46.660]  不單有神的愛
[00:03:46.660 --> 00:03:47.620]  有神的說話
[00:03:47.620 --> 00:03:49.620]  還有很多弟兄姊妹
[00:03:49.620 --> 00:03:51.620]  付出的那種愛心
[00:03:51.620 --> 00:03:53.620]  你看那些花不是膠花
[00:03:53.620 --> 00:03:55.220]  那些是真花
[00:03:55.220 --> 00:03:56.260]  鮮花
[00:03:56.260 --> 00:03:58.260]  去到吃東西的地方
