
[00:00:00.000 --> 00:00:03.760]  我們活在一個轉折的大時代裏面
[00:00:03.760 --> 00:00:07.360]  我們活在一個轉折的大時代當中
[00:00:07.360 --> 00:00:09.560]  非常動盪的一年過去
[00:00:09.560 --> 00:00:11.640]  但是不等於問題解決
[00:00:11.640 --> 00:00:13.760]  非常動盪的一年已經過去
[00:00:13.760 --> 00:00:16.640]  但不等同問題已經解決
[00:00:16.640 --> 00:00:20.760]  有位弟兄在一本報紙裏面這樣慨嘆
[00:00:20.760 --> 00:00:23.600]  有一位弟兄在報章上這樣慨嘆
[00:00:23.600 --> 00:00:26.000]  他說在大時代的轉折之中
[00:00:26.000 --> 00:00:29.360]  使我們雖然經過憤慨激昂
[00:00:29.360 --> 00:00:31.200]  他說在大時代的轉折裏
[00:00:31.200 --> 00:00:33.360]  雖然我們經過憤慨激昂
[00:00:33.360 --> 00:00:38.080]  但並沒有帶來預期的果孝
[00:00:38.080 --> 00:00:40.560]  我們忽然覺察到生命
[00:00:40.560 --> 00:00:43.920]  充滿了各樣的無奈與疲乏
[00:00:43.920 --> 00:00:48.560]  我們忽然察覺到生命充滿了各種無奈疲乏
[00:00:48.560 --> 00:00:52.560]  現實是多麼的無情多麼的荒謬
[00:00:52.560 --> 00:00:55.400]  現實是多麼的無情多麼的荒謬
[00:00:55.400 --> 00:00:58.240]  揭穿了我們個人是何等的渺小
[00:00:58.240 --> 00:01:02.040]  揭穿了我們個人是何等的渺小不足
[00:01:02.040 --> 00:01:07.480]  除了在臉書裏面魚犬式的謾罵
[00:01:07.480 --> 00:01:10.440]  咒罵之外,還有什麼可以做呢?
[00:01:10.440 --> 00:01:13.880]  除了在臉書上的淺如的冷嘲熱諷
[00:01:13.880 --> 00:01:16.760]  還有咒罵之外,還有什麼可以做呢?
[00:01:16.760 --> 00:01:21.520]  我相信香港的信徒特別在這段長久的日子裏面
[00:01:21.520 --> 00:01:25.040]  我們真的不知道怎樣去回應
[00:01:25.040 --> 00:01:28.200]  相信香港的基督徒在這長久的日子當中
[00:01:28.200 --> 00:01:31.160]  也不知道怎樣去回應
[00:01:31.160 --> 00:01:37.560]  我們實在在這種曠世不安的處境裏面來生活
[00:01:37.560 --> 00:01:42.280]  我們實在是生活在這種曠世不安的世代當中
[00:01:42.280 --> 00:01:45.680]  但請您聽清楚兩位神的僕人
[00:01:45.680 --> 00:01:49.480]  對以察書給我們今天的訊息是什麼呢?
[00:01:49.480 --> 00:01:52.680]  但請看清楚兩位神的僕人怎樣描述
[00:01:52.680 --> 00:01:56.080]  以撒亞今天給我們的信息是怎樣
[00:01:56.080 --> 00:02:01.240]  一位教育學者,他叫賴索博士William Lasso
[00:02:01.240 --> 00:02:02.800]  他講了一句說話
[00:02:02.800 --> 00:02:07.040]  他說在國際動盪不安的關鍵日子
[00:02:07.040 --> 00:02:11.720]  以及在完全失控的時代裏面
[00:02:11.720 --> 00:02:17.080]  以察被神感動,寫下了一卷令人鼓舞的書卷
[00:02:17.080 --> 00:02:21.680]  就業寫者賴索,他說在國際動盪不安的日子當中
[00:02:21.680 --> 00:02:26.600]  以撒亞寫下了堅定不移信心的信息
[00:02:26.600 --> 00:02:29.720]  在這個福音的信息的傳遞裏面
[00:02:29.720 --> 00:02:31.960]  給我們無窮的盼望
[00:02:31.960 --> 00:02:35.760]  在這個福音信息傳遞當中給了我們無窮的盼望
[00:02:35.760 --> 00:02:40.840]  另一位紐西蘭的牧師,他叫布萊克
[00:02:40.840 --> 00:02:43.520]  另一位新西蘭的牧者布萊洛科
[00:02:43.520 --> 00:02:47.720]  他說我們看見以察無畏而莊嚴的
[00:02:47.720 --> 00:02:51.960]  走過當時的一個混亂的時局
[00:02:51.960 --> 00:02:56.480]  他說我們看到以察無畏莊嚴的走過當日混亂的時局
[00:02:56.480 --> 00:03:00.240]  但是以平靜的信心,堅定不移的
[00:03:00.240 --> 00:03:04.400]  來對神滿有把握的繼續往前行
[00:03:04.400 --> 00:03:06.680]  但他以平靜的信心,堅定不移
[00:03:06.680 --> 00:03:10.120]  對神滿有把握的繼續前行
[00:03:10.120 --> 00:03:15.360]  這個應該就是我們要聆聽先知的信息的原因
[00:03:15.360 --> 00:03:18.800]  這個應該就是我們要聆聽先知的信息的原因
[00:03:18.800 --> 00:03:23.160]  先知所活在的年代裏面,其實就是一個動盪的年代
[00:03:23.160 --> 00:03:26.040]  先知所活的年代就是一個動盪的年代
[00:03:26.040 --> 00:03:31.560]  百姓因為他們自己多方的犯罪墮落而被神要懲罰
[00:03:31.560 --> 00:03:34.480]  百姓因為自己多方犯罪被神懲罰
[00:03:34.480 --> 00:03:40.440]  所以被擄到巴比倫這個地方過一種非常艱苦的生活
[00:03:40.440 --> 00:03:43.360]  所以被擄巴比倫過著艱苦的生活
[00:03:43.360 --> 00:03:48.880]  七十年的時間在這個異邦的地方完全失去了自由
