
[00:00:00.000 --> 00:00:03.560]  弟兄姊妹早晨 主禮平安
[00:00:03.560 --> 00:00:07.200]  開始宣講之前跟大家先看一些東西
[00:00:07.200 --> 00:00:10.680]  看不看得到 圖畫 有三個圖畫
[00:00:10.680 --> 00:00:17.680]  有一個農夫要將這三樣東西運過去河 對面河
[00:00:17.680 --> 00:00:22.320]  大家要知道 有羊 中間那隻是狼
[00:00:22.320 --> 00:00:26.560]  然後有一個蔬菜
[00:00:26.560 --> 00:00:32.200]  農夫有一艘船 每次只運一種東西過去
[00:00:32.200 --> 00:00:35.360]  我想問大家 如果你是農夫
[00:00:35.360 --> 00:00:38.520]  你先運哪樣東西過去河
[00:00:38.520 --> 00:00:43.600]  當然是蔬菜 誰說是羊
[00:00:43.600 --> 00:00:48.120]  不知道 有些條件 因為當農夫不在的時候
[00:00:48.120 --> 00:00:54.200]  狼會吃羊 羊又會吃蔬菜
[00:00:54.200 --> 00:00:59.160]  究竟先運哪樣東西 現在應該先運哪樣東西
[00:00:59.160 --> 00:01:03.440]  都是先運蔬菜 那隻狼就會吃羊
[00:01:03.440 --> 00:01:09.760]  先運羊過去 第二運什麼
[00:01:09.760 --> 00:01:14.320]  第二運什麼 運狼過去 就吃羊
[00:01:14.320 --> 00:01:18.040]  運蔬菜過去 那隻羊就吃蔬菜
[00:01:18.040 --> 00:01:24.760]  對 運蔬菜很厲害 其實答案是這樣的
[00:01:24.760 --> 00:01:29.120]  首先農夫先帶羊過去河
[00:01:29.120 --> 00:01:34.080]  接著他要空船回去起始點
[00:01:34.080 --> 00:01:36.960]  接著那隻狼就要運過去
[00:01:36.960 --> 00:01:41.160]  但你不可以留下羊 因為狼會吃羊
[00:01:41.160 --> 00:01:45.520]  羊又下船回去起始點
[00:01:45.520 --> 00:01:51.320]  接著放下羊 放蔬菜在船上運過去
[00:01:51.320 --> 00:01:54.080]  因為狼是不會吃蔬菜的 很安全
[00:01:54.080 --> 00:01:59.520]  接著空船回去 最後運羊過去
[00:01:59.520 --> 00:02:02.560]  是不是可以全部都很安全運過去
[00:02:02.560 --> 00:02:07.280]  我小時候不會這樣想 現在長大了就會這樣想
[00:02:07.280 --> 00:02:09.960]  其實農夫用了他的智慧
[00:02:09.960 --> 00:02:13.840]  將三樣東西很安全運過去河
[00:02:13.840 --> 00:02:16.200]  弟兄姊妹 今天選到的經文
[00:02:16.200 --> 00:02:21.240]  是記載第二代的以色列百姓過河的情形
[00:02:21.240 --> 00:02:24.360]  他們是不需要自己想方法過河
[00:02:24.360 --> 00:02:30.120]  而是神幫他們想了一個方法帶他們過河
[00:02:30.120 --> 00:02:32.560]  當第一代的以色列百姓
[00:02:32.560 --> 00:02:36.800]  經歷了40年曠野的漂流生活之後
[00:02:36.800 --> 00:02:39.680]  按著約書亞的一章二節
[00:02:39.680 --> 00:02:44.520]  就是神的幫手 亂的魚子約書亞 神對他說
[00:02:44.520 --> 00:02:47.120]  我的僕人摩西死了
[00:02:47.120 --> 00:02:52.240]  現在你要起來和眾百姓過這約旦河
[00:02:52.240 --> 00:02:57.040]  往我所要次級以色列人的地去
[00:02:57.040 --> 00:03:00.400]  整篇約書亞記都是在記述
[00:03:00.400 --> 00:03:04.760]  約書亞是要肩負一個很重要的責任
[00:03:04.760 --> 00:03:08.960]  去帶領第二代的以色列百姓過約旦河
[00:03:08.960 --> 00:03:11.320]  進入迦南地的京國
[00:03:11.320 --> 00:03:15.680]  進入迦南地當然要打仗和要分地
[00:03:15.680 --> 00:03:17.520]  第二代的以色列百姓過河
[00:03:17.520 --> 00:03:21.960]  他們不是用自己的方法想出來過河
[00:03:21.960 --> 00:03:25.240]  而是神很早已經為他們預備了一個方法
[00:03:25.240 --> 00:03:26.800]  帶他們過河
[00:03:26.800 --> 00:03:29.160]  邁向一個新的里程
[00:03:29.160 --> 00:03:33.360]  過河之後 他們要迎接一個新的挑戰
[00:03:33.360 --> 00:03:35.640]  就是打仗
[00:03:35.640 --> 00:03:39.040]  他們逐步將迦南地的七族
[00:03:39.040 --> 00:03:41.040]  有七個群族
[00:03:41.040 --> 00:03:42.760]  剛才我們在聖經讀了
[00:03:42.760 --> 00:03:47.120]  迦南人 赫人 希美人 比利西人 格加薩人
[00:03:47.120 --> 00:03:50.600]  阿摩利人 耶布斯人逐一趕出去
[00:03:50.600 --> 00:03:53.960]  這次過約旦河是一條信心的路
