
[00:00:00.000 --> 00:00:02.800]  今日呢面對呢個疫情同埋政情
[00:00:02.800 --> 00:00:04.800]  我哋面對香港嘅環境
[00:00:04.800 --> 00:00:07.500]  求主呢嚟到對我哋說話
[00:00:07.500 --> 00:00:08.900]  我哋睇一睇
[00:00:08.900 --> 00:00:10.200]  喺神嘅裏面
[00:00:10.200 --> 00:00:12.500]  聖經裏面有咩說話同我哋講呢
[00:00:12.500 --> 00:00:14.000]  我哋先睇一節
[00:00:14.000 --> 00:00:16.200]  有兩節嘅經文先
[00:00:16.200 --> 00:00:17.800]  咁我哋一齊讀
[00:00:17.800 --> 00:00:19.200]  預備 1 2 3
[00:00:19.200 --> 00:00:22.100]  你們祈求就給你們
[00:00:22.100 --> 00:00:24.200]  尋找就尋見
[00:00:24.200 --> 00:00:27.100]  叩門就給你們開門
[00:00:27.100 --> 00:00:30.400]  因為凡祈求的就得著
[00:00:30.400 --> 00:00:32.900]  尋找的就尋見
[00:00:32.900 --> 00:00:37.300]  叩門的就給他開門
[00:00:37.300 --> 00:00:40.200]  呢兩隻經文呢
[00:00:40.200 --> 00:00:42.500]  我相信如果你返到教會一段時間內
[00:00:42.500 --> 00:00:43.700]  應該唔係第一次
[00:00:43.700 --> 00:00:45.300]  唔係第一次讀呢段經文
[00:00:45.300 --> 00:00:46.500]  或者睇呢段經文
[00:00:46.500 --> 00:00:47.100]  呢段經文呢
[00:00:47.100 --> 00:00:49.400]  其實可能大家已經睇過好多次
[00:00:49.400 --> 00:00:50.000]  呢段經文呢
[00:00:50.000 --> 00:00:51.800]  其實喺瑪利福音裏面
[00:00:51.800 --> 00:00:53.600]  係耶穌喺登山補訓裏面
[00:00:53.600 --> 00:00:55.300]  由第五章開始一路講
[00:00:55.300 --> 00:00:57.300]  講到第七章嘅時候呢
[00:00:57.300 --> 00:00:59.300]  差唔多盲尾嘅時候
[00:00:59.300 --> 00:01:01.400]  佢去提醒啲門徒
[00:01:01.400 --> 00:01:02.300]  即係呢
[00:01:02.300 --> 00:01:03.600]  原來道理呢
[00:01:03.600 --> 00:01:05.500]  我哋個個都知
[00:01:05.500 --> 00:01:07.200]  但係做唔做得到呢
[00:01:07.200 --> 00:01:09.300]  就唔係咁容易嘅
[00:01:09.300 --> 00:01:12.200]  當你做唔到嘅時候點樣呢
[00:01:12.200 --> 00:01:15.100]  就要叩門囉
[00:01:15.100 --> 00:01:16.000]  好似如果今
[00:01:16.000 --> 00:01:17.500]  即係今年
[00:01:17.500 --> 00:01:19.200]  星宗訪訪係咪
[00:01:19.200 --> 00:01:20.800]  初定呢個
[00:01:20.800 --> 00:01:22.500]  如果你發覺唔理想嘅時候
[00:01:22.500 --> 00:01:24.300]  你就要叩門囉
[00:01:24.300 --> 00:01:26.100]  要叩門至可以
[00:01:26.100 --> 00:01:29.100]  即係搵到一個心儀嘅學校
[00:01:29.100 --> 00:01:30.200]  同樣我哋發覺
[00:01:30.200 --> 00:01:31.700]  我哋有陣時聽得太多啦
[00:01:31.700 --> 00:01:33.600]  知得太多啦
[00:01:33.600 --> 00:01:35.200]  但係點樣做做唔到嘛
[00:01:35.200 --> 00:01:36.600]  點樣算呢
[00:01:36.600 --> 00:01:37.900]  可能我哋就要
[00:01:37.900 --> 00:01:39.000]  叩門
[00:01:39.000 --> 00:01:41.600]  我哋就要返到神嘅面前呢
[00:01:41.600 --> 00:01:42.800]  嚟到同神講
[00:01:42.800 --> 00:01:44.900]  有啲嘢我哋真係做唔到
[00:01:44.900 --> 00:01:46.800]  求主幫助我哋
[00:01:46.800 --> 00:01:49.800]  求主俾我哋有力量
[00:01:49.800 --> 00:01:51.100]  呢個係主耶穌呢
[00:01:51.100 --> 00:01:52.800]  佢同啲門徒講嘅
[00:01:52.800 --> 00:01:55.400]  去鼓勵啲門徒
[00:01:55.400 --> 00:01:58.400]  我哋就要返返去神嘅面前
[00:01:58.400 --> 00:02:00.900]  承認我哋真係做唔到有啲嘢
[00:02:00.900 --> 00:02:03.500]  我哋呼求佢 禱告佢
[00:02:03.500 --> 00:02:05.300]  所以今日嗰個講題就正如
[00:02:05.300 --> 00:02:07.600]  淨係話阿牧師嘅介紹一樣
[00:02:07.600 --> 00:02:09.600]  我哋就係要去呼求神
[00:02:09.600 --> 00:02:11.600]  尋求神嘅話
[00:02:11.600 --> 00:02:15.000]  因為出於神嘅話係點樣啊
[00:02:15.000 --> 00:02:17.100]  沒有一句
[00:02:17.100 --> 00:02:19.500]  不大能力的
[00:02:19.500 --> 00:02:22.600]  讓我哋一齊同心去禱告
[00:02:22.600 --> 00:02:24.600]  最後今日呢我哋眾鼎姐妹
[00:02:24.600 --> 00:02:27.400]  就嚟到你私人嘅寶座前
[00:02:27.400 --> 00:02:29.200]  我哋要得你嘅廉恤
[00:02:29.200 --> 00:02:30.900]  蒙你嘅恩惠
[00:02:30.900 --> 00:02:33.200]  我哋要呼求你 禱告你
[00:02:33.200 --> 00:02:35.500]  我哋更加要尋求你嘅話
[00:02:35.500 --> 00:02:37.700]  喺你嘅話語當中
[00:02:37.700 --> 00:02:39.100]  得著應許
[00:02:39.100 --> 00:02:40.700]  得著確具
[00:02:40.700 --> 00:02:42.700]  得著能力
[00:02:42.700 --> 00:02:44.600]  叫我哋可以
[00:02:44.600 --> 00:02:46.600]  恆順前行
[00:02:46.600 --> 00:02:48.500]  主求你幫助我哋
[00:02:48.500 --> 00:02:49.300]  真理嘅聖靈啊
[00:02:49.300 --> 00:02:52.300]  我哋喺呢個時候都同你嚟到呼求你
[00:02:52.300 --> 00:02:54.800]  求你親自嚟到喺我哋眾
[00:02:54.800 --> 00:02:56.700]  肢體嘅當中嚟到去運行
[00:02:56.700 --> 00:02:58.100]  嚟到作供
[00:02:58.100 --> 00:02:59.800]  讓我哋每一個
[00:02:59.800 --> 00:03:01.700]  嚟到神面前嘅人
[00:03:01.700 --> 00:03:04.100]  我哋都能夠得著神嘅話
[00:03:04.100 --> 00:03:05.900]  得著生命嘅諒
[00:03:05.900 --> 00:03:06.900]  聖靈啊
[00:03:06.900 --> 00:03:08.700]  我哋仰望你 呼求你
[00:03:08.700 --> 00:03:09.700]  等候你
