
[00:00:00.000 --> 00:00:06.840]  那麼出埃及記 讓我很快地跟各位回憶一下 爲什麼會有這回事呢
[00:00:06.840 --> 00:00:15.960]  他是因爲大約在祖前大概1440年前
[00:00:15.960 --> 00:00:21.680]  因爲之前這個約瑟被賣到埃及
[00:00:21.680 --> 00:00:24.720]  然後才成爲埃及的宰相
[00:00:24.720 --> 00:00:32.200]  後來他的爸爸雅各還有全家70個人遇到了饑荒
[00:00:32.200 --> 00:00:38.040]  聽說埃及有糧 所以大家都來投奔埃及那裏
[00:00:38.040 --> 00:00:40.640]  就跟約瑟團圓
[00:00:40.640 --> 00:00:44.640]  哇 那麼所以他們就在那邊待下來了
[00:00:44.640 --> 00:00:48.160]  一待 待了400多年
[00:00:48.160 --> 00:00:52.560]  您知道嗎 當時的70個人
[00:00:52.560 --> 00:00:56.720]  當他們出埃及的時候 你相信會有多少人嗎
[00:00:56.720 --> 00:01:00.680]  數百萬 這個很有意思
[00:01:00.680 --> 00:01:02.680]  因爲你要這樣子算
[00:01:02.680 --> 00:01:05.480]  總共有1440年
[00:01:05.480 --> 00:01:10.440]  因爲在歷代記上面說
[00:01:10.440 --> 00:01:17.080]  他是說當所羅門王做以色列王的第四年後的480年
[00:01:17.080 --> 00:01:22.680]  所羅門王做以色列王的第四年是966 再加484
[00:01:22.680 --> 00:01:28.160]  所以是1446年那個時候
[00:01:28.160 --> 00:01:30.320]  但是不管怎麼樣
[00:01:30.320 --> 00:01:33.280]  70個人如果經過了400多年
[00:01:33.280 --> 00:01:36.120]  爲了好算的話 420年好吧
[00:01:36.120 --> 00:01:39.040]  一般我們講說30年一個generation
[00:01:39.040 --> 00:01:41.000]  30年一代
[00:01:41.000 --> 00:01:45.760]  30年基本上你的人口就翻一倍
[00:01:45.760 --> 00:01:49.320]  譬如說我在30歲的時候我差不多也有了
[00:01:49.320 --> 00:01:51.760]  我家一共有四個人
[00:01:51.760 --> 00:01:53.560]  兩個小孩兩個大人嘛
[00:01:53.560 --> 00:01:56.040]  當然過了一段時間大人也會走嘛
[00:01:56.040 --> 00:01:58.320]  但是不管 一般我們算是
[00:01:58.320 --> 00:02:02.560]  一個generation30年 人會翻一倍
[00:02:02.560 --> 00:02:05.600]  正常的是這樣 自然是這個樣
[00:02:05.600 --> 00:02:09.240]  所以總共要翻了14倍
[00:02:09.240 --> 00:02:12.760]  所以70乘上2的14次方
[00:02:12.760 --> 00:02:14.560]  差不多是七百萬人
[00:02:14.560 --> 00:02:20.760]  所以他們在埃及過了400多年的時候
[00:02:20.760 --> 00:02:24.680]  後來的王啊 不認識於是
[00:02:24.680 --> 00:02:28.800]  他們把以色列人呢 就是法老王
[00:02:28.800 --> 00:02:34.000]  他把後來的以色列人看他們長得這麼壯大
[00:02:34.000 --> 00:02:37.080]  就愈發的苦待他們
[00:02:37.080 --> 00:02:38.600]  就把他們當做奴隸
[00:02:38.600 --> 00:02:40.880]  就把他們壯大起來
[00:02:40.880 --> 00:02:45.680]  會迫害到埃及人
[00:02:45.680 --> 00:02:49.360]  所以摩西神就呼召他
[00:02:49.360 --> 00:02:54.120]  因爲以色列人向神呼求
