
[00:00:00.000 --> 00:00:01.400]  讓我們先有個禱告
[00:00:01.400 --> 00:00:03.000]  將我們的心加在主的面前
[00:00:03.000 --> 00:00:05.040]  神父我們感謝祢
[00:00:05.040 --> 00:00:09.000]  今天讓我們能夠去到主的聖殿當中
[00:00:09.000 --> 00:00:10.600]  去聽上帝的話語
[00:00:10.600 --> 00:00:13.400]  求聖靈在當中向我們工作
[00:00:13.400 --> 00:00:14.200]  幫助我們
[00:00:14.200 --> 00:00:16.800]  以致我們今天透過神的話語
[00:00:16.800 --> 00:00:18.400]  都能夠解開我們的心
[00:00:18.400 --> 00:00:21.000]  讓我們能夠見到主的而且確
[00:00:21.000 --> 00:00:22.400]  千真萬確
[00:00:22.400 --> 00:00:25.000]  切切實實地已經復活
[00:00:25.000 --> 00:00:27.800]  但最重要的是我們要問這個問題
[00:00:27.800 --> 00:00:30.000]  是復活的主在哪裏呢?
[00:00:30.000 --> 00:00:33.000]  是在聖經的字裡行間
[00:00:33.000 --> 00:00:34.800]  在天上
[00:00:34.800 --> 00:00:36.400]  還是在哪裏呢?
[00:00:36.400 --> 00:00:40.600]  求主祢透過孩子今天的講道
[00:00:40.600 --> 00:00:42.800]  成為神使用的工具
[00:00:42.800 --> 00:00:44.000]  幫助我們
[00:00:44.000 --> 00:00:45.600]  都能夠更深明白
[00:00:45.600 --> 00:00:47.800]  復活主的意義
[00:00:47.800 --> 00:00:50.000]  我們祈禱奉耶穌基督名求
[00:00:50.000 --> 00:00:50.800]  阿門
[00:00:50.800 --> 00:00:53.600]  復活的主在哪裏呢?
[00:00:53.600 --> 00:00:57.600]  復活的主現在在哪裏呢?
[00:00:58.200 --> 00:01:00.000]  剛才我們的師班
[00:01:00.000 --> 00:01:00.800]  在詩歌裏面
[00:01:00.800 --> 00:01:02.400]  其實都給了我們一個提示
[00:01:02.400 --> 00:01:03.800]  最後一句話
[00:01:03.800 --> 00:01:06.000]  「你問我怎知主活著」
[00:01:06.000 --> 00:01:09.200]  因主活在哪裏呢?
[00:01:09.200 --> 00:01:10.600]  我心
[00:01:10.600 --> 00:01:14.400]  耶穌基督是否活在你的心裏面呢?
[00:01:14.400 --> 00:01:17.600]  你是否從心裏面都體會到
[00:01:17.600 --> 00:01:20.200]  是千真萬確在你的心靈裏面呢?
[00:01:20.200 --> 00:01:23.000]  我們進入今天的經文之前
[00:01:23.000 --> 00:01:24.400]  我們先看樣弘福音
[00:01:24.400 --> 00:01:26.400]  在樣弘福音的第一章
[00:01:27.200 --> 00:01:30.000]  將上帝的道和耶穌基督的關係
[00:01:30.000 --> 00:01:33.600]  給了我們一個很微妙的連結
[00:01:33.600 --> 00:01:56.600]  我們看見上帝怎樣創造這個世界
[00:01:57.400 --> 00:02:00.200]  我們的沙真神就是用祂的話語
[00:02:00.200 --> 00:02:01.400]  去創造這個世界
[00:02:01.400 --> 00:02:03.000]  在《創世紀》裏面說
[00:02:03.000 --> 00:02:04.600]  要有光
[00:02:04.600 --> 00:02:06.200]  上帝說要有光就有光
[00:02:06.200 --> 00:02:08.600]  諸水之間有空氣
[00:02:08.600 --> 00:02:10.200]  將水分為上下
[00:02:10.200 --> 00:02:13.400]  神說天下的水要聚在一處
[00:02:13.400 --> 00:02:14.800]  使旱地道出來
[00:02:14.800 --> 00:02:16.600]  事就這樣成了
[00:02:16.600 --> 00:02:18.000]  所以我們見到
[00:02:18.000 --> 00:02:20.200]  三一的神、聖父、聖子、聖靈
[00:02:20.200 --> 00:02:21.800]  就是透過神的道
[00:02:21.800 --> 00:02:23.200]  上帝的話語
[00:02:23.200 --> 00:02:24.600]  去創造這個世界
[00:02:27.200 --> 00:02:29.000]  所以我們見到在萬物當中
[00:02:29.000 --> 00:02:31.200]  都蘊藏著上帝的道
[00:02:31.200 --> 00:02:33.400]  神的奧秘、神的智慧
[00:02:33.400 --> 00:02:36.000]  在早堂我叫大家看一隻手
[00:02:36.000 --> 00:02:37.800]  手的構造很複雜
[00:02:37.800 --> 00:02:39.800]  有血管、有神經線、有皮膚
[00:02:39.800 --> 00:02:42.200]  如果你讀過《深海之道》裏面
[00:02:42.200 --> 00:02:43.200]  很複雜的構造
[00:02:43.200 --> 00:02:44.000]  連今天
[00:02:44.000 --> 00:02:47.400]  科學家都不能夠再將一隻手複製出來
[00:02:47.400 --> 00:02:49.200]  剛才我站在這裏聽
[00:02:49.200 --> 00:02:50.800]  聽斑唱詩歌的時候
[00:02:50.800 --> 00:02:52.400]  我聞到一些花香
[00:02:52.400 --> 00:02:53.800]  為甚麼呢
[00:02:53.800 --> 00:02:55.200]  因為有些百合花在這裏
[00:02:55.200 --> 00:02:56.800]  看那些花的時候
