
[00:00:00.000 --> 00:00:01.680]  各位電影師姐妹,大家平安
[00:00:01.680 --> 00:00:05.080]  《巴別城,巴別塔》
[00:00:05.080 --> 00:00:06.600]  今天的題目
[00:00:06.600 --> 00:00:10.960]  這個故事就是《巴別的故事》
[00:00:10.960 --> 00:00:14.400]  「巴別」不要搞「巴別的故事」
[00:00:14.400 --> 00:00:15.720]  「巴別的故事」
[00:00:15.720 --> 00:00:18.720]  《生命說書》的網絡會跟大家一起
[00:00:18.720 --> 00:00:19.920]  讀一點《聖經》
[00:00:19.920 --> 00:00:21.280]  靈修一下
[00:00:21.280 --> 00:00:23.360]  增進一下《聖經》知識
[00:00:23.360 --> 00:00:25.200]  《聖經人》《聖經事》
[00:00:25.200 --> 00:00:27.160]  講裡面的人和故事
[00:00:27.160 --> 00:00:29.400]  這次是《巴別城》
[00:00:29.400 --> 00:00:30.480]  《巴別塔》
[00:00:30.480 --> 00:00:33.280]  我們多數都是講《巴別塔》的
[00:00:33.280 --> 00:00:34.600]  其實沒有留意到
[00:00:34.600 --> 00:00:36.080]  其實他們是先建一個城
[00:00:36.080 --> 00:00:37.480]  然後建《巴別塔》的
[00:00:37.480 --> 00:00:38.280]  好了
[00:00:38.280 --> 00:00:39.320]  看一下
[00:00:39.320 --> 00:00:41.080]  《創世紀第十一章》
[00:00:41.080 --> 00:00:46.080]  那時天下的人口音言語都是一樣
[00:00:46.080 --> 00:00:48.880]  他們往東邊遷移的時候
[00:00:48.880 --> 00:00:51.800]  在視那地就遇見一片平原
[00:00:51.800 --> 00:00:53.760]  就住在那裡
[00:00:53.760 --> 00:00:55.680]  跟大家馬上看
[00:00:55.680 --> 00:01:00.840]  「那時」即是說羅亞的後裔一直下來
[00:01:00.840 --> 00:01:02.200]  他有三個兒子
[00:01:02.200 --> 00:01:05.200]  「閃」、「含」和「瓦忽」三個兒子
[00:01:05.200 --> 00:01:09.800]  其實如果照後來看
[00:01:09.800 --> 00:01:12.840]  他們羅亞三個兒子
[00:01:12.840 --> 00:01:15.160]  很可能是帶領著他的族人
[00:01:15.160 --> 00:01:18.880]  去了三個不同地上的大洲
[00:01:18.880 --> 00:01:22.640]  「閃」就是我們的祖先
[00:01:22.640 --> 00:01:26.480]  向東方走了「閃」做後裔
[00:01:26.480 --> 00:01:31.040]  而「含」就是向非洲那邊走了
[00:01:31.040 --> 00:01:34.040]  「含」的意思是「熱」
[00:01:34.040 --> 00:01:36.880]  「閃」就是「明智」
[00:01:36.880 --> 00:01:39.160]  第三個兒子「瓦忽」
[00:01:39.160 --> 00:01:43.160]  猜測他是向著歐洲那邊去
[00:01:43.160 --> 00:01:44.440]  整個歐洲的聚集園區
[00:01:44.440 --> 00:01:47.960]  「瓦忽」就是「打開」
[00:01:47.960 --> 00:01:50.240]  「打開」是open的意思
[00:01:50.240 --> 00:01:51.760]  三個兒子
[00:01:51.760 --> 00:01:57.240]  但其實他們應該照今天十一章聖經看
[00:01:57.240 --> 00:01:59.920]  羅亞和他的三個兒子出來後
[00:01:59.920 --> 00:02:02.560]  他們並沒有馬上分開
[00:02:02.560 --> 00:02:07.280]  昨天那段我跟大家說
[00:02:07.280 --> 00:02:10.840]  叫他們「羅亞,我祝福你和你的兒子」
[00:02:10.840 --> 00:02:14.120]  「你要生養眾多,又遍滿全地」
[00:02:14.120 --> 00:02:16.880]  好像「我想亞當」那樣
[00:02:16.880 --> 00:02:19.080]  不過可惜他失敗了
[00:02:19.080 --> 00:02:21.480]  用洪水毀滅了世界
[00:02:21.480 --> 00:02:25.320]  「現在你和我再生養眾多,又遍滿全地」
[00:02:25.320 --> 00:02:28.720]  「我給你所有生物都怕你」
[00:02:28.720 --> 00:02:31.840]  「然後你還可以吃肉」
[00:02:31.840 --> 00:02:33.120]  「不過我不可以吃血」
[00:02:33.120 --> 00:02:34.480]  全部都告訴他
[00:02:34.480 --> 00:02:39.040]  不過他們似乎當時出來後
[00:02:39.040 --> 00:02:41.440]  並沒有馬上分開
[00:02:41.440 --> 00:02:45.040]  馬上「拜拜了,哥哥,弟弟,爸爸」
[00:02:45.040 --> 00:02:47.560]  而是聚在一起
[00:02:47.560 --> 00:02:52.560]  其實聚在一起都是自然的
[00:02:52.560 --> 00:02:56.400]  一家人經歷過方舟
[00:02:56.400 --> 00:03:00.200]  那麼久跟動物一起,哪裏想分開呢?
[00:03:00.200 --> 00:03:02.480]  於是大家就一起了
[00:03:02.480 --> 00:03:06.080]  「那時天下人的口音言語都是一樣」
[00:03:06.080 --> 00:03:09.760]  當然一樣,因為他們都是一家人
[00:03:09.760 --> 00:03:13.960]  於是教他的小孩也是教相同的語言
[00:03:13.960 --> 00:03:17.600]  都是一樣的,是自然的
[00:03:17.600 --> 00:03:20.960]  不過聖經講得很仔細
[00:03:20.960 --> 00:03:24.520]  「口音與言語都是一樣」
[00:03:24.520 --> 00:03:28.800]  我們言語一樣,但是口音不一樣
[00:03:28.800 --> 00:03:31.120]  我們香港人
[00:03:31.120 --> 00:03:34.400]  你或者如果你是香港人
[00:03:34.400 --> 00:03:36.960]  你會覺得我們香港話
[00:03:36.960 --> 00:03:42.200]  香港的「話」即是粵語
[00:03:42.200 --> 00:03:49.000]  我們講粵語是最準的
[00:03:49.000 --> 00:03:51.280]  很多新來港人士
[00:03:51.280 --> 00:03:56.680]  他們都可以一兩年之後學了我們講粵語
[00:03:56.680 --> 00:04:01.600]  不過他們的粵語口音真的不行
[00:04:01.600 --> 00:04:03.760]  其實話說回來
[00:04:03.760 --> 00:04:07.400]  我們有時聽中國電台
[00:04:07.400 --> 00:04:09.800]  我們看一些視頻
[00:04:09.800 --> 00:04:15.120]  覺得國內廣州的口音都不行
[00:04:15.120 --> 00:04:18.240]  雖然大家粵語都是廣東話
[00:04:18.240 --> 00:04:22.680]  不過我們才準的,自我中心
[00:04:22.680 --> 00:04:29.840]  其實粵語,真正粵語其實叫廣州話
[00:04:29.840 --> 00:04:32.440]  廣州話是哪裏為準?
[00:04:32.440 --> 00:04:35.040]  當然是廣州為準
[00:04:35.040 --> 00:04:39.840]  所以你見到廣州的粵語跟我們有少少不同
[00:04:39.840 --> 00:04:47.680]  我們會覺得它不準,但其實它是準的
[00:04:47.680 --> 00:04:53.040]  因為廣州話它本身by definition是準的
[00:04:53.040 --> 00:04:56.440]  他們的口音語言都一樣
[00:04:56.440 --> 00:04:58.440]  更加聚在一起
[00:04:58.440 --> 00:05:02.680]  「他們往東遷移的時候是他們」
[00:05:02.680 --> 00:05:07.120]  「一起向東邊行」
[00:05:07.120 --> 00:05:09.040]  他們在哪裏出來的呢?
[00:05:09.040 --> 00:05:12.400]  他們的廣州停在阿拉納山
[00:05:12.400 --> 00:05:16.480]  阿拉納山即是現在在土耳其
[00:05:16.480 --> 00:05:19.240]  他們在那裏出來,土耳其是很重要的地方
