
[00:00:00.000 --> 00:00:02.960]  大家手裏面是有經文的
[00:00:02.960 --> 00:00:06.980]  我們說了很久都要說到頭六節
[00:00:06.980 --> 00:00:08.880]  因為啟示錄實在
[00:00:08.880 --> 00:00:12.120]  它裏面有很多很多的東西很豐富
[00:00:12.120 --> 00:00:16.060]  啟示錄這本書的文體很有趣
[00:00:16.060 --> 00:00:17.680]  它不是一個故事
[00:00:17.680 --> 00:00:20.540]  故事有很多東西你講完之後不用解釋的
[00:00:20.540 --> 00:00:21.580]  是一些背景而已
[00:00:21.580 --> 00:00:23.980]  是《路人甲》、《路人乙》而已
[00:00:23.980 --> 00:00:27.560]  但現在去到這個預言的東西
[00:00:27.560 --> 00:00:28.440]  就很不同了
[00:00:28.440 --> 00:00:29.920]  有很多東西不解釋
[00:00:29.920 --> 00:00:31.740]  真的不知道它想講甚麼
[00:00:31.740 --> 00:00:35.420]  還有它除了是一個啟示文學
[00:00:35.420 --> 00:00:38.280]  是一個預言的一種文學
[00:00:38.280 --> 00:00:40.520]  它還有一種是一種書信的文學
[00:00:40.520 --> 00:00:42.120]  甚麼叫書信的文學呢
[00:00:42.120 --> 00:00:46.440]  就是好像寫信給一個群體
[00:00:46.440 --> 00:00:49.500]  通常當你寫一封信給一個群體的時候
[00:00:49.500 --> 00:00:51.260]  就好像我們《聖經》裏面
[00:00:51.260 --> 00:00:53.420]  新約有很多叫保羅書信
[00:00:53.420 --> 00:00:55.640]  或者那些叫普通書信
[00:00:55.640 --> 00:01:00.900]  希伯來書、亞國書、彼得前後書
[00:01:00.900 --> 00:01:02.620]  和十幾封的保羅書信
[00:01:02.620 --> 00:01:05.280]  那一類的文體
[00:01:05.280 --> 00:01:10.080]  往往裏面有很多的教導、教義性的
[00:01:10.080 --> 00:01:15.300]  變成是很多東西要和大家分享的
[00:01:15.300 --> 00:01:19.180]  我們之前都講過三次
[00:01:19.180 --> 00:01:22.580]  所以今天在這個五堂我叫做啟示錄四
[00:01:22.580 --> 00:01:26.200]  但最可惜是在二月十號如果我沒有記錯的日子
[00:01:26.200 --> 00:01:30.060]  因為二月十號那個主日早五堂都錄不到音
[00:01:30.060 --> 00:01:35.000]  變了我就沒辦法聽自己講到哪裏完
[00:01:35.000 --> 00:01:36.340]  不過不要緊
[00:01:36.340 --> 00:01:38.640]  我今天就由這裏開始
[00:01:38.640 --> 00:01:41.920]  由第四節開始
[00:01:41.920 --> 00:01:43.780]  所以現在就要打這個
[00:01:43.780 --> 00:01:45.620]  這個對了 定了在這裏
[00:01:45.620 --> 00:01:49.840]  第四、第五節其實裏面是有很多很多很豐富的信息
[00:01:49.840 --> 00:01:56.180]  不過我是想特別的去指出一樣很重要的信息給大家
[00:01:56.180 --> 00:01:57.760]  在這個經文裏面
[00:01:57.760 --> 00:01:59.380]  我在這裏讀給大家看這個經文
[00:01:59.380 --> 00:02:02.640]  約翰寫信給亞西亞的七個教會
[00:02:02.640 --> 00:02:04.900]  我有沒有和你們講過這件事
[00:02:04.900 --> 00:02:06.580]  還沒有 OK 還沒有就對了
[00:02:06.580 --> 00:02:10.480]  約翰是寫信給亞西亞的七個教會
[00:02:10.480 --> 00:02:13.780]  亞西亞就不是我們今天所講的Asia
[00:02:13.780 --> 00:02:15.700]  今天所講的Asia就是甚麼
[00:02:15.700 --> 00:02:19.820]  就是日本、中國、越南、馬來西亞、新加坡這類叫Asia
[00:02:19.820 --> 00:02:21.820]  但是當時的亞西亞
[00:02:21.820 --> 00:02:22.820]  如果以今天來說
[00:02:22.820 --> 00:02:25.000]  我們叫做小亞西亞
[00:02:25.000 --> 00:02:28.540]  其實就是今時今日大約是土耳其的地方
[00:02:28.540 --> 00:02:30.200]  是土耳其的地方
[00:02:30.200 --> 00:02:33.340]  在那裏就有七個不同的教會
[00:02:33.340 --> 00:02:35.180]  由最初的以弗所講
[00:02:35.180 --> 00:02:36.320]  接著就是善美娜
[00:02:36.320 --> 00:02:39.740]  一直講到最後那個叫魯迪加的教會
[00:02:39.740 --> 00:02:42.520]  這七個教會
[00:02:42.520 --> 00:02:46.200]  將會在第二章和第三章
[00:02:46.200 --> 00:02:47.740]  啟示會的第二章、第三章
[00:02:47.740 --> 00:02:49.380]  就逐個教會去講
[00:02:49.380 --> 00:02:51.740]  嘩 好豐富
[00:02:51.740 --> 00:02:54.180]  我想如果講完這個啟示錄第一章
[00:02:54.180 --> 00:02:56.180]  接著第二、第三章
[00:02:56.180 --> 00:03:00.300]  都應該起碼要兩年左右的時間
