
[00:00:00.000 --> 00:00:03.000]  各位親愛的姊妹讓我們先聽神的禱語 讓我們同心禱告
[00:00:03.000 --> 00:00:07.000]  請姊妹讓我們聽神禱之前先禱告
[00:00:07.000 --> 00:00:13.000]  父神多謝你讓我們回到主日的崇拜裏面 一起仰望 一起學習
[00:00:13.000 --> 00:00:18.000]  求主你繼續幫助我們 使我們隨著你的聖靈引導
[00:00:18.000 --> 00:00:24.000]  學會怎樣真是全心全意 全然毀身在上帝的教訓當中
[00:00:24.000 --> 00:00:29.000]  並且信服在上帝你為我們人生上每一個獨特的設計
[00:00:29.000 --> 00:00:32.000]  為一個獨特的鋪排
[00:00:32.000 --> 00:00:37.000]  好想我們都能夠深深明白 怎樣預祝你同行那份甜美
[00:00:37.000 --> 00:00:40.000]  多謝你給我們這段寶貴的時間和空間
[00:00:40.000 --> 00:00:44.000]  我們親愛的天父 給我們能夠有機會
[00:00:44.000 --> 00:00:50.000]  再次能夠透過讀你的話語 來到學習
[00:00:50.000 --> 00:00:55.000]  怎樣跟隨主你的步履 來到走前面我們人生的道路
[00:00:55.000 --> 00:01:04.000]  求你的聖靈幫助我們 使我們能夠完全前沿毀身在主你的教訓的裏面
[00:01:04.000 --> 00:01:09.000]  你特別的為我們的設計 為我們人生的路怎樣的鋪排
[00:01:09.000 --> 00:01:16.000]  縱然每一個過程 並不一定是我們自己所意願 自己所喜歡的事情
[00:01:16.000 --> 00:01:20.000]  但是讓我們帶著寬心 來到跟著你走
[00:01:20.000 --> 00:01:24.000]  因為這就是我們生命最喜樂的時間
[00:01:24.000 --> 00:01:28.000]  我們再次把這段聽到的時間恭敬教授
[00:01:28.000 --> 00:01:32.000]  求你幫助我們 讓我們生命得到改變
[00:01:32.000 --> 00:01:36.000]  我們禱告跟著主耶穌的名字 阿們
[00:01:36.000 --> 00:01:41.000]  不知道弟兄姊妹覺得苦難是一件什麼事情
[00:01:41.000 --> 00:01:44.000]  不知道弟兄姊妹覺得苦難是一個什麼樣的事情
[00:01:44.000 --> 00:01:50.000]  我就近這幾年多了去看西醫
[00:01:50.000 --> 00:01:53.000]  在最近幾年我經常去看西醫
[00:01:53.000 --> 00:01:58.000]  我其實不喜歡看西醫 因為大部份我的病西醫都醫不了
[00:01:58.000 --> 00:02:03.000]  其實我不喜歡去看西醫 大部份的病西醫都看不好
[00:02:03.000 --> 00:02:12.000]  但是沒辦法 現在人真的到五十歲 你就知道很多機器開始壞了
[00:02:12.000 --> 00:02:15.000]  人一到五十歲很多機器就開始壞了
[00:02:15.000 --> 00:02:18.000]  那我就經常去看醫生
[00:02:18.000 --> 00:02:20.000]  現在經常去看醫生
[00:02:20.000 --> 00:02:23.000]  每次都跟醫生說
[00:02:23.000 --> 00:02:25.000]  每次跟醫生都會這樣說
[00:02:25.000 --> 00:02:26.000]  這裡痛
[00:02:26.000 --> 00:02:27.000]  我這裡疼
[00:02:27.000 --> 00:02:30.000]  其實我經常心口覺得很痛
[00:02:30.000 --> 00:02:32.000]  經常覺得心口很痛
[00:02:32.000 --> 00:02:36.000]  我就試過很多次都去醫生那裡看醫生
[00:02:36.000 --> 00:02:38.000]  很多次去看醫生
[00:02:38.000 --> 00:02:42.000]  其實有一件事我連我父母都沒說過給他們聽
[00:02:42.000 --> 00:02:45.000]  不過看醫生沒辦法不說給醫生聽
[00:02:45.000 --> 00:02:47.000]  很多事情都沒有跟父母說
[00:02:47.000 --> 00:02:49.000]  但是跟醫生肯定有說的
[00:02:49.000 --> 00:02:51.000]  以前我小時候
[00:02:51.000 --> 00:02:55.000]  曾經被一條大的鐵柱打在心口
[00:02:55.000 --> 00:02:57.000]  我沒說過給我父母聽
[00:02:57.000 --> 00:03:02.000]  在我很小的時候曾經有一個鐵的棍子打在胸口上
[00:03:02.000 --> 00:03:05.000]  不是棍子 是鐵柱
[00:03:05.000 --> 00:03:09.000]  之後我痛了半年 很痛
[00:03:09.000 --> 00:03:11.000]  經常呼吸不了
[00:03:11.000 --> 00:03:13.000]  經常疼了大概有大半年
[00:03:13.000 --> 00:03:15.000]  經常呼吸不起來
[00:03:15.000 --> 00:03:16.000]  因為我知道告訴父母聽
[00:03:16.000 --> 00:03:19.000]  他們肯定會打我一頓
[00:03:19.000 --> 00:03:20.000]  如果告訴我的父母
[00:03:20.000 --> 00:03:22.000]  他們肯定會罵我的
[00:03:22.000 --> 00:03:24.000]  所以後來長大了
[00:03:24.000 --> 00:03:26.000]  不是很痛
[00:03:26.000 --> 00:03:30.000]  我就漸漸不覺得很大痛
[00:03:30.000 --> 00:03:31.000]  漸漸覺得不痛了
[00:03:31.000 --> 00:03:32.000]  也沒當回事
[00:03:32.000 --> 00:03:35.000]  直到去年做完手術
[00:03:35.000 --> 00:03:36.000]  又是那個位置
[00:03:36.000 --> 00:03:38.000]  又弄一弄
[00:03:38.000 --> 00:03:39.000]  又真的很痛
[00:03:39.000 --> 00:03:42.000]  直到去年做一個手術之後
[00:03:42.000 --> 00:03:43.000]  疼痛了又回來了
[00:03:43.000 --> 00:03:45.000]  所以我就去看醫生
[00:03:45.000 --> 00:03:47.000]  我就告訴醫生
[00:03:47.000 --> 00:03:49.000]  這些情況和背景
[00:03:49.000 --> 00:03:52.000]  醫生就這樣跟我說
[00:03:52.000 --> 00:03:54.000]  將這些背景和情況告訴醫生
[00:03:54.000 --> 00:03:56.000]  醫生就這樣跟我說
[00:03:56.000 --> 00:03:59.000]  躺在床上
[00:03:59.000 --> 00:04:03.000]  去到醫生的診療室
[00:04:03.000 --> 00:04:05.000]  有張床就躺了上去
[00:04:05.000 --> 00:04:07.000]  躺在醫生的診室的床上
[00:04:07.000 --> 00:04:08.000]  他說躺在這裡
[00:04:08.000 --> 00:04:10.000]  我看看哪裡痛
[00:04:10.000 --> 00:04:12.000]  他說看一下哪裡痛
[00:04:12.000 --> 00:04:15.000]  接著大家都知道醫生怎麼驗的了
[00:04:15.000 --> 00:04:17.000]  大家都知道醫生是怎麼去檢查的
[00:04:17.000 --> 00:04:19.000]  就用手這樣插進你的肌肉
[00:04:19.000 --> 00:04:21.000]  就看哪個位置痛
[00:04:21.000 --> 00:04:24.000]  他就用手來插住你的肌肉
[00:04:24.000 --> 00:04:26.000]  他按這裡很大力地按下去
[00:04:26.000 --> 00:04:27.000]  痛不痛
[00:04:27.000 --> 00:04:29.000]  他很大力地去按
[00:04:29.000 --> 00:04:30.000]  問這裡疼不疼
[00:04:30.000 --> 00:04:32.000]  這麼大力當然痛了醫生
[00:04:32.000 --> 00:04:33.000]  他那麼大力地按
[00:04:33.000 --> 00:04:34.000]  當然是疼了
[00:04:34.000 --> 00:04:35.000]  他說不是
[00:04:35.000 --> 00:04:36.000]  不是很大力
[00:04:36.000 --> 00:04:38.000]  他說我沒有用很大勁
[00:04:38.000 --> 00:04:40.000]  接著我說痛了
[00:04:40.000 --> 00:04:41.000]  他說痛
[00:04:41.000 --> 00:04:43.000]  按這裡痛不痛
[00:04:43.000 --> 00:04:44.000]  他要換一個地方
[00:04:44.000 --> 00:04:45.000]  這樣按下去
[00:04:45.000 --> 00:04:47.000]  我說很痛
[00:04:47.000 --> 00:04:48.000]  按下去我覺得很疼
[00:04:48.000 --> 00:04:50.000]  接著醫生說又很痛
[00:04:50.000 --> 00:04:51.000]  他說又很疼
[00:04:51.000 --> 00:04:52.000]  他接著就說
[00:04:52.000 --> 00:04:54.000]  你真是一個容易受傷的男人了
[00:04:54.000 --> 00:04:57.000]  他說你真是一個容易受傷的男人
[00:04:57.000 --> 00:04:59.000]  我說不是容易受傷的醫生
[00:04:59.000 --> 00:05:01.000]  真的很痛
[00:05:01.000 --> 00:05:03.000]  我說不如不要再按了
[00:05:03.000 --> 00:05:04.000]  他說不要再按了
[00:05:04.000 --> 00:05:06.000]  不按怎麼知道哪裡痛
[00:05:06.000 --> 00:05:07.000]  不按怎麼知道哪裡疼
[00:05:07.000 --> 00:05:08.000]  你又要投訴
[00:05:08.000 --> 00:05:10.000]  你又要經常抱怨
[00:05:10.000 --> 00:05:12.000]  現在你又抱怨
[00:05:12.000 --> 00:05:15.000]  但是你又不讓我知道哪裡痛
[00:05:15.000 --> 00:05:16.000]  我怎麼醫你
[00:05:16.000 --> 00:05:18.000]  你又不知道哪裡痛
[00:05:18.000 --> 00:05:19.000]  怎麼不給看
[00:05:19.000 --> 00:05:20.000]  怎麼治療
[00:05:20.000 --> 00:05:21.000]  他一說這句話
[00:05:21.000 --> 00:05:22.000]  我馬上明白了
[00:05:22.000 --> 00:05:23.000]  他一說這句話
[00:05:23.000 --> 00:05:24.000]  我馬上明白了
[00:05:24.000 --> 00:05:25.000]  特別我自己做牧師
[00:05:25.000 --> 00:05:26.000]  更加要明白了
[00:05:26.000 --> 00:05:27.000]  特別是作為牧師
[00:05:27.000 --> 00:05:28.000]  更加應該明白
[00:05:28.000 --> 00:05:29.000]  因為聖經有一句話
[00:05:29.000 --> 00:05:30.000]  聖經有一句話
[00:05:30.000 --> 00:05:32.000]  病人不是病
[00:05:32.000 --> 00:05:34.000]  就不用得著醫生
[00:05:34.000 --> 00:05:36.000]  病人不病的時候
[00:05:36.000 --> 00:05:37.000]  他是用不著醫生
[00:05:37.000 --> 00:05:38.000]  但是醫生來
[00:05:38.000 --> 00:05:40.000]  什麼病才好的
[00:05:40.000 --> 00:05:41.000]  但是醫生一定知道
[00:05:41.000 --> 00:05:43.000]  你怎麼治才好
[00:05:43.000 --> 00:05:45.000]  曾經有一個教會
[00:05:45.000 --> 00:05:46.000]  曾經有這樣一間教會
[00:05:46.000 --> 00:05:48.000]  說我不好
[00:05:48.000 --> 00:05:49.000]  說我不好
[00:05:49.000 --> 00:05:50.000]  說我講完道
[00:05:50.000 --> 00:05:51.000]  說講完道
[00:05:51.000 --> 00:05:52.000]  他說因為你講道
[00:05:52.000 --> 00:05:54.000]  講中了我們一些東西
[00:05:54.000 --> 00:05:55.000]  說你因為講中了我們
[00:05:55.000 --> 00:05:57.000]  一講中了我們教會
[00:05:57.000 --> 00:05:58.000]  個個就投訴了
[00:05:58.000 --> 00:05:59.000]  你一講中了
[00:05:59.000 --> 00:06:01.000]  每個人都要投訴
[00:06:01.000 --> 00:06:02.000]  就投訴給他們的牧師
[00:06:02.000 --> 00:06:04.000]  牧師就來跟我說
[00:06:04.000 --> 00:06:05.000]  就投訴他們的牧師
[00:06:05.000 --> 00:06:06.000]  牧師就找來跟我說
[00:06:06.000 --> 00:06:08.000]  你為什麼要挖我們的瘡疤
[00:06:08.000 --> 00:06:10.000]  說你為什麼要挖我們的瘡疤
[00:06:10.000 --> 00:06:11.000]  我做牧養
[00:06:11.000 --> 00:06:12.000]  不知道你有什麼問題
[00:06:12.000 --> 00:06:13.000]  我怎麼牧養你
[00:06:13.000 --> 00:06:14.000]  他說做牧養
[00:06:14.000 --> 00:06:15.000]  不知道你的問題
[00:06:15.000 --> 00:06:16.000]  怎麼去牧養
[00:06:16.000 --> 00:06:17.000]  如果你請我來講道
[00:06:17.000 --> 00:06:19.000]  只是講一些你喜歡聽的東西
[00:06:19.000 --> 00:06:20.000]  開開心心的
[00:06:20.000 --> 00:06:22.000]  你就不要請我來講了
[00:06:22.000 --> 00:06:23.000]  如果講道
[00:06:23.000 --> 00:06:25.000]  只是講一些開開心心的事情
[00:06:25.000 --> 00:06:26.000]  就不要來講了
[00:06:26.000 --> 00:06:27.000]  作為一個牧者
[00:06:27.000 --> 00:06:28.000]  作為牧者
[00:06:28.000 --> 00:06:30.000]  你知道每一個信徒
[00:06:30.000 --> 00:06:32.000]  或者整間教會
[00:06:32.000 --> 00:06:35.000]  他那個屬靈的問題在哪裡
[00:06:35.000 --> 00:06:36.000]  一定要知道
[00:06:36.000 --> 00:06:37.000]  每一個人會怎麼教會
[00:06:37.000 --> 00:06:38.000]  他的問題在哪裡
[00:06:38.000 --> 00:06:40.000]  我們才可以有效去牧養
[00:06:40.000 --> 00:06:41.000]  才能有效去牧養
[00:06:41.000 --> 00:06:42.000]  如果不是的話
[00:06:42.000 --> 00:06:44.000]  開開心心容易什麼
[00:06:44.000 --> 00:06:45.000]  如果是這樣的話
[00:06:45.000 --> 00:06:47.000]  開開心心都是很容易的
[00:06:47.000 --> 00:06:49.000]  教會多搞一些去旅行就可以了
[00:06:49.000 --> 00:06:50.000]  教會多搞一些旅行
[00:06:50.000 --> 00:06:52.000]  多搞一些同樂日就可以了
[00:06:52.000 --> 00:06:53.000]  一些同樂日
[00:06:53.000 --> 00:06:54.000]  多搞一些飲食
[00:06:54.000 --> 00:06:56.000]  多搞一些飲食
[00:06:56.000 --> 00:06:57.000]  什麼感恩會
[00:06:57.000 --> 00:07:00.000]  他完全不用受苦難的
[00:07:00.000 --> 00:07:01.000]  不用受苦難
[00:07:01.000 --> 00:07:03.000]  不需要有功夫去做的
[00:07:03.000 --> 00:07:04.000]  不用花太多工夫
[00:07:04.000 --> 00:07:05.000]  少部分人
[00:07:05.000 --> 00:07:07.000]  甚至請人去做都可以的
[00:07:07.000 --> 00:07:08.000]  請人去做都可以的
[00:07:08.000 --> 00:07:10.000]  我曾經見過一間教會
[00:07:10.000 --> 00:07:11.000]  曾經見過一間教會
[00:07:11.000 --> 00:07:14.000]  為了使大家弟兄姊妹高興
[00:07:14.000 --> 00:07:15.000]  為了使大家都高興
[00:07:15.000 --> 00:07:21.000]  於是乎在一個大的會議中心
[00:07:21.000 --> 00:07:22.000]  在一個大的會議中心
[00:07:22.000 --> 00:07:26.000]  請人去為他們預備幾百圍酒席
[00:07:26.000 --> 00:07:29.000]  請人為他們預備幾百圍的酒席
[00:07:29.000 --> 00:07:30.000]  如果要是這樣
[00:07:30.000 --> 00:07:32.000]  信徒不用成長的
[00:07:32.000 --> 00:07:34.000]  如果要這樣
[00:07:34.000 --> 00:07:37.000]  信徒成長一定要知道自己的問題所在
[00:07:37.000 --> 00:07:38.000]  如果要成長
[00:07:38.000 --> 00:07:40.000]  一定要知道自己的問題在哪裡
[00:07:40.000 --> 00:07:42.000]  然後我們對症下藥
[00:07:42.000 --> 00:07:43.000]  然後對症下藥
[00:07:43.000 --> 00:07:44.000]  我就因為這樣
[00:07:44.000 --> 00:07:46.000]  被醫生按完按完按完之後
[00:07:46.000 --> 00:07:48.000]  就發覺好像膽子有事
[00:07:48.000 --> 00:07:50.000]  就送了我去醫院
[00:07:50.000 --> 00:07:51.000]  醫生檢查之後
[00:07:51.000 --> 00:07:53.000]  就說你可能膽子有問題
[00:07:53.000 --> 00:07:54.000]  然後就去醫院
[00:07:54.000 --> 00:07:55.000]  都還沒有送進去
[00:07:55.000 --> 00:07:56.000]  我就已經痛了
[00:07:56.000 --> 00:07:58.000]  所以就進了醫院
[00:07:58.000 --> 00:08:00.000]  還沒有去到醫院已經很痛了
[00:08:00.000 --> 00:08:02.000]  醫生就說原來真的是膽子有事
[00:08:02.000 --> 00:08:04.000]  他說真是膽子有問題了
[00:08:04.000 --> 00:08:05.000]  就先醫膽子
[00:08:05.000 --> 00:08:07.000]  就先治療膽子
[00:08:07.000 --> 00:08:09.000]  為什麼我要講這個故事給你聽呢?
[00:08:09.000 --> 00:08:11.000]  為什麼要講這個故事給大家聽呢?
[00:08:11.000 --> 00:08:15.000]  原來上帝在我們生命裏面
[00:08:15.000 --> 00:08:17.000]  上帝在我們的生命裏面
[00:08:17.000 --> 00:08:19.000]  有時有些事情
[00:08:19.000 --> 00:08:21.000]  看起來未必是好事
[00:08:21.000 --> 00:08:23.000]  看起來好像不是好事
