
[00:00:00.000 --> 00:00:07.000]  弟兄姊妹,你們有沒有親人或親愛的人不在柏屎?
[00:00:07.000 --> 00:00:12.000]  有,可能是你們的爸爸媽媽
[00:00:12.000 --> 00:00:16.000]  可能是你們的愛人
[00:00:16.000 --> 00:00:20.000]  又或者可能是你們的子女,你們的孫子
[00:00:20.000 --> 00:00:23.000]  掛念他們嗎?
[00:00:23.000 --> 00:00:27.000]  會,我自己的經歷就是特別
[00:00:27.000 --> 00:00:31.000]  當家人有不適,有病痛,有病的時候
[00:00:31.000 --> 00:00:35.000]  又不能夠即時回去掛念他們
[00:00:35.000 --> 00:00:38.000]  但現在的科技很好
[00:00:38.000 --> 00:00:43.000]  我們打電話就可以即時和他們聯絡
[00:00:43.000 --> 00:00:47.000]  電郵,不過很少,我們通常都是打電話
[00:00:47.000 --> 00:00:52.000]  電話,如果你覺得電話不夠,還可以看視像,看樣子
[00:00:52.000 --> 00:00:58.000]  但在以前的年代,科技沒有那麼發達
[00:00:58.000 --> 00:01:03.000]  那就要靠寫信,你們寫過信了嗎?
[00:01:03.000 --> 00:01:07.000]  寫過,我想很多
[00:01:07.000 --> 00:01:11.000]  除了很年輕的沒有什麼機會寫信之外
[00:01:11.000 --> 00:01:17.000]  不算那些電郵,我想我們很多人都會有寫信的經驗
[00:01:17.000 --> 00:01:22.000]  今天我們看這段聖經,帖撒羅尼加前書
[00:01:22.000 --> 00:01:25.000]  其實它都是一封書信
[00:01:25.000 --> 00:01:31.000]  是保羅寫給當時帖撒羅尼加這個地方教會弟兄姊妹的一封信
[00:01:31.000 --> 00:01:34.000]  為什麼保羅要寫這封信呢?
[00:01:34.000 --> 00:01:39.000]  就是因為當時保羅曾經有連續三個的安息日
[00:01:39.000 --> 00:01:42.000]  在會堂那裡講道
[00:01:42.000 --> 00:01:51.000]  在帖撒羅尼加這個地方的會堂有很多猶太人和希臘人都信了耶穌
[00:01:51.000 --> 00:01:58.000]  但是同樣也惹起了一些猶太人,不信的猶太人
[00:01:58.000 --> 00:02:03.000]  惹起了他們的妒忌,敵意
[00:02:03.000 --> 00:02:06.000]  所以這一群不信的猶太人
[00:02:06.000 --> 00:02:12.000]  煽動其他人要去追殺保羅,逼迫保羅
[00:02:12.000 --> 00:02:16.000]  所以當時教會的弟兄姊妹就為了保羅的安全
[00:02:16.000 --> 00:02:20.000]  就送保羅去到皮利亞另外一個地方
[00:02:20.000 --> 00:02:24.000]  但是那一群反對派繼續追趕他
[00:02:24.000 --> 00:02:28.000]  所以繼續將保羅再送遠一點去到雅典
[00:02:28.000 --> 00:02:34.000]  去到雅典的時候保羅的心很想念帖撒羅尼加教會的弟兄姊妹
[00:02:34.000 --> 00:02:38.000]  這麼多人,這麼大的逼迫,這麼多人反對
[00:02:38.000 --> 00:02:42.000]  這一群剛剛信了耶穌的弟兄姊妹
[00:02:42.000 --> 00:02:44.000]  他們會怎麼樣呢?
[00:02:44.000 --> 00:02:47.000]  他們會不會很辛苦呢?他們的信仰會怎麼樣呢?
[00:02:47.000 --> 00:02:49.000]  所以保羅的心裡面很擔心
[00:02:49.000 --> 00:02:55.000]  所以他就差派他的徒弟提摩泰回到帖撒羅尼加教會
[00:02:55.000 --> 00:02:58.000]  去探望這一群信徒
[00:02:58.000 --> 00:03:02.000]  當提摩泰探望他們回到保羅身邊的時候告訴他們
[00:03:02.000 --> 00:03:05.000]  哇,帖撒羅尼加教會他們表現很好
[00:03:05.000 --> 00:03:08.000]  很有信心,很有愛心,很有盼望
[00:03:08.000 --> 00:03:11.000]  於是保羅聽到這個消息之後
[00:03:11.000 --> 00:03:13.000]  就寫了一封信
[00:03:13.000 --> 00:03:16.000]  回到帖撒羅尼加教會
[00:03:16.000 --> 00:03:20.000]  表達保羅心中對他們的喜樂
[00:03:20.000 --> 00:03:22.000]  也感謝上帝
[00:03:22.000 --> 00:03:27.000]  同樣的,保羅也知道帖撒羅尼加教會有信仰的問題
[00:03:27.000 --> 00:03:32.000]  所以保羅也藉著這封信和他們解釋,在信仰上有些澄清
[00:03:32.000 --> 00:03:37.000]  在第一章開始的時候
[00:03:37.000 --> 00:03:39.000]  我們看看
[00:03:39.000 --> 00:03:43.000]  一章四節,我們再讀,預備,1,2,3
[00:03:43.000 --> 00:03:49.000]  「被神所愛的弟兄,我知道你們是蒙簡選的」
[00:03:49.000 --> 00:03:54.000]  蒙簡選就是第一章裡面一個很重要的主題
[00:03:54.000 --> 00:03:55.000]  蒙簡選
[00:03:55.000 --> 00:03:58.000]  保羅為帖撒羅尼加教會的人感謝神
[00:03:58.000 --> 00:04:00.000]  很開心,為什麼?
[00:04:00.000 --> 00:04:03.000]  因為他們是蒙簡選
[00:04:03.000 --> 00:04:07.000]  他們得到神,簡選他們成為神的兒女
[00:04:07.000 --> 00:04:09.000]  簡選他們,生命得救
[00:04:09.000 --> 00:04:12.000]  蒙簡選
[00:04:12.000 --> 00:04:15.000]  在座的弟兄姊妹
[00:04:15.000 --> 00:04:18.000]  你是不是被神簡選的?
[00:04:18.000 --> 00:04:23.000]  你是不是已經蒙恩得救了?
[00:04:23.000 --> 00:04:26.000]  想一想
[00:04:26.000 --> 00:04:31.000]  神是怎樣選你出來的?
[00:04:31.000 --> 00:04:33.000]  還有
[00:04:33.000 --> 00:04:38.000]  神選了你之後
[00:04:38.000 --> 00:04:41.000]  是不是就這樣算了呢?
[00:04:41.000 --> 00:04:43.000]  神選了你之後
[00:04:43.000 --> 00:04:46.000]  你的生命有什麼特別
[00:04:46.000 --> 00:04:51.000]  或者你的生命有什麼方向要去做呢?
[00:04:51.000 --> 00:04:59.000]  我們再有一個禱告
