
[00:00:00.000 --> 00:00:04.880]  今天我們說一個題目叫「信耶穌真好」
[00:00:04.880 --> 00:00:07.480]  為什麼要信耶穌?
[00:00:07.480 --> 00:00:10.160]  信耶穌有什麼好?
[00:00:10.160 --> 00:00:12.200]  今天這一段聖經很有意思
[00:00:12.200 --> 00:00:16.240]  因為作者保羅本來是一個反基督教的人
[00:00:16.240 --> 00:00:18.040]  不肯信耶穌的人
[00:00:18.040 --> 00:00:20.400]  後來他信了耶穌
[00:00:20.400 --> 00:00:21.880]  信了耶穌之後他寫出來
[00:00:21.880 --> 00:00:24.360]  我相信是一個切身的體驗
[00:00:24.360 --> 00:00:26.680]  他想告訴我們
[00:00:26.680 --> 00:00:29.520]  究竟信了耶穌有什麼不同?
[00:00:29.520 --> 00:00:31.200]  今天我看著這段聖經的時候
[00:00:31.200 --> 00:00:35.000]  我也想透過這段聖經跟大家一起來分享
[00:00:35.000 --> 00:00:36.920]  尤其當中如果我們有一些朋友
[00:00:36.920 --> 00:00:38.040]  我們很歡迎你
[00:00:38.040 --> 00:00:41.480]  你還在基督教信仰的邊緣
[00:00:41.480 --> 00:00:43.560]  或者是考慮當中的時候
[00:00:43.560 --> 00:00:45.120]  希望今天這段聖經
[00:00:45.120 --> 00:00:46.560]  這段說話
[00:00:46.560 --> 00:00:48.120]  包括我自己
[00:00:48.120 --> 00:00:50.040]  用我自己切身的體驗
[00:00:50.040 --> 00:00:52.760]  一起來跟你拿心出來說
[00:00:52.760 --> 00:00:54.760]  究竟信了耶穌有什麼不同?
[00:00:54.760 --> 00:00:56.800]  我相信這個在你心底裡
[00:00:56.800 --> 00:00:58.520]  是問了很多次的問題
[00:00:58.520 --> 00:01:01.760]  不如今天我們很坦誠地來面對這個
[00:01:01.760 --> 00:01:05.520]  用這段聖經一起來思想
[00:01:05.520 --> 00:01:07.800]  這段聖經告訴我們
[00:01:07.800 --> 00:01:12.520]  我把它分成有五個很重要的重點
[00:01:12.520 --> 00:01:14.000]  信耶穌有什麼不同?
[00:01:14.000 --> 00:01:14.720]  有五樣東西
[00:01:14.720 --> 00:01:18.160]  第一,開始一個新的關係
[00:01:18.160 --> 00:01:23.160]  第二,體會新的安全感
[00:01:23.160 --> 00:01:28.320]  第三,對將來永恆有一個新的把握
[00:01:28.320 --> 00:01:32.640]  第四,甚至在今生的患難當中
[00:01:32.640 --> 00:01:36.200]  都有新的力量和意義去面對
[00:01:36.200 --> 00:01:40.920]  第五,對愛有一種新的體驗
[00:01:40.920 --> 00:01:42.600]  我相信這五樣東西
[00:01:42.600 --> 00:01:44.960]  都是我們人生追尋
[00:01:44.960 --> 00:01:46.760]  和我們體會裡面
[00:01:46.760 --> 00:01:50.040]  最核心、最重要的東西
[00:01:50.040 --> 00:01:52.760]  宗教也是要面對這些問題
[00:01:52.760 --> 00:01:54.800]  不過今天我想跟你說的就是
[00:01:54.800 --> 00:01:57.880]  不是單單想你今天信教
[00:01:57.880 --> 00:01:59.720]  或者信基督教
[00:01:59.720 --> 00:02:01.560]  因為第一點
[00:02:01.560 --> 00:02:03.320]  聖經就告訴我們
[00:02:03.320 --> 00:02:05.200]  基督教和所有的宗教
[00:02:05.200 --> 00:02:06.800]  有一個很不同的地方
[00:02:06.800 --> 00:02:07.920]  我不是告訴你
[00:02:07.920 --> 00:02:11.040]  我們要將所有宗教判它為錯
[00:02:11.040 --> 00:02:13.040]  只是基督教是對的
[00:02:13.040 --> 00:02:14.400]  如果認識我的人都知道
[00:02:14.400 --> 00:02:17.200]  我是研究中國的宗教
