
[00:00:00.000 --> 00:00:02.320]  好久不見啊,很想念大家
[00:00:02.320 --> 00:00:05.440]  好久沒見到大家,我很掛念大家
[00:00:05.440 --> 00:00:10.600]  很開心今天有機會在這裡為大家分享神的話語
[00:00:10.600 --> 00:00:14.640]  很開心今天能夠在這裡跟大家分享神的話語
[00:00:14.640 --> 00:00:19.400]  因為這個主日是2025年的最後一個主日
[00:00:19.400 --> 00:00:23.720]  因為今天的主日是其實2025年的最後一個主日
[00:00:23.720 --> 00:00:31.160]  也是我們這個年終即將到達2026年的歲首
[00:00:31.160 --> 00:00:35.520]  也是年終,我們將會到達2026年的歲首
[00:00:35.520 --> 00:00:39.400]  好,我們在分享神的話語之前有一個禱告
[00:00:39.400 --> 00:00:42.720]  在分享神的話語之前,我們低頭做一個禱告
[00:00:42.720 --> 00:00:44.120]  親愛的阿爸、父神,謝謝你
[00:00:44.120 --> 00:00:46.640]  謝謝你帶孩子到這間教會來
[00:00:46.640 --> 00:00:50.480]  讓孩子真的是有機會與大家一同分享上帝的話語
[00:00:50.480 --> 00:00:52.600]  我們知道我們需要上帝的眷顧
[00:00:52.600 --> 00:00:57.040]  無論何時何地,上帝始終與我們同在
[00:00:57.040 --> 00:01:00.280]  從歲首到年終,求你聖靈的感動
[00:01:00.280 --> 00:01:05.520]  讓每一位你的信徒都能聽進你的話語
[00:01:05.520 --> 00:01:09.120]  並且能夠讓這個話語在生活當中行出來
[00:01:09.120 --> 00:01:12.760]  因為我們是何等的需要你無論何時何地
[00:01:12.760 --> 00:01:17.520]  感謝主,向禱告奉我主耶穌基督的名,Amen
[00:01:17.520 --> 00:01:19.920]  好,我們剛才這個經文已經讀過了
[00:01:19.920 --> 00:01:22.280]  我剛剛已經讀過了今天的經文
[00:01:22.280 --> 00:01:25.840]  我相信這幾張畫大家都不陌生
[00:01:25.840 --> 00:01:29.200]  我相信大家對這幾張的照片都不陌生
[00:01:29.200 --> 00:01:33.320]  在感恩節的前兩天,也就是11月25號
[00:01:33.320 --> 00:01:36.240]  就這樣設的前幾天,就是11月25號
[00:01:36.240 --> 00:01:38.040]  香港四季大火
[00:01:38.040 --> 00:01:40.080]  香港有四級的大火
[00:01:40.080 --> 00:01:43.520]  四季大火,就是一個世紀以來最大的火
[00:01:43.520 --> 00:01:45.840]  是世紀以來最大的火災
[00:01:45.840 --> 00:01:51.600]  那洪福苑呢,大家都知道有七棟樓房著火
[00:01:51.600 --> 00:01:55.040]  洪福苑呢,大家都知道有七棟樓房著火
[00:01:55.040 --> 00:01:57.080]  那到底起火的原因是什麼呢?
[00:01:57.080 --> 00:01:58.920]  究竟起火的原因是什麼呢?
[00:01:58.920 --> 00:02:01.120]  有人說是這個燭棚
[00:02:01.120 --> 00:02:04.480]  有人說是棚架
[00:02:04.480 --> 00:02:08.280]  可是我們知道這個燭棚用了幾十年都沒有出過事
[00:02:08.280 --> 00:02:12.280]  但我們知道這些燭棚架已經幾十年都沒有出過事
[00:02:12.280 --> 00:02:14.920]  而且它很輕很便宜
[00:02:14.920 --> 00:02:17.080]  其實它是很輕和很便宜的
[00:02:17.080 --> 00:02:20.240]  那我們想想這個幾十層樓的高樓大廈
[00:02:20.240 --> 00:02:23.880]  如果用金屬的話會很重,對嗎?很危險
[00:02:23.880 --> 00:02:26.800]  如果你想想這七棟的大廈,幾十層的大廈
[00:02:26.800 --> 00:02:29.720]  用金屬的話會很重,也是很危險的
[00:02:29.720 --> 00:02:33.920]  而且這個燭棚它適合香港風大的天氣
[00:02:33.920 --> 00:02:38.400]  而且這個燭棚是很適合香港很風大的天氣的
[00:02:38.400 --> 00:02:41.120]  也是防風的,具有香港的特色
[00:02:41.120 --> 00:02:44.160]  也是可以防風的,也是香港的一個特色
[00:02:44.160 --> 00:02:47.680]  所以說怪這個燭棚是沒有道理的
[00:02:47.680 --> 00:02:50.720]  所以說怪這個燭棚是沒有道理的
[00:02:50.720 --> 00:02:53.920]  那有人就發現它裹在外面的這層綠色的
[00:02:53.920 --> 00:02:56.800]  大家看到嗎?那個防塵罩
[00:02:56.800 --> 00:03:02.680]  你看到裹在外面這個綠色的防塵罩
[00:03:02.680 --> 00:03:06.400]  這個是後來測試是屬於易燃品
[00:03:06.400 --> 00:03:09.680]  他後來測試發覺這些是易燃品
[00:03:09.680 --> 00:03:12.600]  那麼也可以用防火的
[00:03:12.600 --> 00:03:17.000]  那麼整棟紅福樓要貴420萬美元
[00:03:17.000 --> 00:03:20.560]  如果要用到防火的物體的話
[00:03:20.560 --> 00:03:25.720]  要用在這個紅福院的要用450萬美元
[00:03:25.720 --> 00:03:27.560]  要多420萬美元
[00:03:27.560 --> 00:03:30.400]  要多450萬美元才可以
[00:03:30.400 --> 00:03:32.600]  這明顯就是為了省錢是嗎?
[00:03:32.600 --> 00:03:35.120]  很明顯就是為了省錢,對不對?
