
[00:00:00.000 --> 00:00:05.420]  今天是2015年最後一個的主日
[00:00:05.420 --> 00:00:07.520]  但是我最近
[00:00:07.520 --> 00:00:09.900]  就是剛剛上一次跟大家說
[00:00:09.900 --> 00:00:12.200]  我發覺我們的敬拜
[00:00:12.200 --> 00:00:14.100]  是需要一些改善的
[00:00:14.100 --> 00:00:18.500]  所以今天我會跟大家從一段我們很熟悉的聖經
[00:00:18.500 --> 00:00:20.380]  來看看
[00:00:20.380 --> 00:00:23.340]  我們應該持著什麼樣的態度
[00:00:23.340 --> 00:00:25.480]  來參與崇拜
[00:00:25.480 --> 00:00:28.660]  有些人說已經過了聖誕了
[00:00:28.660 --> 00:00:30.140]  好僧
[00:00:30.140 --> 00:00:34.300]  在12月25日絕對不是聖誕節
[00:00:34.300 --> 00:00:36.240]  不是耶穌降生的日子
[00:00:36.240 --> 00:00:38.700]  我也挺肯定不是這一天
[00:00:38.700 --> 00:00:41.680]  因為12月25日是很冷的
[00:00:41.680 --> 00:00:44.560]  在現在以色列的地方裡面也會下雪的
[00:00:44.560 --> 00:00:45.540]  那麼
[00:00:45.540 --> 00:00:49.300]  第一批知道耶穌降生的人是一群牧羊人
[00:00:49.300 --> 00:00:53.080]  聖經說牧羊人在夜間按著羌字看守羊群
[00:00:53.080 --> 00:00:55.680]  他們在郊外裡面看羊
[00:00:55.680 --> 00:00:59.960]  如果是在寒冬是不會做這件事情的
[00:00:59.960 --> 00:01:02.600]  所以你留意到在歐洲的地方裡面
[00:01:02.600 --> 00:01:04.600]  有些是在1月中
[00:01:04.600 --> 00:01:06.720]  1月10日才慶祝聖誕節的
[00:01:06.720 --> 00:01:07.900]  其實
[00:01:07.900 --> 00:01:09.800]  哪一天不是最重要
[00:01:09.800 --> 00:01:11.800]  最重要是背後的意義
[00:01:11.800 --> 00:01:13.120]  很簡單舉個例子
[00:01:13.120 --> 00:01:14.580]  有些老人家
[00:01:14.580 --> 00:01:17.080]  其實不知道自己什麼時候出生的
[00:01:17.080 --> 00:01:19.260]  因為那時候是戰亂
[00:01:19.260 --> 00:01:21.800]  又或者家境很窮困
