
[00:00:00.000 --> 00:00:02.280]  Hallelujah!我們感謝祢,讚美祢
[00:00:02.280 --> 00:00:04.760]  因為祢是那位賜平安喜樂的上帝
[00:00:04.760 --> 00:00:07.760]  所以我們今天就能夠用祢給我們的平安和喜樂
[00:00:07.760 --> 00:00:09.400]  去面對種種的環境
[00:00:09.400 --> 00:00:11.960]  主願意,祢的說話成為我們的力量
[00:00:11.960 --> 00:00:14.120]  使我們有力量能夠堅持
[00:00:14.120 --> 00:00:16.760]  在任何的環境裏面,我們仍然去讚美祢
[00:00:16.760 --> 00:00:20.160]  仍然去稱謝,仍然去賞善神的恩典
[00:00:20.160 --> 00:00:21.640]  並且仍然去宣告
[00:00:21.640 --> 00:00:23.480]  祢就是那位拯救我們的上帝
[00:00:23.480 --> 00:00:24.520]  愛我們的上帝
[00:00:24.520 --> 00:00:26.440]  並且引導我們的生命的上帝
[00:00:26.440 --> 00:00:27.720]  我們感謝祢,讚美祢
[00:00:27.720 --> 00:00:29.960]  願意聖靈祢繼續帶領著我們
[00:00:29.960 --> 00:00:31.480]  無論我們在任何地方
[00:00:31.480 --> 00:00:32.680]  祢的靈恩告我們
[00:00:32.680 --> 00:00:36.160]  讓我們在祢裏面一同去明白領受祢的話語
[00:00:36.160 --> 00:00:37.960]  更加明白上帝祢的心
[00:00:37.960 --> 00:00:39.160]  多謝主,讚美主
[00:00:39.160 --> 00:00:40.680]  願我們同在帶領我們
[00:00:40.680 --> 00:00:41.840]  聽我們的禱告
[00:00:41.840 --> 00:00:43.720]  是奉耶穌基督的名祈禱
[00:00:43.720 --> 00:00:44.720]  阿門
[00:00:44.720 --> 00:00:48.960]  已經踏入四月份了
[00:00:48.960 --> 00:00:51.160]  我之前的講道提過
[00:00:51.160 --> 00:00:53.200]  大概教會到三、四月的時候
[00:00:53.200 --> 00:00:54.880]  我們都有一個講題
[00:00:54.880 --> 00:00:59.320]  範圍是圍繞家人關係或者家庭這個主題
[00:00:59.320 --> 00:01:03.200]  今天接著上一個講道
[00:01:03.200 --> 00:01:05.480]  其實我是在三月第一個星期講道的
[00:01:05.480 --> 00:01:07.640]  當時我講了一個題目
[00:01:07.640 --> 00:01:09.240]  不知道大家記不記得
[00:01:09.240 --> 00:01:10.400]  叫做「書」
[00:01:10.400 --> 00:01:12.000]  一位開引路生人
[00:01:12.000 --> 00:01:12.960]  括著這個「書」字
[00:01:12.960 --> 00:01:13.760]  難從名
[00:01:13.760 --> 00:01:18.160]  OK,就講約瑟在十七歲所發生的事件
[00:01:18.160 --> 00:01:20.000]  今天接著這個講題
[00:01:20.000 --> 00:01:22.840]  我也會繼續講關於約瑟
[00:01:22.840 --> 00:01:25.800]  我今天用的講題同樣是「書」字
[00:01:25.800 --> 00:01:27.760]  不過就是這個「書」
[00:01:27.760 --> 00:01:28.680]  回家
