
[00:00:00.000 --> 00:00:04.000]  親愛的姐妹們,平安!我們一起同心祈禱
[00:00:04.000 --> 00:00:07.000]  今天我們感謝祢自己的恩典
[00:00:07.000 --> 00:00:10.000]  祢給我們有機會,有生命,有氣息
[00:00:10.000 --> 00:00:14.000]  能夠來追集、敬拜祢,聆聽祢自己的華語
[00:00:14.000 --> 00:00:17.000]  我們求聖靈幫助我們
[00:00:17.000 --> 00:00:20.000]  聽得到祢自己的華語
[00:00:20.000 --> 00:00:23.000]  願意謹守、遵行祢自己的華語
[00:00:23.000 --> 00:00:27.000]  在我們的日常中,幫助我們活出聖潔的生活
[00:00:27.000 --> 00:00:31.000]  援繞主祢的名,奉耶穌基督的名祈禱
[00:00:31.000 --> 00:00:37.000]  今天仍然是《尋找力量之源》系列
[00:00:37.000 --> 00:00:41.000]  我們看的是《提摩太後書》第二章
[00:00:41.000 --> 00:00:45.000]  星期之前主人牧師已經提到
[00:00:45.000 --> 00:00:50.000]  這封信是保羅寫給提摩太
[00:00:50.000 --> 00:00:54.000]  提摩太可以說是保羅屬靈的兒子
[00:00:54.000 --> 00:00:57.000]  或者是徒弟
[00:00:57.000 --> 00:01:01.000]  但是要了解保羅的教導呢?
[00:01:01.000 --> 00:01:04.000]  或者我們還要問多一點問題
[00:01:04.000 --> 00:01:07.000]  提摩太在哪裏呢?
[00:01:07.000 --> 00:01:12.000]  我們知道保羅在羅馬坐牢
[00:01:12.000 --> 00:01:19.000]  他很可能是在家裏被囚禁那種
[00:01:19.000 --> 00:01:24.000]  我還有一個問題想問
[00:01:24.000 --> 00:01:29.000]  就是他在提摩太所在的教會
[00:01:29.000 --> 00:01:32.000]  發生了什麼情況?
[00:01:32.000 --> 00:01:34.000]  要回答這兩個問題
[00:01:34.000 --> 00:01:37.000]  我們要回到《提摩太前書》
[00:01:37.000 --> 00:01:41.000]  一章三至四節找尋答案
[00:01:41.000 --> 00:01:43.000]  《提摩太前書》是怎樣說呢?
[00:01:43.000 --> 00:01:45.000]  是第一章三至四節這樣說的
[00:01:45.000 --> 00:01:50.000]  我往馬其頓去的時候,曾勸你留在已忽所
[00:01:50.000 --> 00:01:55.000]  好祝賦某些人,不可傳別的教義
[00:01:55.000 --> 00:01:58.000]  也不要聽從無稽的傳說
[00:01:58.000 --> 00:02:01.000]  和冗長的家譜
[00:02:01.000 --> 00:02:04.000]  這樣的事只會引起爭論
[00:02:04.000 --> 00:02:08.000]  無在於上帝的計劃
[00:02:08.000 --> 00:02:11.000]  這計劃是憑著信才能了解的
[00:02:11.000 --> 00:02:15.000]  所以我們明白
[00:02:15.000 --> 00:02:19.000]  知道提摩太應該是在已忽所教會
[00:02:19.000 --> 00:02:23.000]  而教會出現了兩種情況
[00:02:23.000 --> 00:02:27.000]  一是有些人是傳不正確的教義
[00:02:27.000 --> 00:02:33.000]  第二是他們很喜歡爭論一些傳說和家譜
[00:02:33.000 --> 00:02:35.000]  有了這些背景資料
[00:02:35.000 --> 00:02:37.000]  我們就容易明白
[00:02:37.000 --> 00:02:41.000]  為什麼保羅一開始在《提摩太前書》
[00:02:41.000 --> 00:02:44.000]  二章十四節、二十三節和二十四節
[00:02:44.000 --> 00:02:49.000]  都提醒提摩太不要爭辯
[00:02:49.000 --> 00:02:51.000]  可能有人會問
[00:02:51.000 --> 00:02:54.000]  真理不是說越辯越明的嗎?
[00:02:54.000 --> 00:02:58.000]  為什麼不要爭辯呢?
[00:02:58.000 --> 00:03:03.000]  是的,如果是有關真理的問題
[00:03:03.000 --> 00:03:06.000]  我們可以有學術性的辯論
[00:03:06.000 --> 00:03:11.000]  例如說《利未記》十九章十八節
[00:03:11.000 --> 00:03:15.000]  究竟那裡應該翻譯為《愛人如己》
[00:03:15.000 --> 00:03:20.000]  還是應該翻譯為《愛論如己》呢?
[00:03:20.000 --> 00:03:27.000]  兩種不同的翻譯都有中文版的聖經採用
[00:03:27.000 --> 00:03:36.000]  如果是純粹以多數人的意見作準的話
[00:03:36.000 --> 00:03:42.000]  很可能《愛人如己》有更多中文版聖經用
[00:03:42.000 --> 00:03:48.000]  不過在我所看過的所有英文版的聖經
[00:03:48.000 --> 00:03:52.000]  都是翻譯為《Love your neighbor》
[00:03:52.000 --> 00:03:56.000]  而不是翻譯為《Love every human》
[00:03:56.000 --> 00:04:00.000]  我認為從希伯來文來看
[00:04:00.000 --> 00:04:05.000]  那個字應該翻譯為《愛論如己》才對
[00:04:05.000 --> 00:04:10.000]  雖然大多數中文聖經都翻譯為《愛人如己》
[00:04:10.000 --> 00:04:12.000]  都不一定是正確的
[00:04:12.000 --> 00:04:17.000]  這些真理的問題是值得辯論的
[00:04:17.000 --> 00:04:20.000]  但保羅教導提摩太
[00:04:20.000 --> 00:04:26.000]  在已忽所不要在言辭上爭論
[00:04:26.000 --> 00:04:29.000]  或者有關傳說家譜的事
[00:04:29.000 --> 00:04:35.000]  因為那些無謂的爭論不只是浪費時間
[00:04:35.000 --> 00:04:38.000]  還會傷害聽見的人
[00:04:38.000 --> 00:04:43.000]  即是提摩太如果在教會裡爭論那些言辭
[00:04:43.000 --> 00:04:45.000]  旁邊還有其他人聽到
[00:04:45.000 --> 00:04:49.000]  就很可能傷害到他們
[00:04:49.000 --> 00:04:53.000]  但有關教義的問題又怎樣說呢?
[00:04:53.000 --> 00:04:55.000]  十六節到十八節提到
[00:04:55.000 --> 00:04:58.000]  在教會中已經有人從空談
[00:04:58.000 --> 00:05:02.000]  墮落到偏離真理
[00:05:02.000 --> 00:05:06.000]  甚至有人說:哎呀!復活的事已經過去了
[00:05:06.000 --> 00:05:11.000]  以致保羅在十七節還點出了兩個人的名字
[00:05:11.000 --> 00:05:14.000]  指出他們是存異端的
[00:05:14.000 --> 00:05:20.000]  其中一個叫許米乃在提摩太慈兒書也提出了他的名字
[00:05:20.000 --> 00:05:24.000]  當我們遇到這些事情的時候
[00:05:24.000 --> 00:05:28.000]  甚至在二十五節提到一些反對的人
[00:05:28.000 --> 00:05:31.000]  我們要怎樣去處理呢?
