
[00:00:00.000 --> 00:00:02.140]  我們上次講到
[00:00:02.140 --> 00:00:04.660]  以色列人攻打艾成
[00:00:04.660 --> 00:00:07.780]  結果大敗而回,為甚麼呢?
[00:00:07.780 --> 00:00:10.540]  因為有人拿了當滅之物
[00:00:10.540 --> 00:00:11.760]  就是阿肝
[00:00:11.760 --> 00:00:15.500]  阿肝一家人因為拿了不應該拿的東西
[00:00:15.500 --> 00:00:18.380]  應該屬於神,他們據為己有
[00:00:18.380 --> 00:00:20.640]  以致他們大敗而回
[00:00:20.640 --> 00:00:25.060]  今天我們會講怎樣能夠反敗為勝
[00:00:25.060 --> 00:00:27.240]  所以對我們基督徒很重要
[00:00:27.240 --> 00:00:29.260]  我們時時都會犯罪
[00:00:29.260 --> 00:00:31.760]  但當我們犯罪時不要緊
[00:00:31.760 --> 00:00:34.740]  最重要是懂得怎樣回到神那裡
[00:00:34.740 --> 00:00:37.340]  再次被神帶領我們
[00:00:37.340 --> 00:00:39.300]  是能夠得勝
[00:00:39.300 --> 00:00:44.300]  今天會跟大家一共講四點
[00:00:44.300 --> 00:00:47.180]  怎樣能夠靠著神
[00:00:47.180 --> 00:00:48.940]  來反敗為勝
[00:00:48.940 --> 00:00:51.760]  其實第一點就是
[00:00:51.760 --> 00:00:54.180]  要與神復和
[00:00:54.180 --> 00:00:57.160]  當我們犯了罪,神離開我們
[00:00:57.160 --> 00:01:00.860]  或是我們沒有與神同在
[00:01:00.860 --> 00:01:04.260]  我們是要回到神那裡與神復和
[00:01:04.260 --> 00:01:08.500]  其實第七章和第八章都很有趣
[00:01:08.500 --> 00:01:12.280]  一開始已經把結果告訴我們
[00:01:12.280 --> 00:01:14.300]  第七章一開始就說
[00:01:14.300 --> 00:01:17.940]  以色列人第一次攻打艾成輸定了
[00:01:17.940 --> 00:01:19.280]  輸定了
[00:01:19.280 --> 00:01:22.760]  因為他們犯了罪,因為他們拿了當滅之物
[00:01:22.760 --> 00:01:26.300]  但第八章亦很有趣
[00:01:26.300 --> 00:01:28.860]  一開始就告訴我們結果
