
[00:00:00.000 --> 00:00:05.000]  感謝主在有機會在你們面前宣講神的道
[00:00:05.000 --> 00:00:07.000]  我們再次禱告
[00:00:07.000 --> 00:00:11.000]  親愛的天父願意主禰自己的話語
[00:00:11.000 --> 00:00:14.000]  好像稻種放在人的心裏面
[00:00:14.000 --> 00:00:17.000]  而且能夠發芽生長
[00:00:17.000 --> 00:00:19.000]  開花結果
[00:00:19.000 --> 00:00:22.000]  改變我們的價值觀
[00:00:22.000 --> 00:00:25.000]  抑制我們暢上的心靈
[00:00:25.000 --> 00:00:29.000]  也將福音能夠宣講的清楚
[00:00:29.000 --> 00:00:34.000]  求聖靈制止自由的運行在這個地方
[00:00:34.000 --> 00:00:36.000]  奉主耶穌命求
[00:00:36.000 --> 00:00:39.000]  Amen
[00:00:39.000 --> 00:00:44.000]  耶穌出來傳道的時候
[00:00:44.000 --> 00:00:46.000]  祂看見很多的人
[00:00:46.000 --> 00:00:48.000]  上次你們說
[00:00:48.000 --> 00:00:54.000]  祂看見很多困苦流離的人
[00:00:54.000 --> 00:00:57.000]  祂的心裏面絞痛
[00:00:57.000 --> 00:01:00.000]  原文是絞痛
[00:01:00.000 --> 00:01:02.000]  祂心裏面絞痛
[00:01:02.000 --> 00:01:07.000]  然後祂說莊稼已經熟了
[00:01:07.000 --> 00:01:10.000]  只是着工的人少
[00:01:10.000 --> 00:01:13.000]  你們當求莊稼的主
[00:01:13.000 --> 00:01:19.000]  打發工人出去收那個莊稼
[00:01:19.000 --> 00:01:21.000]  耶穌出來傳道之前
[00:01:21.000 --> 00:01:25.000]  祂在礦源裏面浸食四十天
[00:01:25.000 --> 00:01:29.000]  受撒旦的試探
[00:01:29.000 --> 00:01:33.000]  然後完了之後
[00:01:33.000 --> 00:01:34.000]  聖經裏面說
[00:01:34.000 --> 00:01:38.000]  祂就滿有聖靈
[00:01:38.000 --> 00:01:45.000]  祂不單只是被聖靈充滿在受試探之先
[00:01:45.000 --> 00:01:48.000]  那個聲音可以小一點
[00:01:48.000 --> 00:01:55.000]  而且祂滿有聖靈
[00:01:55.000 --> 00:02:00.000]  然後祂好像從小跟父母去到猶太人的會堂
[00:02:00.000 --> 00:02:04.000]  祂就去到猶太人的會堂
[00:02:04.000 --> 00:02:08.000]  然後聖經記載這樣的事
[00:02:08.000 --> 00:02:11.000]  耶穌滿有聖靈的能力回到加利利
[00:02:11.000 --> 00:02:15.000]  祂的名聲就傳遍了四方
[00:02:15.000 --> 00:02:18.000]  祂在各會堂裏面教訓人
[00:02:18.000 --> 00:02:22.000]  衆人都非常慶贊祂
[00:02:22.000 --> 00:02:25.000]  後來祂來到勒斯勒
[00:02:25.000 --> 00:02:29.000]  就是祂長大的地方
[00:02:29.000 --> 00:02:30.000]  在安息日的時候
[00:02:30.000 --> 00:02:34.000]  祂照平常的規矩進了會堂
[00:02:34.000 --> 00:02:39.000]  站起來要念聖經
[00:02:39.000 --> 00:02:40.000]  有人將一卷書
[00:02:40.000 --> 00:02:44.000]  就是以賽亞書交給祂
[00:02:44.000 --> 00:02:47.000]  祂就打開那捲書
[00:02:47.000 --> 00:02:50.000]  找到一處的地方
[00:02:50.000 --> 00:02:52.000]  寫着說
[00:02:52.000 --> 00:02:56.000]  祂是主的靈降臨在我身上
[00:02:56.000 --> 00:02:59.000]  因爲祂用高高我
[00:02:59.000 --> 00:03:04.000]  叫我傳福音給貧窮的人
[00:03:04.000 --> 00:03:07.000]  而且差遣我報告
[00:03:07.000 --> 00:03:09.000]  被擄的得釋放
[00:03:09.000 --> 00:03:11.000]  狹隘的得看見
[00:03:11.000 --> 00:03:15.000]  叫那受壓制的得到自由
[00:03:15.000 --> 00:03:21.000]  報告神洗着人的洗臉
[00:03:21.000 --> 00:03:23.000]  然後祂捲起那個書卷
[00:03:23.000 --> 00:03:29.000]  交給集市就坐下來
[00:03:29.000 --> 00:03:33.000]  會堂裏的人都靜靜地去看祂
[00:03:33.000 --> 00:03:36.000]  然後耶穌對他們說
[00:03:36.000 --> 00:03:40.000]  今天我剛纔唸的經文
[00:03:40.000 --> 00:03:44.000]  要應驗在你們耳中
[00:03:44.000 --> 00:03:49.000]  願神祝福他自己的話語
[00:03:49.000 --> 00:03:53.000]  耶穌當天唸了這段經文
[00:03:53.000 --> 00:03:58.000]  做貧窮的人能夠得到飽足
[00:03:58.000 --> 00:04:02.000]  狹隘的人得到看見
[00:04:02.000 --> 00:04:07.000]  被壓抑的人得到自由
[00:04:07.000 --> 00:04:11.000]  你盼不盼望今天神的話語
[00:04:11.000 --> 00:04:18.000]  就應驗在我們當中
[00:04:18.000 --> 00:04:20.000]  盼望嗎
[00:04:20.000 --> 00:04:23.000]  巴不得神祂自己的恩典
[00:04:23.000 --> 00:04:27.000]  今天臨在我們
[00:04:27.000 --> 00:04:28.000]  我不知道在座當中
[00:04:28.000 --> 00:04:29.000]  每一個人的故事
[00:04:29.000 --> 00:04:31.000]  我不知道過去一個禮拜
[00:04:31.000 --> 00:04:34.000]  或一個月發生什麼事
[00:04:34.000 --> 00:04:37.000]  不過
[00:04:37.000 --> 00:04:39.000]  我在這個教會募會25年
[00:04:39.000 --> 00:04:43.000]  我知道話多話少
[00:04:43.000 --> 00:04:45.000]  話長話短
[00:04:45.000 --> 00:04:47.000]  無論是以前的事
[00:04:47.000 --> 00:04:48.000]  現在的事
[00:04:48.000 --> 00:04:49.000]  將來的事
[00:04:49.000 --> 00:04:55.000]  你我都會面對一些困難跟苦難
[00:04:55.000 --> 00:04:58.000]  是你意想不到的
[00:04:58.000 --> 00:05:06.000]  而且你會覺得很難熬 很難過
[00:05:06.000 --> 00:05:07.000]  有幾個的原因
[00:05:07.000 --> 00:05:08.000]  第一個原因
[00:05:08.000 --> 00:05:10.000]  就是因爲我們是罪人
[00:05:10.000 --> 00:05:12.000]  罪人的意思是說
[00:05:12.000 --> 00:05:14.000]  你跟我話多話少
[00:05:14.000 --> 00:05:17.000]  因爲你我的自我跟罪的時候
[00:05:17.000 --> 00:05:22.000]  你跟我都會曾經傷害過別人
[00:05:22.000 --> 00:05:23.000]  對嗎
