
[00:00:00.000 --> 00:00:03.560]  這是人們眼中的牛津
[00:00:03.560 --> 00:00:05.480]  歷史悠久
[00:00:05.480 --> 00:00:07.120]  超凡血俗
[00:00:07.120 --> 00:00:09.240]  光輝閃耀
[00:00:09.240 --> 00:00:12.960]  然而在永恆上帝眼中
[00:00:12.960 --> 00:00:17.080]  你看到開始黑暗了
[00:00:17.080 --> 00:00:19.920]  牛津的名量仿如舊日聖經裡面
[00:00:19.920 --> 00:00:22.600]  如日方中的名城大國
[00:00:22.600 --> 00:00:25.760]  我在想的是索多瑪、俄摩拉
[00:00:25.760 --> 00:00:28.200]  埃及、巴比倫
[00:00:28.200 --> 00:00:32.320]  他們的榮耀如過眼的雲煙
[00:00:32.320 --> 00:00:38.400]  他們的結局主只有審判和滅亡
[00:00:38.400 --> 00:00:40.600]  《羅馬書》第一章第21節這麼說
[00:00:40.600 --> 00:00:42.760]  因為他們雖然知道上帝
[00:00:42.760 --> 00:00:46.320]  卻不把他當作上帝去榮耀他
[00:00:46.320 --> 00:00:48.360]  也不感謝他
[00:00:48.360 --> 00:00:50.480]  他們的思想變為虛妄
[00:00:50.480 --> 00:00:54.720]  無知的心就昏暗了
[00:00:54.720 --> 00:00:57.320]  他們不相信罪孽的真實
[00:00:57.320 --> 00:01:00.760]  他們不聽從上帝的警告
[00:01:00.760 --> 00:01:05.000]  他們沉醉於地上的追求
[00:01:05.000 --> 00:01:08.240]  就是人世間的WPS
[00:01:08.240 --> 00:01:12.480]  Wisdom, Power and Status
[00:01:12.480 --> 00:01:16.880]  智慧、能力和地位
[00:01:16.880 --> 00:01:22.040]  於是上帝的憤怒在這群人當中
[00:01:22.040 --> 00:01:24.840]  叛逆不信的人當中去燃燒
[00:01:24.840 --> 00:01:26.240]  然而聖經告訴我們
[00:01:26.240 --> 00:01:27.920]  上帝愛世人
[00:01:27.920 --> 00:01:30.920]  甚至將他的獨生子賜給他們
[00:01:30.920 --> 00:01:32.280]  上帝愛牛津
[00:01:32.280 --> 00:01:35.000]  甚至將他的獨生子賜給他們
[00:01:35.000 --> 00:01:38.760]  叫一切相信的人不致滅亡
[00:01:38.760 --> 00:01:41.960]  反德永生
[00:01:41.960 --> 00:01:44.040]  因為憐憫的上帝
[00:01:44.040 --> 00:01:46.920]  為牛津預備了一個救贖的計劃
[00:01:46.920 --> 00:01:49.160]  十字架上的救主
[00:01:49.160 --> 00:01:52.720]  耶穌基督上帝的愛子
[00:01:52.720 --> 00:01:54.600]  代罪的高揚
[00:01:54.600 --> 00:01:58.240]  這是上帝給牛津的福音
[00:01:58.240 --> 00:02:00.400]  福音在希臘文是Evangelion
[00:02:00.400 --> 00:02:02.000]  是一個專有名詞
[00:02:02.000 --> 00:02:02.760]  什麼叫福音呢
[00:02:02.760 --> 00:02:05.960]  是一個關於君王的宣告
[00:02:05.960 --> 00:02:07.480]  當耶穌掛在十字架上
[00:02:07.480 --> 00:02:09.200]  我們會覺得他很慘
[00:02:09.200 --> 00:02:10.920]  但是從聖經神學上
[00:02:10.920 --> 00:02:12.280]  他是在做王
[00:02:12.280 --> 00:02:13.600]  上帝有一個寶座
[00:02:13.600 --> 00:02:14.800]  寶座在十字架上
[00:02:14.800 --> 00:02:15.760]  在十字架上
[00:02:15.760 --> 00:02:19.000]  耶穌成為了他應許的君王
[00:02:19.000 --> 00:02:21.160]  於是這個君王耶穌在十字架上
[00:02:21.160 --> 00:02:24.160]  他開始呼召罪人悔改
[00:02:24.160 --> 00:02:25.880]  以致他們可以得著生命
[00:02:25.880 --> 00:02:27.360]  悔改是什麼
[00:02:27.360 --> 00:02:29.840]  是背十字架
[00:02:29.840 --> 00:02:32.520]  馬開福音第八章第三十四節
[00:02:32.520 --> 00:02:34.840]  耶穌叫眾人和門徒來
[00:02:34.840 --> 00:02:35.640]  對他們說
[00:02:35.640 --> 00:02:37.120]  若有人要跟從我
[00:02:37.120 --> 00:02:41.320]  他當社己背起十字架來跟從我
[00:02:41.320 --> 00:02:42.920]  人就是贊得全世界
[00:02:42.920 --> 00:02:43.800]  賠上了自己
[00:02:43.800 --> 00:02:45.120]  生命有什麼益處呢
[00:02:45.120 --> 00:02:51.040]  人還能拿什麼東西來換生命呢
[00:02:51.040 --> 00:02:55.400]  耶穌向眾人每一個人護照包括你和我
[00:02:55.400 --> 00:02:57.320]  這是一個救恩的護照
[00:02:57.320 --> 00:02:59.600]  也是同時間是一個捨身的護照
[00:02:59.600 --> 00:03:00.920]  你要捨棄一些東西
[00:03:00.920 --> 00:03:02.320]  以致你得著一些東西
[00:03:02.320 --> 00:03:03.840]  耶穌說若有人要跟隨我
[00:03:03.840 --> 00:03:07.960]  他就當社己背起十字架來跟從我
[00:03:07.960 --> 00:03:10.040]  是什麼意思呢
[00:03:10.040 --> 00:03:12.920]  在兩千年前古羅馬的世界裡面
[00:03:12.920 --> 00:03:14.240]  如果有一天你在街上
[00:03:14.240 --> 00:03:16.520]  突然間遇到一個人背著十字架
[00:03:16.520 --> 00:03:18.480]  去行刑的時候
[00:03:18.480 --> 00:03:21.440]  你會馬上抱起你的子女
[00:03:21.440 --> 00:03:22.480]  蓋著他們的眼睛
[00:03:22.480 --> 00:03:24.400]  因為非常血腥暴力
