
[00:00:00.000 --> 00:00:02.000]  各位聽眾姐妹,復活節快樂!
[00:00:02.000 --> 00:00:08.000]  大家會記得當主耶穌復活的早上
[00:00:08.000 --> 00:00:11.000]  是十字架之後的第三天
[00:00:11.000 --> 00:00:15.000]  莫大拉的瑪利亞去到墳墓裡想找耶穌
[00:00:15.000 --> 00:00:18.000]  但發覺那塊石已經挪開了
[00:00:18.000 --> 00:00:20.000]  看不到耶穌的身體
[00:00:20.000 --> 00:00:24.000]  她以為有人將耶穌的身體拿走了
[00:00:24.000 --> 00:00:26.000]  在那時候看到兩位天使
[00:00:26.000 --> 00:00:28.000]  天使就問她
[00:00:28.000 --> 00:00:30.000]  你為什麼哭呢?
[00:00:30.000 --> 00:00:33.000]  你在找誰呢?
[00:00:33.000 --> 00:00:35.000]  問她一個問題
[00:00:35.000 --> 00:00:37.000]  是要她深思的
[00:00:37.000 --> 00:00:39.000]  耶穌已經復活了
[00:00:39.000 --> 00:00:41.000]  為什麼還要哭呢?
[00:00:41.000 --> 00:00:44.000]  耶穌已經復活了
[00:00:44.000 --> 00:00:47.000]  為什麼還要在死人當中尋找耶穌呢?
[00:00:47.000 --> 00:00:49.000]  因此這個問題
[00:00:49.000 --> 00:00:51.000]  今天也是向我們發出
[00:00:51.000 --> 00:00:53.000]  為什麼哭呢?
[00:00:53.000 --> 00:00:55.000]  你在找誰呢?
[00:00:55.000 --> 00:00:58.000]  很多的節日我們都會恭喜弟兄姊妹
[00:00:58.000 --> 00:01:00.000]  什麼快樂什麼快樂
[00:01:00.000 --> 00:01:02.000]  不過復活節快樂
[00:01:02.000 --> 00:01:04.000]  是真的快樂的
[00:01:04.000 --> 00:01:06.000]  是真的可以跟弟兄姊妹說
[00:01:06.000 --> 00:01:07.000]  我們可以快樂
[00:01:07.000 --> 00:01:09.000]  耶穌基督復活了
[00:01:09.000 --> 00:01:11.000]  所以我多想在開始
[00:01:11.000 --> 00:01:13.000]  大家一起聽到之前
[00:01:13.000 --> 00:01:16.000]  你嘗試很快樂
[00:01:16.000 --> 00:01:18.000]  嘗試盡你的表達
[00:01:18.000 --> 00:01:21.000]  告訴你旁邊的弟兄姊妹知道
[00:01:21.000 --> 00:01:23.000]  復活節快樂
[00:01:25.000 --> 00:01:27.000]  復活節快樂
[00:01:27.000 --> 00:01:29.000]  復活節快樂
[00:01:29.000 --> 00:01:31.000]  復活節快樂
[00:01:31.000 --> 00:01:33.000]  復活節快樂
[00:01:33.000 --> 00:01:36.000]  施班最大聲
[00:01:36.000 --> 00:01:38.000]  感謝上帝
[00:01:38.000 --> 00:01:41.000]  因為耶穌基督已經從死裡復活
[00:01:41.000 --> 00:01:43.000]  勝過了死權
[00:01:43.000 --> 00:01:45.000]  我們是可以歡喜快樂
[00:01:45.000 --> 00:01:48.000]  因此我們帶著很感謝的心
[00:01:48.000 --> 00:01:49.000]  快樂的心
[00:01:49.000 --> 00:01:51.000]  我們一起來思想聖經
[00:01:51.000 --> 00:01:52.000]  神給我們的說話
[00:01:52.000 --> 00:01:54.000]  大家再一起祈禱
[00:01:56.000 --> 00:01:58.000]  主我們感謝祢
[00:01:58.000 --> 00:02:01.000]  雖然我們見到人生
[00:02:01.000 --> 00:02:03.000]  有很多叫人灰心的事
[00:02:03.000 --> 00:02:05.000]  難過的事情
[00:02:05.000 --> 00:02:07.000]  但每當你想起
[00:02:07.000 --> 00:02:10.000]  祢自己從死裡復活過來
[00:02:10.000 --> 00:02:12.000]  主我們就可以快樂
[00:02:12.000 --> 00:02:14.000]  我們可以感恩
[00:02:14.000 --> 00:02:17.000]  因為祢的確是生命的主
[00:02:17.000 --> 00:02:19.000]  我們到祢的面前
[00:02:19.000 --> 00:02:21.000]  同心敬拜祢
[00:02:21.000 --> 00:02:23.000]  我們讚美祢自己
[00:02:23.000 --> 00:02:26.000]  祢為我們犧牲在十字架上
[00:02:26.000 --> 00:02:31.000]  主祢的死帶給我們生命
[00:02:31.000 --> 00:02:34.000]  但祢不被死所拘禁
[00:02:34.000 --> 00:02:36.000]  祢從死裡復活過來
[00:02:36.000 --> 00:02:38.000]  以大能證明
[00:02:38.000 --> 00:02:39.000]  祢是神
[00:02:39.000 --> 00:02:41.000]  祢是生命的主
[00:02:41.000 --> 00:02:43.000]  如今我們到祢的面前
[00:02:43.000 --> 00:02:44.000]  一同敬拜祢
[00:02:44.000 --> 00:02:46.000]  尊崇祢
[00:02:46.000 --> 00:02:48.000]  亦向主祈禱
[00:02:48.000 --> 00:02:51.000]  求主賜下祢聖經的恩賢
[00:02:51.000 --> 00:02:55.000]  讓我們在祢面前一切的明白領受
[00:02:55.000 --> 00:02:57.000]  有領受祢給我們的激勵
[00:02:57.000 --> 00:02:58.000]  帶著盼望
[00:02:58.000 --> 00:03:00.000]  帶著喜樂的心
[00:03:00.000 --> 00:03:02.000]  每一天來跟隨祢
[00:03:02.000 --> 00:03:04.000]  主讓我們祈求祢
[00:03:04.000 --> 00:03:06.000]  掌管這段時間
[00:03:06.000 --> 00:03:08.000]  有除去一切的障礙
[00:03:08.000 --> 00:03:11.000]  讓我們在祢面前一同蒙恩圍
[00:03:11.000 --> 00:03:13.000]  我們同心祈禱
[00:03:13.000 --> 00:03:15.000]  奉耶穌基督聖名求
[00:03:15.000 --> 00:03:17.000]  阿們
[00:03:17.000 --> 00:03:18.000]  我們遣返聖經
[00:03:18.000 --> 00:03:21.000]  剛才讀過《約翰福音》第十一章
[00:03:21.000 --> 00:03:24.000]  我們思想信心的訊息
[00:03:24.000 --> 00:03:27.000]  大家會記得我們過去上個星期日
[00:03:27.000 --> 00:03:29.000]  是甚麼主日
[00:03:29.000 --> 00:03:31.000]  是中樹主日
[00:03:31.000 --> 00:03:33.000]  你記得師班拿著中樹枝
[00:03:33.000 --> 00:03:34.000]  進來禮堂
[00:03:34.000 --> 00:03:37.000]  我們一齊來讚美這位主耶穌
[00:03:37.000 --> 00:03:41.000]  我們就說到從馴服到榮耀
