
[00:00:00.000 --> 00:00:03.000]  第一姐妹早晨
[00:00:03.000 --> 00:00:07.000]  不經不覺我上任這個崗位都一年了
[00:00:07.000 --> 00:00:10.000]  時間真的過得很快
[00:00:10.000 --> 00:00:12.000]  在過去這一年有機會在講壇
[00:00:12.000 --> 00:00:14.000]  跟大家分享上帝的話語的時候
[00:00:14.000 --> 00:00:18.000]  我都是按照《釋經》講道的進路
[00:00:18.000 --> 00:00:21.000]  一連串講了超過十堂
[00:00:21.000 --> 00:00:22.000]  有關約翰福音的講道
[00:00:22.000 --> 00:00:23.000]  今天都不例外
[00:00:23.000 --> 00:00:26.000]  今天我們仍然都是在約翰福音裡面
[00:00:26.000 --> 00:00:29.000]  去尋找一些信息
[00:00:29.000 --> 00:00:31.000]  有一位很出名的猶太裔
[00:00:31.000 --> 00:00:34.000]  著名的政治家和思想家
[00:00:34.000 --> 00:00:36.000]  是一位女士
[00:00:36.000 --> 00:00:38.000]  我們香港的翻譯就是
[00:00:38.000 --> 00:00:41.000]  漢娜·鄂蘭
[00:00:41.000 --> 00:00:44.000]  在1963年的時候出版了一本書
[00:00:44.000 --> 00:00:47.000]  叫做《艾希曼在耶路撒冷》
[00:00:47.000 --> 00:00:50.000]  關於艾希曼審判的報告
[00:00:50.000 --> 00:00:51.000]  這本書
[00:00:51.000 --> 00:00:55.000]  能夠成為在近半個世紀以來
[00:00:55.000 --> 00:00:57.000]  一直都很重視的一本書
[00:00:57.000 --> 00:01:00.000]  不單止是她在當中做了一個
[00:01:00.000 --> 00:01:04.000]  有關一位前納粹的高級軍官的
[00:01:04.000 --> 00:01:05.000]  一個審訊的過程
[00:01:05.000 --> 00:01:08.000]  最重要的是提出了一個很重要的概念
[00:01:08.000 --> 00:01:12.000]  這個就是現在在國際上都很受注重
[00:01:12.000 --> 00:01:14.000]  也都在很多的研究裡面
[00:01:14.000 --> 00:01:17.000]  有提及的平庸之惡
[00:01:17.000 --> 00:01:21.000]  或者可以譯作是邪惡的平庸
[00:01:21.000 --> 00:01:24.000]  Banality of Evil
[00:01:24.000 --> 00:01:26.000]  1961年4月11日的時候
[00:01:26.000 --> 00:01:30.000]  以色列政府在耶路撒冷進行了一次的審訊
[00:01:30.000 --> 00:01:32.000]  是有關二次大戰的時候
[00:01:32.000 --> 00:01:35.000]  一位納粹的高級軍官
[00:01:35.000 --> 00:01:36.000]  名字叫做
[00:01:36.000 --> 00:01:39.000]  香港的譯法叫做阿道夫·艾希曼
[00:01:39.000 --> 00:01:42.000]  Adolf Eichmann
[00:01:42.000 --> 00:01:46.000]  這個審訊持續到同年的5月31日
[00:01:46.000 --> 00:01:48.000]  有一個多月的時間
[00:01:48.000 --> 00:01:52.000]  結果艾希曼被判處絞刑
[00:01:52.000 --> 00:01:55.000]  當時漢娜·鄂蘭
[00:01:55.000 --> 00:01:59.000]  以紐約客的特約站稿員的身份
[00:01:59.000 --> 00:02:02.000]  去見證這一次的審訊
[00:02:02.000 --> 00:02:06.000]  然後應該說是審訊過了之後
[00:02:06.000 --> 00:02:08.000]  一年多的時間
[00:02:08.000 --> 00:02:10.000]  她就在1963年的時候
[00:02:10.000 --> 00:02:12.000]  就出版了剛才提及的這本書
[00:02:12.000 --> 00:02:14.000]  我再說一次名字叫做
[00:02:14.000 --> 00:02:16.000]  艾希曼在耶路撒冷
[00:02:16.000 --> 00:02:19.000]  關於艾希曼審訊的報告
[00:02:19.000 --> 00:02:21.000]  並且在這本書裡面
[00:02:21.000 --> 00:02:24.000]  提出了我剛才說的平庸之惡
[00:02:24.000 --> 00:02:26.000]  或者是邪惡之平庸
[00:02:26.000 --> 00:02:28.000]  這個這麼重要的概念
[00:02:28.000 --> 00:02:30.000]  阿道夫他剛才提過
[00:02:30.000 --> 00:02:33.000]  他是德國前納粹的高級軍官
[00:02:33.000 --> 00:02:37.000]  你也說可以很引人注目的一件事
[00:02:37.000 --> 00:02:39.000]  就是他是猶太人大屠殺的
[00:02:39.000 --> 00:02:41.000]  一個所謂最終方案的
[00:02:41.000 --> 00:02:45.000]  最主要負責的官員
[00:02:45.000 --> 00:02:49.000]  其實當年艾希曼出席萬湖會議的時候
[00:02:49.000 --> 00:02:51.000]  1942年
[00:02:51.000 --> 00:02:55.000]  他被任命為執行這場大屠殺的
[00:02:55.000 --> 00:02:58.000]  最終方案的最高負責人
[00:02:58.000 --> 00:03:01.000]  並且他更加晉升成為宗教
[00:03:01.000 --> 00:03:05.000]  對他來說也是一個事業上的攀升
[00:03:05.000 --> 00:03:07.000]  二次大戰之後
[00:03:07.000 --> 00:03:09.000]  當然大家都知道納粹德國是戰敗
[00:03:09.000 --> 00:03:12.000]  很多的高官有些是潛藏
[00:03:12.000 --> 00:03:14.000]  回復一個所謂平民的身份
[00:03:14.000 --> 00:03:16.000]  但更多比較出名的
[00:03:16.000 --> 00:03:18.000]  就是要逃亡世界
[00:03:18.000 --> 00:03:22.000]  當然首要要離開歐洲
[00:03:22.000 --> 00:03:25.000]  艾希曼曾經被美軍俘虜過
[00:03:25.000 --> 00:03:27.000]  不過他成功逃脫
[00:03:27.000 --> 00:03:31.000]  經過了很漫長的逃亡生涯
[00:03:31.000 --> 00:03:34.000]  說的是四幾年末的時候
[00:03:34.000 --> 00:03:36.000]  四幾年中後末的時候
[00:03:36.000 --> 00:03:38.000]  二次大戰結束
[00:03:38.000 --> 00:03:40.000]  他其實到了1961年的時候
[00:03:40.000 --> 00:03:41.000]  就在以色列
[00:03:41.000 --> 00:03:43.000]  被以色列的情報部門
