
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,大家平安!
[00:00:02.000 --> 00:00:06.000]  生命樹宣教網絡又邀請大家一起讀聖經
[00:00:06.000 --> 00:00:10.000]  聖經人物,聖經故事
[00:00:10.000 --> 00:00:13.000]  一起看看在人與事的背後
[00:00:13.000 --> 00:00:17.000]  上帝做些什麼,想些什麼,認識神更多
[00:00:17.000 --> 00:00:22.000]  今天的題目仍然是摩西大以色列人出埃及的故事
[00:00:22.000 --> 00:00:25.000]  今天的題目是很慘的
[00:00:25.000 --> 00:00:28.000]  無一家不死一個人
[00:00:28.000 --> 00:00:30.000]  你記不記得是什麼事呢?
[00:00:30.000 --> 00:00:33.000]  無一家不死一個人
[00:00:33.000 --> 00:00:39.000]  當然,那一家又不是長子
[00:00:39.000 --> 00:00:41.000]  又沒有生小孩
[00:00:41.000 --> 00:00:43.000]  那就沒有死了
[00:00:43.000 --> 00:00:48.000]  所以概括地說,這是殺長子之災
[00:00:48.000 --> 00:00:50.000]  無一家不死一個人
[00:00:50.000 --> 00:00:52.000]  看看聖經
[00:00:52.000 --> 00:00:55.000]  出一及記十二章二十九節
[00:00:55.000 --> 00:00:59.000]  第一點想和大家看的,是《到了半夜》
[00:00:59.000 --> 00:01:07.000]  凡是用黃色螢光,有一個紅色的數目字
[00:01:07.000 --> 00:01:11.000]  我要講每一段經文,和大家看聖經人士
[00:01:11.000 --> 00:01:16.000]  我都會用三點,我講到多數都是三點
[00:01:16.000 --> 00:01:19.000]  最好的演講都是三點
[00:01:19.000 --> 00:01:23.000]  第一,到了半夜
[00:01:23.000 --> 00:01:27.000]  耶和華把埃及地所有的長子
[00:01:27.000 --> 00:01:31.000]  就是最高的作寶座的法老
[00:01:31.000 --> 00:01:37.000]  直到最低的是被擄囚在監獄之人的長子
[00:01:37.000 --> 00:01:42.000]  以及一世投生的生畜盡都殺了
[00:01:42.000 --> 00:01:46.000]  第一點要和大家看的,到了半夜
[00:01:46.000 --> 00:01:49.000]  這個到了半夜是什麼意思呢?
[00:01:49.000 --> 00:01:53.000]  就是沒有人想到的時間
[00:01:53.000 --> 00:01:56.000]  沒有人預算到
[00:01:56.000 --> 00:02:01.000]  沒有人會做好準備
[00:02:01.000 --> 00:02:06.000]  例如主耶穌都說,盜賊來偷東西什麼時候?
[00:02:06.000 --> 00:02:10.000]  是半夜你不知道的時候挖通房屋
[00:02:10.000 --> 00:02:13.000]  當然我們都很難明白
[00:02:13.000 --> 00:02:17.000]  如果現在偷東西,怎會挖通房屋?
[00:02:17.000 --> 00:02:19.000]  因為都是石屎來的
[00:02:19.000 --> 00:02:21.000]  但是主耶穌挖通房屋
[00:02:21.000 --> 00:02:24.000]  就是因為當時他們住的是泥屋
[00:02:24.000 --> 00:02:26.000]  泥和石砌的屋
[00:02:26.000 --> 00:02:30.000]  是有機會用水濕一下,就會挖通房屋
[00:02:30.000 --> 00:02:32.000]  沒有水都挖得通
[00:02:32.000 --> 00:02:35.000]  用水就是溶那些泥
[00:02:35.000 --> 00:02:39.000]  半夜的時候你不知道,到了就來了
[00:02:39.000 --> 00:02:42.000]  所以要警醒,就是這樣講
[00:02:42.000 --> 00:02:45.000]  這裡講到了半夜
[00:02:45.000 --> 00:02:49.000]  上帝的工作,上帝的手什麼時候做事
[00:02:49.000 --> 00:02:51.000]  我們不知道
[00:02:51.000 --> 00:02:56.000]  說不定是現在,說不定是半夜
[00:02:56.000 --> 00:03:00.000]  你沒有想到,這樣就發生了
[00:03:00.000 --> 00:03:05.000]  耶和華是將埃及地所有的長子
[00:03:05.000 --> 00:03:07.000]  我剛才讀的時候都提了
[00:03:07.000 --> 00:03:10.000]  最高的坐寶座的法老
[00:03:10.000 --> 00:03:15.000]  家裡都被牢囚在監獄裡的人
[00:03:15.000 --> 00:03:17.000]  被牢就是埃及出去打仗
[00:03:17.000 --> 00:03:20.000]  就將很多人,當時都是流行
[00:03:20.000 --> 00:03:23.000]  將別人的人民百姓,看到就抓回來
[00:03:23.000 --> 00:03:26.000]  做什麼呢?回來做奴隸嘛
[00:03:26.000 --> 00:03:29.000]  男的就可以做操工
[00:03:29.000 --> 00:03:31.000]  女的就可以服侍
[00:03:31.000 --> 00:03:33.000]  大隻一點的,跟著出去幫忙耕田
[00:03:33.000 --> 00:03:36.000]  出去建城牆,建什麼都可以
[00:03:36.000 --> 00:03:40.000]  被牢的已經最低微了
[00:03:40.000 --> 00:03:42.000]  完全沒有身份,沒有地位
[00:03:42.000 --> 00:03:44.000]  好像一隻牛一樣
[00:03:44.000 --> 00:03:48.000]  由法老最高,到被囚在監獄裡的人的長子
[00:03:48.000 --> 00:03:50.000]  以及一切投身的生畜
[00:03:50.000 --> 00:03:53.000]  總之他是長子身份第一隻
[00:03:53.000 --> 00:03:55.000]  生出來第一隻的生畜
[00:03:55.000 --> 00:03:57.000]  盡刀殺了
[00:03:57.000 --> 00:04:03.000]  法老和一切神僕被埃及眾人夜間都起來了
[00:04:03.000 --> 00:04:06.000]  長埃及有大埃號
[00:04:06.000 --> 00:04:09.000]  無一家不死一個人的
[00:04:09.000 --> 00:04:11.000]  這裡有些竅妙
[00:04:11.000 --> 00:04:13.000]  大家要想想
[00:04:13.000 --> 00:04:17.000]  那個被殺死的長子
[00:04:17.000 --> 00:04:20.000]  是不是正在睡覺
[00:04:20.000 --> 00:04:22.000]  死了
[00:04:22.000 --> 00:04:25.000]  不是,應該他睡覺的時候
[00:04:25.000 --> 00:04:27.000]  熟睡的時候
[00:04:27.000 --> 00:04:33.000]  應該是有一個痛苦的喊叫
[00:04:33.000 --> 00:04:36.000]  如果不是,家人不會醒來的
[00:04:36.000 --> 00:04:38.000]  不會知道他死了
[00:04:38.000 --> 00:04:40.000]  可能睡著睡著
